"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Ulmus"	"Urticaceae"
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	370	"AWI"	370	9553	28607	14248	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	500	"AWI"	500	14401	39024	19287	0	0	0	18	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	560	"AWI"	560	17425	45773	21527	0	0	7	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	400	"AWI"	400	10604	31366	15348	0	0	40	0	0	12	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	530	"AWI"	530	15816	42793	20393	0	0	22	4	2	0	0	0	0	0	0	0	12	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	470	"AWI"	470	13290	35655	18083	0	0	220	13	41	0	38	0	0	0	10	0	11	0	66	0	0	0	0	0	0	12	0	43	0	2	0	10	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	720	"AWI"	720	26090	59422	27664	1	0	12	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	780	"AWI"	780	27715	63917	30512	0	19	90	0	0	0	0	0	0	0	8	0	7	1	22	0	10	0	4	0	16	0	4	18	0	0	8	0	2	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	810	"AWI"	810	28757	65910	31987	0	0	90	2	10	0	0	0	0	0	0	3	0	0	48	6	2	0	10	0	6	0	9	6	4	0	3	0	9	4
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	840	"AWI"	840	30111	68062	33364	0	0	20	0	0	0	14	0	0	0	0	0	4	0	4	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	870	"AWI"	870	31633	70074	34747	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	930	"AWI"	930	35805	74202	37462	0	0	72	0	7	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	960	"AWI"	960	37173	75933	40827	0	0	15	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
1397	1433	"Kalistratikha Exposure"	53.33333	83.25	990	"AWI"	990	39003	79270	44473	0	0	69	0	21	10	0	0	7	1	1	0	0	0	1	0	21	0	0	1	27	0	0	0	0	0	2	0	0	0
