"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
300	306	"Lac Boucané"	47.45778	-69.45278	255	"AWI"	255	9809	10727	10347	2	0	0	0	10	3	136	0	0	1	2	1	0	0	0	0	0	0	9	0	0	0	0	11	0	1	81	53	1	0	0	9	0	1	0	1	0	0	0	0	0	1	0
300	306	"Lac Boucané"	47.45778	-69.45278	260	"AWI"	260	9948	11012	10509	0	0	19	1	7	0	456	1	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	36	7	0	14	15	0	0	0	23	0	0	0	0	0	3	0
300	306	"Lac Boucané"	47.45778	-69.45278	265	"AWI"	265	10071	11287	10667	0	0	0	1	20	0	76	0	1	0	0	53	0	1	1	0	0	0	10	0	0	0	0	0	0	0	17	57	36	0	0	4	3	1	0	44	0	0	3	0	5	1	0
300	306	"Lac Boucané"	47.45778	-69.45278	270	"AWI"	270	10193	11513	10826	0	0	20	2	9	6	24	0	8	0	0	52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	39	26	0	0	7	0	0	0	3	1	0	1	0	0	3	0
300	306	"Lac Boucané"	47.45778	-69.45278	280	"AWI"	280	10457	12028	11161	0	0	26	2	37	22	44	0	8	0	0	62	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	79	47	0	0	4	0	1	0	15	1	0	0	0	6	1	0
300	306	"Lac Boucané"	47.45778	-69.45278	300	"AWI"	300	10972	12892	11834	0	0	6	0	11	7	17	0	1	0	0	38	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	92	46	0	0	7	0	2	0	39	1	0	0	0	1	5	0
300	306	"Lac Boucané"	47.45778	-69.45278	320	"AWI"	320	11529	13741	12507	0	0	0	1	10	0	29	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	3	0
300	306	"Lac Boucané"	47.45778	-69.45278	10	"AWI"	10	26	1087	381	10	0	20	0	0	0	378	0	0	0	0	1	0	0	0	11	0	0	0	1	0	7	0	0	0	0	0	66	1	0	0	4	0	0	0	0	0	0	0	0	3	1	0
300	306	"Lac Boucané"	47.45778	-69.45278	30	"AWI"	30	678	2274	1366	7	0	14	0	1	0	323	0	0	0	0	0	0	0	0	11	2	1	0	2	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	3	0
300	306	"Lac Boucané"	47.45778	-69.45278	40	"AWI"	40	1065	2790	1876	9	0	10	0	1	0	337	0	0	0	0	1	0	0	0	11	0	0	0	5	1	22	0	0	0	0	0	74	0	0	0	5	0	0	1	1	0	0	0	0	3	1	0
