"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
302	308	"Boundary Pond"	45.56667	-70.675	0	"AWI"	0	-108	52	-18	0.769230769230769	0	3.46153846153846	0	0	0	0	56.9230769230769	0	0	0	1.92307692307692	0.384615384615385	0	4.23076923076923	0.384615384615385	0	0	0.384615384615385	0.769230769230769	11.9230769230769	9.61538461538462	0	0	1.15384615384615	0	3.46153846153846	0	0	0	0	0	0	0	0	3.07692307692308	1.53846153846154
302	308	"Boundary Pond"	45.56667	-70.675	10	"AWI"	10	-52	132	43	0.91324200913242	1.36986301369863	4.10958904109589	0	0.45662100456621	0.45662100456621	0	55.2511415525114	0	0	0.45662100456621	0	0.91324200913242	0	0.91324200913242	0	0	0	0	0.91324200913242	20.0913242009132	4.10958904109589	0	0	1.82648401826484	0.45662100456621	1.82648401826484	0	0.45662100456621	1.82648401826484	0.45662100456621	0	0	0	0	1.82648401826484	1.36986301369863
302	308	"Boundary Pond"	45.56667	-70.675	20	"AWI"	20	14	205	103	3.7344398340249	0.829875518672199	4.9792531120332	0.4149377593361	0	0	3.3195020746888	50.207468879668	0.4149377593361	0.4149377593361	0	0	0	0	1.2448132780083	0	0	0	0.4149377593361	0.829875518672199	14.9377593360996	5.39419087136929	0	0	4.9792531120332	0.4149377593361	2.4896265560166	0	0.4149377593361	0.829875518672199	0.4149377593361	0	0	0	0	0.829875518672199	2.4896265560166
302	308	"Boundary Pond"	45.56667	-70.675	30	"AWI"	30	60	282	166	5.37634408602151	0.716845878136201	1.4336917562724	0	0	0	0	59.8566308243728	0.3584229390681	0	0.3584229390681	0	0	0	2.5089605734767	1.7921146953405	0	0	0.3584229390681	1.0752688172043	13.9784946236559	5.01792114695341	0	0	0	0.3584229390681	2.8673835125448	0	0	0	0	0	0.3584229390681	0	0	2.1505376344086	1.4336917562724
302	308	"Boundary Pond"	45.56667	-70.675	40	"AWI"	40	94	385	221	3.25732899022801	1.30293159609121	1.30293159609121	0	0	0	0	50.814332247557	0	0	0	0	0.325732899022801	0	4.23452768729642	1.62866449511401	0	0	0	1.62866449511401	17.2638436482085	9.44625407166124	0	0	0.325732899022801	0	2.93159609120521	0	0	0	0	0	0	0	0	3.90879478827362	1.62866449511401
302	308	"Boundary Pond"	45.56667	-70.675	43	"AWI"	43	113	409	239	2.6578073089701	1.99335548172757	1.66112956810631	0	0	0.996677740863787	0	55.8139534883721	0.332225913621262	0	0.664451827242525	0	0.332225913621262	0	5.3156146179402	1.32890365448505	0.332225913621262	0.332225913621262	0.664451827242525	0.996677740863787	11.2956810631229	8.30564784053156	0	0.332225913621262	0.332225913621262	0	3.65448504983389	0	0	0	0	0	0	0	0	0.664451827242525	1.99335548172757
302	308	"Boundary Pond"	45.56667	-70.675	45	"AWI"	45	126	418	251	3.18021201413428	0.706713780918728	3.886925795053	0	0	0	0	63.6042402826855	0	0.353356890459364	0	0	0	0	5.30035335689046	0.353356890459364	0	0	0	0.706713780918728	12.7208480565371	0	0	0	0	0	3.18021201413428	0	0	0	0.706713780918728	0	0.353356890459364	0	0	3.53356890459364	1.41342756183746
302	308	"Boundary Pond"	45.56667	-70.675	55	"AWI"	55	164	504	312	1.70940170940171	1.70940170940171	3.13390313390313	0	0	0	0	62.3931623931624	0	0	0	0	0	0	4.55840455840456	3.13390313390313	0.284900284900285	0	0	1.13960113960114	9.97150997150997	5.12820512820513	0	0.284900284900285	0	0.284900284900285	2.27920227920228	0	0	0	0	0	0	0	0.284900284900285	2.56410256410256	1.13960113960114
302	308	"Boundary Pond"	45.56667	-70.675	65	"AWI"	65	222	562	374	2.19178082191781	2.46575342465753	1.0958904109589	0	0	0.273972602739726	0	59.1780821917808	0.273972602739726	0	0	0	0	0	5.20547945205479	0.547945205479452	0	0.273972602739726	0	1.36986301369863	9.31506849315068	8.21917808219178	0	0	0.273972602739726	0.547945205479452	2.19178082191781	0	0	0	0	0	0	0	0	6.02739726027397	0.547945205479452
302	308	"Boundary Pond"	45.56667	-70.675	75	"AWI"	75	284	631	430	3.2258064516129	2.21774193548387	2.41935483870968	0	0	0.403225806451613	0	59.2741935483871	0.201612903225806	0	0	0.201612903225806	0.201612903225806	0	6.45161290322581	1.41129032258065	0.403225806451613	0	0	0.604838709677419	7.86290322580645	5.44354838709677	0	0.604838709677419	0	0	3.62903225806452	0	0	0	0	0	0	0	0	4.83870967741935	0.604838709677419
