"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Betula"	"Brassicaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Larix"	"Liliaceae"	"Orobanchaceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Primulaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Urticaceae"
1478	1515	"Bol'shoi Khomus-Yuryakh River"	70.125	153.75	100	"AWI"	100	9108	10092	9547	17.8082191780822	0	46.5753424657534	0	8.9041095890411	17.8082191780822	1.36986301369863	0	0.684931506849315	0	0.684931506849315	2.05479452054794	0	0	0.684931506849315	0	0	2.05479452054794	0.684931506849315	0.684931506849315
1478	1515	"Bol'shoi Khomus-Yuryakh River"	70.125	153.75	200	"AWI"	200	9538	10518	9973	22.7272727272727	1.2396694214876	62.396694214876	0.413223140495868	2.89256198347107	2.06611570247934	0.826446280991736	0.826446280991736	0	0.413223140495868	0.413223140495868	1.2396694214876	0.413223140495868	1.2396694214876	0	0.413223140495868	0.413223140495868	2.06611570247934	0	0
