"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Cercocarpus"	"Chrysolepis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Lithocarpus"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Phrymaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Portulacaceae"	"Prunus"	"Quercus"	"Rhamnus"	"Rosaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Sequoiadendron"	"Thalictrum"	"Tsuga"
794	816	"Exchequer Meadow"	37	-119.83333	0	"AWI"	0	-136	32	-53	37	0	1	1	1	0	0	0	2	0	3	0	9	0	0	0	5	104	0	0	0	4	0	0	0	0	0	0	0	207	3	2	0	0	0	0	0	24	1	0	1	1	1	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	20	"AWI"	20	102	1226	559	38	1	0	4	1	0	0	0	0	0	3	0	0	2	0	0	0	74	0	0	0	9	0	0	0	0	0	0	0	225	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
794	816	"Exchequer Meadow"	37	-119.83333	40	"AWI"	40	598	1702	1229	38	0	4	0	0	0	0	0	3	0	0	2	0	0	0	0	5	19	0	0	0	0	0	0	0	0	1	0	0	199	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	60	"AWI"	60	1580	2028	1788	74	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	14	35	1	1	0	15	0	0	1	0	0	0	1	190	0	3	0	0	2	0	0	3	0	1	0	1	0	1	0	0	1
794	816	"Exchequer Meadow"	37	-119.83333	80	"AWI"	80	2036	3065	2574	28	0	1	0	0	0	0	0	0	0	2	0	0	0	0	11	0	13	0	0	0	12	0	0	0	0	0	0	0	242	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	99	"AWI"	99	2915	3576	3226	39	2	1	1	0	0	0	0	0	0	0	0	0	1	0	4	2	8	0	1	0	18	0	0	0	0	1	0	0	285	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	120	"AWI"	120	3244	4391	3756	29	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	2	18	0	0	0	12	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0
794	816	"Exchequer Meadow"	37	-119.83333	130	"AWI"	130	3453	4654	4023	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	14	0	0	0	0	4	0	0	223	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	160	"AWI"	160	4201	5309	4819	26	2	5	3	0	12	3	0	0	0	0	0	0	0	0	2	4	29	3	0	0	20	0	0	3	0	0	0	0	265	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	180	"AWI"	180	5035	5910	5421	37	0	3	3	5	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	9	0	3	0	0	0	0	0	305	0	1	0	0	0	0	0	14	0	0	5	0	0	0	0	0	0
794	816	"Exchequer Meadow"	37	-119.83333	202	"AWI"	202	6024	7644	6910	25	3	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	0	0	0	0	0	0	0	230	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0
