"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Diapensiaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
1400	1437	"Kanaaupscow"	54.02778	-76.64389	297	"AWI"	297	7772	8268	7995	0	0	59	10	18	29	85	0	1	0	0	0	20	0	0	2	0	0	4	3	0	0	0	4	1	0	1	0	154	11	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	0	"AWI"	0	-142	22	-62	0	0	160	1	6	0	63	0	0	0	0	0	7	0	0	2	0	0	3	0	1	0	7	5	1	0	0	169	97	3	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	12	"AWI"	12	-48	1072	242	0	0	285	1	2	0	55	0	0	0	2	0	2	0	0	8	0	0	2	0	2	0	0	2	1	0	0	124	105	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	25	"AWI"	25	84	1967	615	0	0	260	1	8	0	82	1	0	0	3	1	8	0	0	7	0	1	0	0	7	0	0	5	11	1	0	225	166	6	0	0	4	1	0	0	0	0	1	0	0	1	1	2	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	37	"AWI"	37	205	2520	1015	0	0	224	0	4	0	61	0	0	0	0	0	8	0	0	7	0	0	0	1	3	0	0	1	8	0	0	152	116	5	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	50	"AWI"	50	475	3048	1441	0	0	204	0	3	3	71	0	0	1	1	0	11	0	0	3	0	0	0	0	12	0	4	4	3	0	0	158	127	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	62	"AWI"	62	657	3563	1837	0	0	161	0	4	0	53	0	0	0	0	0	3	0	0	6	0	0	0	0	12	0	2	2	0	0	0	129	111	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	75	"AWI"	75	926	3998	2241	0	0	204	0	3	0	86	0	0	0	0	0	4	0	0	5	0	0	0	0	21	0	4	5	1	0	1	148	67	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	87	"AWI"	87	1296	4343	2631	0	0	246	1	4	0	63	0	0	0	2	0	1	0	0	5	0	1	0	0	8	0	0	1	3	1	0	0	59	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	100	"AWI"	100	1637	4816	3050	0	0	237	0	5	3	77	0	0	0	0	0	4	0	0	3	0	1	0	0	10	0	0	3	4	0	0	163	59	3	0	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	112	"AWI"	112	1962	5084	3468	0	0	364	0	4	3	205	0	0	0	1	0	1	0	0	3	0	1	0	0	5	0	0	2	5	1	0	0	48	5	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	125	"AWI"	125	2346	5482	3921	0	0	353	1	4	0	186	0	0	0	1	0	5	0	0	5	0	0	0	1	18	0	6	3	12	0	0	193	26	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	137	"AWI"	137	2684	5811	4335	0	0	222	1	2	2	67	0	0	0	1	0	5	0	0	6	0	0	0	1	21	0	3	1	7	0	0	116	18	7	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	150	"AWI"	150	3169	6082	4752	0	0	215	0	1	0	130	0	0	0	1	0	4	0	0	3	0	0	0	1	5	0	7	0	5	1	0	232	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	162	"AWI"	162	3594	6370	5140	0	0	245	1	0	0	170	0	0	0	0	0	8	0	0	4	0	1	3	0	21	0	3	4	4	0	0	0	22	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	175	"AWI"	175	4018	6617	5526	0	0	0	0	4	0	146	0	0	0	1	0	1	0	0	1	0	0	0	0	13	0	5	6	4	0	0	165	17	2	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	187	"AWI"	187	4604	6837	5910	0	0	0	0	3	0	117	0	0	0	0	0	12	1	0	0	0	0	0	0	12	0	3	0	1	2	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	200	"AWI"	200	5111	7133	6355	0	0	415	0	3	2	124	0	0	0	3	0	7	0	0	1	0	0	0	1	12	0	0	1	8	0	0	130	15	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	207	"AWI"	207	5602	7207	6558	0	0	217	2	8	0	67	0	0	0	2	0	5	0	0	5	0	0	0	0	3	0	9	4	37	0	3	95	10	6	0	28	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	217	"AWI"	217	6043	7372	6870	0	0	0	0	5	4	51	0	0	0	0	0	10	0	3	2	0	0	0	0	6	1	0	5	76	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	225	"AWI"	225	6395	7449	7024	0	0	97	0	4	4	61	0	0	0	0	0	34	0	10	5	0	0	0	0	6	0	0	4	96	0	0	0	26	8	0	81	2	1	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	227	"AWI"	227	6461	7468	7063	0	0	56	2	5	3	61	0	0	0	2	0	20	0	3	2	0	0	0	1	1	0	0	4	24	0	0	75	28	1	0	17	1	2	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	232	"AWI"	232	6616	7539	7164	0	0	95	5	11	6	32	0	1	0	0	0	35	0	8	2	0	0	0	0	0	0	0	1	4	0	0	0	56	8	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	237	"AWI"	237	6712	7641	7270	0	0	115	3	12	12	62	0	1	0	0	0	48	0	7	6	0	0	0	0	2	0	0	1	8	0	2	0	86	4	0	16	4	46	0	0	0	9	0	0	0	0	0	2	0	1
1400	1437	"Kanaaupscow"	54.02778	-76.64389	242	"AWI"	242	6815	7691	7332	0	0	124	11	20	17	81	0	0	0	0	0	50	0	15	7	0	1	4	0	0	0	2	0	5	0	0	115	65	6	0	0	5	86	0	0	0	0	0	0	0	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	246	"AWI"	246	6893	7723	7385	0	0	67	6	11	0	43	0	0	0	0	0	39	0	1	0	0	0	0	1	0	0	5	2	2	0	0	0	49	12	1	0	5	6	0	0	0	0	0	1	1	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	250	"AWI"	250	6960	7760	7440	0	0	0	9	22	16	58	0	0	0	2	0	46	0	0	6	0	0	0	2	0	0	7	1	0	0	0	57	114	38	2	11	4	15	1	0	0	0	0	0	0	0	0	7	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	255	"AWI"	255	7017	7822	7509	0	0	0	8	21	13	33	0	1	0	0	0	42	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	139	8	0	3	1	1	0	0	0	0	0	0	0	0	0	4	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	262	"AWI"	262	7171	7876	7595	0	0	0	7	8	13	46	1	1	0	0	0	15	0	0	3	0	0	0	0	1	0	0	1	1	0	0	63	167	6	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	275	"AWI"	275	7442	7963	7755	0	0	63	12	37	22	61	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	1	0	0	80	122	9	0	2	4	0	0	0	0	0	0	0	0	0	0	3	0	0
1400	1437	"Kanaaupscow"	54.02778	-76.64389	287	"AWI"	287	7688	8089	7887	0	0	42	7	18	16	48	0	0	0	1	0	7	0	0	0	0	0	0	3	0	0	4	0	2	0	1	52	101	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
