"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Boraginaceae"	"Brassicaceae"	"Bromeliaceae"	"Cactaceae"	"Calceolariaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castilla"	"Cecropia"	"Celastraceae"	"Celtis"	"Combretaceae"	"Cyperaceae"	"Dacrydium"	"Dodonaea"	"Embothrium"	"Ephedraceae"	"Ericales"	"Escallonia"	"Eugenia"	"Euphorbiaceae"	"Fabaceae"	"Ficus"	"Gentianaceae"	"Geraniaceae"	"Gunneraceae"	"Hedyosmum"	"Hieronyma"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Isoëtes (<20 µm)"	"Isoëtes (>20 µm)"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Loranthaceae"	"Malvaceae"	"Melastomataceae"	"Meliaceae"	"Moraceae"	"Myrica"	"Myrsinaceae"	"Myrsine"	"Myrtaceae"	"Nothofagus"	"Oxalidaceae"	"Papaveraceae"	"Piperaceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polygonaceae"	"Polylepis"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sapotaceae"	"Schinus"	"Sideroxylon"	"Solanaceae"	"Styloceras"	"Thalictrum"	"Trema"	"Urticaceae"	"Violaceae"	"Weinmannia"
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	804	"AWI"	804	-146	21	-57	1	42	0	0	11	0	0	0	3	1	0	0	0	3	3	1	8	0	0	2	0	8	0	3	0	1	2	0	0	0	0	0	0	0	0	16	0	0	0	13	0	1335	0	0	0	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	0	0	11	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	4	0	3
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	814	"AWI"	814	-71	539	104	1	46	0	0	6	0	0	0	0	0	0	0	0	5	4	2	2	0	0	0	0	15	0	1	0	0	1	0	0	0	0	0	0	0	0	21	0	0	0	15	0	860	0	0	0	0	0	0	1	7	0	3	7	2	13	1	0	0	1	0	0	0	8	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	824	"AWI"	824	23	797	305	2	9	0	0	17	0	0	0	3	0	0	0	0	1	0	2	1	0	2	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	10	0	1456	1	0	0	0	0	0	1	3	0	0	5	3	1	0	0	1	1	0	39	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	834	"AWI"	834	140	1016	506	2	12	0	0	7	0	0	0	1	0	0	0	0	1	0	2	6	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	9	0	1430	0	0	0	0	0	0	2	4	0	2	4	0	2	0	0	0	0	0	0	207	3	0	1	3	0	0	0	0	0	0	1	0	0	0	4	7	1	0	1
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	844	"AWI"	844	288	1211	715	1	7	0	0	3	0	0	0	0	0	0	0	0	3	0	3	1	0	0	4	0	7	1	1	0	1	2	0	0	0	1	1	0	0	0	16	0	0	0	10	0	889	1	0	0	1	0	0	0	6	0	11	6	0	6	0	0	2	1	1	0	0	6	0	1	1	0	0	0	0	0	0	0	0	1	1	2	5	7	0	0
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	854	"AWI"	854	449	1386	914	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	0	1	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	0	313	0	0	0	0	0	0	1	0	0	4	7	0	1	0	1	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	3	5	4	1	2
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	864	"AWI"	864	625	1570	1120	2	5	0	0	3	0	0	0	0	0	0	0	0	0	0	2	7	0	0	2	0	12	0	5	0	0	1	0	0	0	1	0	0	0	0	11	0	0	0	10	0	1818	1	0	0	0	0	0	2	2	0	1	2	1	3	0	0	0	0	0	0	237	4	0	0	2	0	0	0	0	0	0	1	0	0	0	1	7	4	0	2
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	874	"AWI"	874	838	1707	1330	3	1	0	0	1	0	0	0	2	0	0	0	0	1	2	0	3	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	15	0	870	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	2	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	884	"AWI"	884	1078	1835	1519	1	2	0	0	3	0	0	0	0	0	0	0	0	4	3	0	2	0	0	4	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	15	0	0	0	17	0	850	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	4	2	1	0	0
1595	1646	"Laguna Jeronimo"	-11.78333	-75.21667	896	"AWI"	896	1507	1979	1744	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	9	0	373	0	1	0	0	0	0	1	2	0	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	2	6	5	0	1
