"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
754	773	"Lac Dufresne"	45.85	-70.35	2	"AWI"	2	-105	136	-5	15	8	36	1	0	3	6	226	0	0	2	0	5	0	1	4	2	0	0	0	4	6	53	0	0	18	0	5	0	5	3	0	0	3	0	5	6
754	773	"Lac Dufresne"	45.85	-70.35	20	"AWI"	20	127	1217	653	19	6	30	0	0	2	0	201	1	0	0	0	0	0	0	18	3	0	2	0	0	2	70	29	0	2	1	13	0	1	0	0	0	1	0	12	3
754	773	"Lac Dufresne"	45.85	-70.35	40	"AWI"	40	1107	1657	1386	30	6	29	0	0	0	3	282	2	2	0	0	5	0	0	21	2	0	1	0	1	16	29	61	0	2	0	12	0	0	0	1	0	0	0	22	4
754	773	"Lac Dufresne"	45.85	-70.35	60	"AWI"	60	1503	2399	1882	14	10	0	0	0	0	0	320	0	0	0	0	3	0	0	18	5	0	0	0	1	2	12	52	0	8	0	7	0	1	0	0	1	3	0	19	7
754	773	"Lac Dufresne"	45.85	-70.35	80	"AWI"	80	1855	2856	2368	19	8	0	1	0	2	0	257	0	1	0	0	9	0	0	13	3	0	1	0	3	3	13	54	0	2	0	4	0	0	0	0	1	1	0	11	6
754	773	"Lac Dufresne"	45.85	-70.35	100	"AWI"	100	2377	3212	2849	29	11	0	0	0	0	2	360	0	1	2	5	1	0	0	44	12	0	2	0	1	15	16	40	0	4	3	8	0	0	0	0	1	1	0	23	4
754	773	"Lac Dufresne"	45.85	-70.35	120	"AWI"	120	2939	3836	3307	9	13	32	0	1	1	4	289	1	0	1	0	8	0	0	14	10	0	0	0	5	8	7	77	0	3	0	10	0	0	0	0	0	2	0	12	6
754	773	"Lac Dufresne"	45.85	-70.35	140	"AWI"	140	3299	4548	3847	10	8	0	0	1	1	0	242	0	0	2	1	2	0	0	13	4	0	0	0	3	7	12	85	0	3	0	5	0	0	0	0	1	1	0	2	5
754	773	"Lac Dufresne"	45.85	-70.35	160	"AWI"	160	3714	5089	4371	9	3	37	0	0	0	0	268	0	0	1	1	4	0	0	12	8	1	1	0	5	6	2	63	2	6	1	21	0	0	1	0	1	2	0	4	5
754	773	"Lac Dufresne"	45.85	-70.35	180	"AWI"	180	4209	5560	4912	13	6	33	0	0	0	0	347	0	1	1	3	3	0	0	6	5	1	1	0	2	10	4	90	1	2	0	12	0	0	0	0	0	2	3	4	3
