"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Liriodendron"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1100	1133	"Hudson Lake"	41.67	-86.53	295	"AWI"	295	2236	3785	3030	0	10	1	2	0	0	3	18	0	0	0	6	23	22	13	6	0	0	0	0	0	4	0	5	5	2	1	162	2	2	1	2	2	14
1100	1133	"Hudson Lake"	41.67	-86.53	310	"AWI"	310	2617	3878	3221	0	5	0	0	0	0	5	15	0	1	1	7	13	17	4	1	0	0	0	0	0	6	1	9	4	4	0	170	1	1	0	1	0	8
1100	1133	"Hudson Lake"	41.67	-86.53	320	"AWI"	320	2795	3969	3361	0	5	2	2	2	11	3	21	0	2	14	14	8	16	2	3	0	0	0	0	0	5	0	23	11	8	0	289	1	2	0	2	2	13
1100	1133	"Hudson Lake"	41.67	-86.53	330	"AWI"	330	2931	4092	3500	0	7	5	4	3	10	9	23	1	3	1	22	9	13	19	4	0	0	0	0	0	7	0	17	8	20	3	284	2	2	0	2	8	22
1100	1133	"Hudson Lake"	41.67	-86.53	335	"AWI"	335	2985	4169	3569	0	11	3	2	3	9	4	10	1	0	2	17	3	10	27	2	0	0	0	0	0	6	0	7	8	13	2	165	2	2	0	1	2	7
1100	1133	"Hudson Lake"	41.67	-86.53	340	"AWI"	340	3031	4285	3637	0	7	0	1	2	11	5	23	0	0	6	17	13	10	4	1	0	3	0	0	0	9	0	21	10	11	0	242	0	2	0	2	2	14
1100	1133	"Hudson Lake"	41.67	-86.53	350	"AWI"	350	3217	4419	3787	0	7	3	4	5	16	8	14	1	0	5	32	11	15	42	5	0	0	0	0	0	13	0	22	23	21	2	267	0	3	0	2	4	15
1100	1133	"Hudson Lake"	41.67	-86.53	360	"AWI"	360	3435	4520	3948	0	12	0	3	5	18	6	32	0	1	2	18	21	14	4	3	0	0	0	0	0	5	0	17	11	24	0	204	0	2	1	1	3	11
1100	1133	"Hudson Lake"	41.67	-86.53	370	"AWI"	370	3577	4692	4106	0	15	4	5	0	20	6	24	0	2	7	37	15	35	46	5	0	0	0	0	0	12	0	16	23	19	1	270	2	3	0	4	2	20
1100	1133	"Hudson Lake"	41.67	-86.53	380	"AWI"	380	3688	4931	4261	0	23	1	4	2	22	8	23	1	1	7	27	74	29	4	22	0	0	0	0	0	10	0	18	22	19	0	257	2	10	1	12	0	43
1100	1133	"Hudson Lake"	41.67	-86.53	385	"AWI"	385	3735	5075	4341	0	34	2	1	3	19	8	39	0	2	5	20	102	45	35	19	0	1	0	0	0	19	0	23	20	16	0	336	0	5	1	13	0	58
1100	1133	"Hudson Lake"	41.67	-86.53	390	"AWI"	390	3774	5214	4415	0	12	1	2	2	4	1	19	1	0	3	10	21	20	0	8	0	1	0	0	0	4	2	8	3	4	1	162	0	4	0	3	0	26
1100	1133	"Hudson Lake"	41.67	-86.53	395	"AWI"	395	3892	5324	4522	0	10	0	1	2	0	3	27	0	5	1	17	40	22	4	8	0	1	0	0	0	6	1	9	20	10	0	272	1	5	0	2	1	36
1100	1133	"Hudson Lake"	41.67	-86.53	410	"AWI"	410	4418	5599	4962	0	24	3	18	5	26	8	35	1	2	6	12	41	33	2	24	0	0	0	0	0	14	0	35	19	0	3	508	3	5	1	7	0	46
1100	1133	"Hudson Lake"	41.67	-86.53	420	"AWI"	420	4660	5893	5249	0	20	4	2	5	12	2	18	0	2	2	15	33	22	23	12	0	3	0	0	0	12	0	19	17	9	3	232	1	9	0	7	0	36
1100	1133	"Hudson Lake"	41.67	-86.53	430	"AWI"	430	4852	6268	5530	0	18	1	0	0	11	2	15	3	0	0	12	27	14	8	9	0	1	0	0	0	3	0	17	15	22	0	223	0	3	0	6	1	32
1100	1133	"Hudson Lake"	41.67	-86.53	440	"AWI"	440	5004	6692	5815	0	8	0	1	2	8	1	7	0	1	2	4	17	7	3	7	1	0	0	0	0	4	0	7	9	3	1	113	1	4	1	0	0	17
1100	1133	"Hudson Lake"	41.67	-86.53	445	"AWI"	445	5303	6889	6044	0	12	1	3	6	16	2	18	2	0	0	15	36	6	8	4	0	2	0	0	0	10	0	11	33	15	0	215	0	4	0	4	1	36
1100	1133	"Hudson Lake"	41.67	-86.53	450	"AWI"	450	5592	7151	6331	0	31	2	8	9	34	2	40	0	1	12	9	53	47	25	25	0	0	0	0	0	18	2	33	17	11	0	584	1	5	1	7	0	88
1100	1133	"Hudson Lake"	41.67	-86.53	455	"AWI"	455	5768	7479	6614	0	9	0	3	2	11	0	16	0	1	2	8	26	10	3	7	0	1	0	0	0	3	0	11	13	9	0	118	1	1	0	1	0	41
1100	1133	"Hudson Lake"	41.67	-86.53	465	"AWI"	465	5996	8404	7161	0	25	1	3	6	17	0	31	3	1	0	9	61	22	10	8	0	0	0	0	0	14	0	23	53	25	0	281	0	2	0	5	0	73
1100	1133	"Hudson Lake"	41.67	-86.53	475	"AWI"	475	6146	9494	7707	0	12	1	1	1	8	0	16	2	0	3	1	9	27	2	7	0	0	0	0	0	18	0	6	12	1	4	134	0	4	0	2	0	33
1100	1133	"Hudson Lake"	41.67	-86.53	485	"AWI"	485	6273	10610	8247	0	22	2	6	5	24	1	25	5	0	0	11	15	16	6	10	0	1	0	0	0	28	0	37	46	20	0	357	1	7	0	3	0	82
1100	1133	"Hudson Lake"	41.67	-86.53	495	"AWI"	495	6729	11334	8765	0	15	1	0	0	15	3	11	1	5	3	3	3	21	2	4	0	0	0	0	0	14	0	17	7	3	0	131	0	6	0	1	0	30
1100	1133	"Hudson Lake"	41.67	-86.53	505	"AWI"	505	7530	11502	9291	1	11	1	8	9	32	0	20	2	3	3	13	4	24	16	4	0	0	0	0	0	15	4	61	8	12	0	301	0	5	0	4	1	47
1100	1133	"Hudson Lake"	41.67	-86.53	515	"AWI"	515	8191	11678	9834	0	4	1	1	3	6	5	5	0	1	2	5	2	12	4	2	0	0	0	0	0	9	5	22	2	8	4	118	1	0	0	0	1	24
1100	1133	"Hudson Lake"	41.67	-86.53	525	"AWI"	525	8690	11930	10406	0	33	1	5	2	26	8	37	0	6	2	15	0	42	14	6	2	2	1	0	1	39	2	83	29	21	3	516	0	8	1	5	0	82
1100	1133	"Hudson Lake"	41.67	-86.53	540	"AWI"	540	9204	12598	11216	2	17	2	8	6	15	3	29	1	4	2	16	1	34	16	3	0	0	0	0	0	38	7	92	7	22	4	327	0	2	0	6	1	80
1100	1133	"Hudson Lake"	41.67	-86.53	545	"AWI"	545	9475	12644	11333	7	2	6	0	5	2	20	3	0	2	4	8	0	16	1	1	0	0	0	0	0	10	26	133	0	6	7	23	1	5	1	0	1	12
1100	1133	"Hudson Lake"	41.67	-86.53	555	"AWI"	555	9930	12748	11564	11	1	18	0	9	2	12	1	0	3	3	14	0	27	3	1	8	0	0	0	0	11	39	249	0	4	9	39	0	4	0	0	0	12
1100	1133	"Hudson Lake"	41.67	-86.53	560	"AWI"	560	10142	12843	11691	20	4	12	0	10	5	9	1	0	6	3	31	0	14	14	0	11	0	0	0	0	19	173	269	0	6	10	49	1	8	0	0	0	22
1100	1133	"Hudson Lake"	41.67	-86.53	570	"AWI"	570	10465	13100	11945	14	4	10	0	8	8	6	2	0	1	2	6	0	17	2	0	0	0	0	0	0	18	100	95	0	9	15	31	1	5	1	0	0	15
