"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Larix"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
1648	1704	"M Lake"	68.26667	-133.46667	0	"AWI"	0	-116	51	-30	0	285	0	0	0	0	140	0	0	6	24	0	1	0	1	1	0	208	2	0	13	1	0	0	0	15	0	0
1648	1704	"M Lake"	68.26667	-133.46667	10	"AWI"	10	-32	793	203	0	305	0	0	1	0	136	0	0	12	22	0	0	0	2	0	0	95	1	0	4	9	0	0	1	7	0	0
1648	1704	"M Lake"	68.26667	-133.46667	15	"AWI"	15	53	959	364	0	179	0	0	1	0	104	0	0	5	14	0	0	0	2	0	0	86	0	0	2	6	0	0	2	8	0	0
1648	1704	"M Lake"	68.26667	-133.46667	20	"AWI"	20	97	1235	506	0	343	0	0	1	0	180	0	0	10	30	1	0	0	2	0	0	122	0	1	5	3	0	0	0	12	0	0
1648	1704	"M Lake"	68.26667	-133.46667	25	"AWI"	25	200	1378	658	0	321	0	0	1	0	158	0	0	2	24	0	0	0	0	0	0	88	0	1	7	6	0	0	2	15	0	0
1648	1704	"M Lake"	68.26667	-133.46667	30	"AWI"	30	267	1615	807	0	236	0	0	3	0	102	0	0	6	17	1	2	0	0	0	0	75	0	0	2	0	0	0	0	12	0	0
1648	1704	"M Lake"	68.26667	-133.46667	35	"AWI"	35	385	1735	955	0	335	0	0	0	0	115	0	1	5	0	0	0	9	0	0	10	98	2	0	0	0	0	0	2	6	0	0
1648	1704	"M Lake"	68.26667	-133.46667	37	"AWI"	37	417	1795	1011	0	135	0	0	0	0	71	0	1	7	0	0	0	3	1	1	16	99	1	0	0	0	0	0	0	7	0	0
1648	1704	"M Lake"	68.26667	-133.46667	40	"AWI"	40	453	1897	1091	0	372	0	0	2	0	181	0	0	10	14	0	0	0	0	0	0	162	1	1	8	2	0	0	0	18	0	0
1648	1704	"M Lake"	68.26667	-133.46667	42	"AWI"	42	522	1941	1152	1	354	0	0	2	0	155	0	0	9	22	1	0	0	1	1	0	168	3	3	16	0	0	0	0	8	0	0
1648	1704	"M Lake"	68.26667	-133.46667	45	"AWI"	45	608	2031	1248	0	279	0	0	1	0	146	0	0	9	12	0	0	0	0	0	0	119	1	0	1	1	0	0	0	4	0	0
1648	1704	"M Lake"	68.26667	-133.46667	47	"AWI"	47	652	2083	1308	0	312	0	0	24	0	147	0	0	5	6	0	0	0	0	0	0	125	2	1	0	1	0	0	0	12	0	0
1648	1704	"M Lake"	68.26667	-133.46667	50	"AWI"	50	702	2195	1404	0	206	0	0	2	0	96	0	0	1	12	1	3	0	0	0	0	57	0	2	8	3	0	0	0	8	0	0
1648	1704	"M Lake"	68.26667	-133.46667	52	"AWI"	52	771	2237	1463	0	271	0	0	4	2	151	0	0	3	14	1	0	0	0	1	0	134	1	0	7	0	0	0	1	13	0	0
1648	1704	"M Lake"	68.26667	-133.46667	55	"AWI"	55	854	2303	1548	0	310	0	0	1	0	122	0	0	7	24	0	0	0	0	0	0	78	0	0	5	3	0	0	2	9	0	0
1648	1704	"M Lake"	68.26667	-133.46667	57	"AWI"	57	897	2356	1606	0	217	0	0	0	0	132	0	0	9	16	1	0	0	1	0	0	179	2	0	4	0	0	0	0	13	0	0
1648	1704	"M Lake"	68.26667	-133.46667	60	"AWI"	60	944	2467	1690	0	293	1	0	1	1	146	0	0	2	23	0	1	0	0	1	0	98	2	1	7	3	0	0	0	9	0	0
1648	1704	"M Lake"	68.26667	-133.46667	62	"AWI"	62	1019	2503	1750	0	326	0	0	1	0	154	0	0	4	11	0	0	0	0	0	0	137	3	0	7	0	0	0	0	15	0	0
1648	1704	"M Lake"	68.26667	-133.46667	65	"AWI"	65	1089	2543	1840	0	371	0	0	1	1	152	0	0	3	18	0	0	0	0	0	0	80	0	0	8	0	0	0	0	18	0	0
1648	1704	"M Lake"	68.26667	-133.46667	67	"AWI"	67	1144	2597	1897	0	351	0	0	1	0	119	0	0	4	12	0	0	0	1	0	9	55	3	0	3	2	0	0	0	21	0	0
1648	1704	"M Lake"	68.26667	-133.46667	70	"AWI"	70	1198	2699	1987	0	239	1	0	3	0	106	0	0	5	10	0	0	1	0	0	0	38	0	0	6	2	0	0	0	10	0	0
1648	1704	"M Lake"	68.26667	-133.46667	72	"AWI"	72	1281	2723	2043	0	294	0	0	2	0	148	0	0	1	9	0	0	0	0	0	0	155	0	0	5	1	0	0	1	12	0	0
1648	1704	"M Lake"	68.26667	-133.46667	75	"AWI"	75	1385	2778	2139	0	517	0	0	3	0	219	0	0	5	18	0	0	0	0	1	0	116	1	0	7	1	0	0	1	22	0	0
1648	1704	"M Lake"	68.26667	-133.46667	77	"AWI"	77	1450	2833	2199	0	397	0	0	0	0	127	0	0	4	23	0	0	0	0	0	0	126	1	0	6	0	0	0	0	17	0	0
1648	1704	"M Lake"	68.26667	-133.46667	80	"AWI"	80	1536	2924	2283	1	214	0	0	0	0	105	0	0	10	21	0	2	0	0	1	0	103	1	0	3	0	0	0	0	11	0	0
1648	1704	"M Lake"	68.26667	-133.46667	82	"AWI"	82	1634	2955	2340	0	317	0	0	3	0	145	0	0	11	20	0	0	0	0	1	0	171	2	0	5	0	0	0	1	6	0	0
1648	1704	"M Lake"	68.26667	-133.46667	85	"AWI"	85	1765	2996	2432	0	762	0	0	2	0	371	0	0	13	40	0	0	1	0	1	0	278	2	0	11	1	0	0	1	22	0	0
