"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
1103	1136	"Humber Pond 5"	43.64	-79.49	1	"AWI"	1	-101	67	-21	0	8	0	2	0	0	0	0	27	0	0	0	0	0	4	4	0	4	0	12	2	0	0	0	0	3	3	19	1	3	0	19	89	0	0	5	0	2	0	3	1
1103	1136	"Humber Pond 5"	43.64	-79.49	80	"AWI"	80	107	589	309	0	21	6	11	0	1	0	1	25	2	0	1	0	2	0	13	0	2	0	12	0	0	0	0	0	1	3	41	2	0	0	14	50	1	6	8	0	1	1	20	1
1103	1136	"Humber Pond 5"	43.64	-79.49	120	"AWI"	120	236	787	483	0	7	7	8	0	2	0	0	6	0	0	3	0	0	5	4	0	10	0	10	0	0	0	0	0	1	4	57	0	3	90	4	26	2	0	0	0	15	17	13	0
1103	1136	"Humber Pond 5"	43.64	-79.49	140	"AWI"	140	306	880	572	0	3	7	6	0	1	0	0	7	2	0	3	0	2	2	11	0	4	6	21	0	1	0	0	1	3	5	104	1	1	112	2	12	0	5	1	0	4	16	21	0
1103	1136	"Humber Pond 5"	43.64	-79.49	170	"AWI"	170	411	1023	702	1	13	5	3	0	3	0	0	6	0	0	1	0	0	1	1	0	8	0	4	0	0	0	0	0	2	8	67	0	0	0	2	7	0	0	0	0	7	54	15	0
1103	1136	"Humber Pond 5"	43.64	-79.49	180	"AWI"	180	455	1062	747	0	0	7	2	0	0	0	0	13	0	0	1	0	0	1	1	1	9	24	5	0	0	0	0	0	5	2	68	0	0	0	2	25	0	5	0	1	4	19	21	0
1103	1136	"Humber Pond 5"	43.64	-79.49	190	"AWI"	190	496	1109	790	0	0	6	0	0	2	0	0	12	0	1	1	1	0	2	7	0	19	0	19	0	0	0	0	0	4	1	78	0	0	0	0	19	0	3	1	0	9	30	8	1
1103	1136	"Humber Pond 5"	43.64	-79.49	200	"AWI"	200	537	1147	836	1	9	1	2	0	0	0	0	17	3	0	3	1	0	2	8	0	11	6	12	0	0	0	0	0	3	1	70	0	2	0	4	19	0	4	1	0	6	39	8	0
1103	1136	"Humber Pond 5"	43.64	-79.49	210	"AWI"	210	573	1199	882	0	0	10	1	0	0	0	0	13	0	0	4	0	0	1	8	0	8	0	1	0	0	0	0	0	4	1	86	0	1	0	0	43	0	0	0	0	1	7	9	0
1103	1136	"Humber Pond 5"	43.64	-79.49	220	"AWI"	220	619	1235	926	0	0	17	1	0	0	0	0	15	0	0	5	0	1	3	4	0	9	0	3	0	0	0	0	0	14	0	60	0	0	0	2	47	0	0	1	0	1	13	10	0
1103	1136	"Humber Pond 5"	43.64	-79.49	230	"AWI"	230	656	1279	971	0	0	11	0	0	0	0	0	18	0	0	1	0	1	1	2	0	2	10	2	0	0	0	0	0	8	1	79	0	2	0	0	47	0	0	0	0	3	8	9	0
1103	1136	"Humber Pond 5"	43.64	-79.49	240	"AWI"	240	699	1313	1012	0	0	7	0	0	0	0	0	23	0	0	2	0	1	2	4	0	9	8	4	0	0	0	0	0	6	0	67	0	4	0	0	35	0	0	1	0	2	12	13	0
1103	1136	"Humber Pond 5"	43.64	-79.49	260	"AWI"	260	789	1396	1101	0	11	1	0	0	0	0	0	17	0	0	1	0	0	1	3	0	13	12	2	0	0	0	0	0	5	2	74	0	1	0	1	39	0	0	0	0	2	14	11	0
1103	1136	"Humber Pond 5"	43.64	-79.49	305	"AWI"	305	986	1573	1296	2	0	11	0	0	0	0	0	8	0	0	3	0	1	0	31	0	11	0	1	0	0	0	0	0	8	0	91	0	4	0	1	19	0	0	0	0	5	7	12	0
1103	1136	"Humber Pond 5"	43.64	-79.49	340	"AWI"	340	1162	1694	1445	0	16	1	1	0	1	0	0	15	0	0	5	0	0	1	4	0	37	10	3	0	0	1	0	0	7	2	55	0	4	0	1	25	0	0	0	0	1	9	11	0
1103	1136	"Humber Pond 5"	43.64	-79.49	380	"AWI"	380	1376	1840	1614	0	0	5	0	0	0	0	0	10	0	0	2	0	0	3	1	0	21	22	3	0	0	0	1	0	4	0	48	0	3	0	2	49	0	0	0	0	3	10	13	0
1103	1136	"Humber Pond 5"	43.64	-79.49	460	"AWI"	460	1688	2244	1948	0	0	7	0	0	0	0	0	15	0	0	4	0	0	1	14	0	30	16	2	0	0	0	0	0	6	2	42	0	1	0	0	28	0	0	2	0	2	13	24	0
1103	1136	"Humber Pond 5"	43.64	-79.49	500	"AWI"	500	1826	2436	2118	0	0	2	1	0	1	0	0	25	5	0	1	0	0	1	3	0	34	28	5	0	0	1	0	0	2	1	42	0	0	0	1	23	0	0	0	0	4	9	27	0
1103	1136	"Humber Pond 5"	43.64	-79.49	540	"AWI"	540	1975	2611	2289	0	0	5	1	0	0	0	0	22	0	0	4	0	1	0	3	0	27	26	2	0	0	0	0	0	6	2	30	0	4	0	1	28	0	0	0	0	3	8	23	1
