"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
1124	1158	"Jack London Lake"	62.16667	149.5	2	"AWI"	2	-56	531	195	214	0	0	0	0	106	2	0	0	1	0	5	11	1	0	0	0	1	1	2	0	0	0	7	0	0	1	1	0	0	0	4	2	2	1
1124	1158	"Jack London Lake"	62.16667	149.5	9	"AWI"	9	35	2542	1097	88	0	0	0	0	45	1	0	0	1	0	5	3	0	0	0	1	0	1	1	0	0	0	6	0	0	0	1	0	0	0	1	0	1	0
1124	1158	"Jack London Lake"	62.16667	149.5	18	"AWI"	18	142	5131	2257	120	0	0	0	0	70	1	0	0	1	0	3	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	1	1	1
1124	1158	"Jack London Lake"	62.16667	149.5	30	"AWI"	30	961	6608	3803	123	0	0	0	0	75	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1124	1158	"Jack London Lake"	62.16667	149.5	48	"AWI"	48	3105	8486	6063	132	0	0	0	0	91	0	0	0	1	0	5	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
1124	1158	"Jack London Lake"	62.16667	149.5	55	"AWI"	55	3697	8975	7072	142	0	0	0	0	85	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	132	0	2	0	0	0	0	0	0	0	0	0	0	0
1124	1158	"Jack London Lake"	62.16667	149.5	60	"AWI"	60	4966	9151	7647	140	0	0	0	0	87	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0
1124	1158	"Jack London Lake"	62.16667	149.5	69	"AWI"	69	7643	9301	8659	194	0	0	0	0	88	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
1124	1158	"Jack London Lake"	62.16667	149.5	75	"AWI"	75	9009	9513	9325	174	0	0	0	0	132	0	0	0	1	0	4	3	0	1	0	1	0	0	0	0	73	0	5	0	0	0	0	0	0	0	1	0	0	1
1124	1158	"Jack London Lake"	62.16667	149.5	81	"AWI"	81	9354	9892	9622	154	0	0	0	0	119	0	0	0	0	0	3	1	2	0	0	1	0	0	3	0	77	0	5	0	0	0	0	0	0	0	2	0	0	0
