"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arecaceae"	"Asteraceae"	"Brassicaceae"	"Calceolariaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castilla"	"Cecropia"	"Celastraceae"	"Celtis"	"Cyperaceae"	"Dodonaea"	"Drimys"	"Ephedraceae"	"Ericales"	"Escallonia"	"Euphorbiaceae"	"Ficus"	"Gentianaceae"	"Geraniaceae"	"Hedyosmum"	"Hypericaceae"	"Indeterminable"	"Isoëtes (<20 µm)"	"Isoëtes (>20 µm)"	"Juglans"	"Juncaceae"	"Lamiaceae"	"Loranthaceae"	"Malvaceae"	"Melastomataceae"	"Moraceae"	"Myrica"	"Myrsine"	"Papaveraceae"	"Piperaceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polygonaceae"	"Polylepis"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Solanaceae"	"Styloceras"	"Thalictrum"	"Trema"	"Urticaceae"	"Verbenaceae"	"Weinmannia"
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	608	"AWI"	608	-139	31	-54	0	4	9	2	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	3	2	6	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	628	"AWI"	628	303	1596	809	0	2	7	3	0	0	0	0	0	3	1	1	8	0	0	0	3	0	0	0	1	0	3	0	0	0	14	0	12	0	1	0	0	1	0	0	0	8	3	2	0	0	0	0	7	0	1	1	0	0	0	1	1	0	1	0	1
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	648	"AWI"	648	979	2567	1710	2	0	10	4	0	0	1	0	0	2	1	0	2	0	4	0	5	1	0	0	0	0	8	0	0	0	23	0	6	8712	8	1	0	0	0	0	4	2	7	4	0	0	0	0	7	0	4	0	0	0	2	0	1	5	1	0	1
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	654	"AWI"	654	1232	2828	1981	2	1	12	5	0	0	0	0	0	0	0	2	6	0	0	3	2	1	0	0	0	0	7	0	0	0	12	0	0	0	2282	0	2	0	0	0	7	3	3	2	0	0	0	224	0	0	0	0	0	0	0	0	0	5	2	0	1
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	660	"AWI"	660	1474	3084	2266	0	2	15	0	0	0	0	0	0	1	0	5	3	0	0	0	2	0	0	2	1	0	1	0	0	0	10	0	2	0	2000	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	3	0	0	0	0	1	1	0	0	0
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	678	"AWI"	678	2267	3811	3089	0	2	0	1	0	0	0	0	0	1	2	0	1	0	0	0	1	1	0	0	2	0	2	0	0	0	1	0	4	1386	2	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	706	"AWI"	706	3831	4707	4344	1	0	8	3	0	0	0	0	0	1	0	0	2	0	5	1	3	0	0	0	0	0	1	0	0	0	7	0	5	4633	1	0	0	0	0	0	1	2	1	0	0	0	0	0	2	0	1	1	0	0	1	1	0	0	3	0	0
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	726	"AWI"	726	4921	6667	5602	1	1	1	0	0	0	0	0	0	3	0	1	9	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	13	4400	0	0	0	0	0	0	1	8	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	746	"AWI"	746	6044	8526	7209	0	1	0	1	0	0	0	1	0	0	2	1	2	1	0	0	1	1	0	0	2	0	3	1	2	0	13	1	11	135	1	0	0	0	2	0	6	3	3	3	0	0	15	0	2	0	1	1	0	0	0	0	2	0	2	0	0
1621	1674	"Laguna Pomacocha"	-11.75	-75.25	752	"AWI"	752	6474	9029	7691	0	0	0	0	0	0	0	0	0	5	1	0	5	0	0	0	2	0	0	0	0	0	5	0	0	0	2	0	10	84	0	0	0	0	0	0	1	8	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	3	3	0	0
