"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
943	973	"Graham Lake"	45.18333	-77.35	1056	"AWI"	1056	4625	5470	5196	1	54	36	4	0	0	0	228	0	1	0	0	0	0	4	2	0	0	0	55	23	3	29	0	2	0	5	8	0	9	0	410	9	0	0	0	57	2	0	0	6	2	2	0	0	8	33	30	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1057	"AWI"	1057	4642	5491	5228	1	45	25	3	0	0	0	198	0	0	0	0	0	0	10	1	0	0	0	106	13	1	18	0	0	0	1	0	0	14	0	448	5	0	0	1	58	2	0	0	4	3	0	0	0	10	40	32	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1058	"AWI"	1058	4656	5517	5259	1	35	33	1	0	0	0	286	0	1	0	0	0	0	15	0	0	0	0	93	17	4	2	0	0	0	4	0	0	19	0	405	5	0	0	0	45	1	0	0	10	2	0	0	0	8	40	20	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1059	"AWI"	1059	4758	5524	5286	2	30	0	0	0	0	0	351	0	1	0	0	0	0	12	4	0	0	0	86	0	1	5	0	1	0	0	0	0	6	0	336	7	0	0	0	60	1	0	0	3	2	0	0	0	5	37	48	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1060	"AWI"	1060	4856	5532	5313	1	22	22	1	0	2	0	313	0	1	0	0	0	0	10	2	0	0	0	53	15	1	7	0	1	0	0	0	0	18	0	399	6	0	0	0	65	3	0	0	8	2	3	0	0	7	46	35	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1061	"AWI"	1061	4960	5540	5343	1	26	18	0	0	2	0	247	0	2	0	0	0	0	12	0	0	0	0	92	13	0	5	0	1	0	0	1	0	3	0	486	7	0	0	0	59	2	0	0	5	0	2	0	0	8	54	50	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1062	"AWI"	1062	5056	5548	5370	0	28	18	1	0	1	0	288	0	3	0	0	0	0	3	0	0	0	0	47	9	0	9	0	0	0	2	0	0	10	0	445	5	0	0	0	65	0	0	0	14	3	1	0	0	8	39	40	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1063	"AWI"	1063	5144	5557	5404	3	20	14	0	0	2	0	207	0	5	0	0	0	0	25	0	0	0	0	39	9	1	1	0	0	0	0	0	0	5	0	483	2	0	0	1	60	0	0	0	5	1	0	0	0	10	53	55	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1064	"AWI"	1064	5218	5568	5437	0	28	0	0	0	3	0	291	0	3	0	0	0	0	7	0	0	0	0	30	27	1	2	0	2	0	6	0	0	10	0	398	3	0	0	2	55	2	0	0	17	1	0	0	0	4	35	36	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1065	"AWI"	1065	5283	5578	5471	4	34	52	0	0	2	0	274	0	1	1	0	0	0	15	0	0	0	0	52	16	3	10	0	2	0	2	0	0	17	0	341	2	0	0	1	55	1	0	0	7	12	0	0	0	5	60	29	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1066	"AWI"	1066	5330	5601	5508	2	21	0	1	0	1	0	257	0	2	0	0	0	0	10	0	0	0	0	49	9	1	2	0	1	0	7	0	0	7	5	398	1	0	0	0	30	5	0	0	3	1	1	0	0	11	161	29	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1067	"AWI"	1067	5348	5665	5539	2	21	0	3	0	1	0	265	0	2	0	0	1	0	9	4	0	0	0	28	29	2	12	0	0	0	1	0	0	5	0	323	5	0	0	0	38	1	0	0	7	3	1	0	0	4	166	37	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1068	"AWI"	1068	5361	5749	5567	8	37	0	0	0	3	0	223	0	1	0	0	0	0	5	1	0	0	0	30	8	0	10	0	2	0	9	1	0	13	0	398	3	0	0	0	31	0	0	0	4	0	1	0	0	5	146	39	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1069	"AWI"	1069	5396	5798	5603	1	23	0	1	1	4	0	240	0	3	0	0	1	0	11	4	0	0	1	30	13	0	2	0	0	0	0	0	0	5	0	371	5	0	0	1	39	0	0	0	5	3	0	0	0	3	214	28	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1070	"AWI"	1070	5416	5857	5639	0	29	18	1	0	3	0	232	0	2	1	0	0	0	8	1	0	0	0	38	13	4	19	1	0	0	1	0	0	11	0	348	8	0	0	0	53	1	0	0	4	2	3	0	0	7	199	37	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1071	"AWI"	1071	5435	5942	5674	0	17	0	0	0	0	0	166	0	0	0	0	1	0	10	0	0	0	0	22	0	0	2	0	0	0	0	0	0	3	0	403	7	0	0	1	28	0	0	0	4	1	0	0	1	4	275	27	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1072	"AWI"	1072	5448	6032	5709	2	31	33	1	1	3	0	195	0	7	1	0	0	0	7	3	0	0	0	34	32	2	8	0	0	0	19	0	0	12	0	335	7	0	0	0	36	0	0	0	6	3	0	0	0	8	207	40	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1073	"AWI"	1073	5464	6125	5742	1	19	0	0	0	1	0	201	0	3	0	0	0	0	11	1	0	0	0	20	7	0	9	0	0	0	0	0	0	4	0	393	6	0	0	0	41	2	0	0	2	3	0	0	1	10	231	24	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1074	"AWI"	1074	5476	6225	5774	0	20	0	2	0	0	0	190	0	2	0	0	0	0	7	0	0	0	0	21	7	2	3	0	2	0	5	0	0	2	0	447	5	0	0	0	43	0	0	0	3	2	0	0	0	3	243	21	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1075	"AWI"	1075	5487	6334	5808	2	9	15	1	0	1	0	263	0	2	0	0	0	0	10	0	0	0	0	28	10	2	0	0	0	0	0	0	0	0	0	339	4	0	0	0	62	3	0	0	4	1	0	0	0	4	205	32	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1076	"AWI"	1076	5502	6436	5840	2	35	34	1	0	3	0	307	1	0	0	0	0	0	13	1	0	0	0	17	17	2	11	0	4	0	24	4	0	8	0	252	8	0	0	1	52	2	0	1	14	0	0	0	0	11	146	32	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1077	"AWI"	1077	5511	6546	5874	1	21	0	2	0	4	0	329	0	7	0	0	0	0	7	2	0	0	1	21	0	1	18	0	0	0	0	0	0	6	0	260	12	0	0	2	60	0	0	0	1	1	0	0	0	11	210	25	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1078	"AWI"	1078	5520	6655	5908	0	35	20	0	0	1	0	265	0	1	0	0	0	0	12	1	0	0	0	32	0	2	10	0	1	0	1	0	0	17	0	436	10	0	0	0	41	1	0	0	8	3	0	0	0	8	100	32	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1079	"AWI"	1079	5572	6678	5949	1	15	23	1	0	2	0	169	0	1	0	0	0	0	5	2	0	0	0	31	0	3	14	0	0	0	0	0	0	9	0	340	6	0	0	0	40	0	0	0	0	0	1	0	0	1	292	28	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1080	"AWI"	1080	5603	6692	5995	1	28	0	0	0	3	0	193	0	3	0	0	0	0	6	2	0	0	0	10	17	2	21	0	0	0	6	1	0	9	0	371	8	0	0	0	52	0	0	0	3	0	1	0	1	2	296	19	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1081	"AWI"	1081	5640	6722	6041	1	32	17	1	0	2	0	158	0	4	0	0	0	0	8	2	0	0	0	28	20	1	22	0	0	0	0	0	0	12	0	308	4	0	0	0	43	0	0	0	2	2	0	0	0	1	310	25	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1082	"AWI"	1082	5665	6752	6091	5	15	0	0	0	5	0	186	0	3	1	0	0	0	7	1	0	0	0	19	10	3	7	0	2	0	0	0	0	2	0	404	8	0	0	0	41	2	0	0	6	3	0	0	0	9	206	24	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1083	"AWI"	1083	5687	6781	6132	4	20	0	2	0	3	0	139	0	5	0	0	0	0	13	1	0	0	0	22	26	2	16	0	1	0	0	0	0	11	0	424	10	0	0	0	70	0	0	0	0	0	0	0	0	7	164	25	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1084	"AWI"	1084	5710	6821	6172	8	23	27	2	0	5	0	151	0	1	0	0	0	0	7	0	0	0	0	26	13	1	7	1	1	0	2	0	0	9	2	439	4	0	0	0	47	1	0	0	0	2	2	0	0	6	223	24	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1085	"AWI"	1085	5724	6873	6215	1	21	0	1	0	1	0	184	0	5	0	0	0	0	11	2	0	0	1	11	0	0	11	0	0	0	0	0	0	16	0	356	2	0	0	0	46	1	0	0	3	0	1	0	0	8	269	25	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1086	"AWI"	1086	5738	6924	6253	4	13	0	1	0	2	0	134	0	2	1	0	0	0	15	0	0	0	1	25	13	1	7	0	2	0	5	1	0	10	2	499	10	0	0	0	61	0	0	0	7	5	0	0	0	2	125	24	0	1	0
943	973	"Graham Lake"	45.18333	-77.35	1087	"AWI"	1087	5754	6985	6293	2	0	0	0	0	3	0	128	0	5	1	0	0	0	9	0	0	0	0	20	24	3	14	0	0	0	1	0	0	15	0	467	4	0	0	0	46	0	0	0	3	0	0	0	0	7	168	30	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1089	"AWI"	1089	5819	7075	6373	6	17	15	2	0	0	0	118	0	0	1	1	0	0	4	0	0	0	0	20	20	1	6	0	2	0	7	0	0	7	0	500	2	0	0	1	46	1	0	0	3	0	0	0	0	5	220	18	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1090	"AWI"	1090	5868	7087	6417	3	17	37	0	0	5	0	123	0	1	0	0	0	0	8	2	0	0	1	27	12	0	12	0	0	0	0	0	0	3	0	537	5	0	0	0	43	1	0	0	9	1	1	0	0	6	93	34	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1091	"AWI"	1091	5906	7105	6461	1	26	32	1	0	2	0	156	0	4	0	0	0	0	9	0	0	0	1	27	0	1	2	0	0	0	0	0	0	9	0	601	2	0	0	0	36	0	0	0	0	1	0	0	1	4	179	40	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1092	"AWI"	1092	5931	7125	6510	27	26	49	1	0	1	0	141	0	2	0	0	0	0	2	3	0	0	0	8	10	0	18	0	1	0	18	0	0	12	0	556	9	0	0	2	17	0	0	0	3	2	1	0	0	4	120	35	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1093	"AWI"	1093	5961	7153	6555	1	14	33	1	0	1	0	105	0	3	0	0	0	0	12	2	0	0	0	15	0	2	10	0	1	0	0	0	0	13	0	556	3	0	0	0	28	1	0	0	2	2	0	0	0	5	171	25	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1094	"AWI"	1094	5976	7175	6602	9	18	0	0	0	1	0	121	0	0	0	0	0	0	6	1	0	0	0	18	4	0	8	0	2	0	2	0	0	11	0	616	7	0	0	0	18	8	0	0	1	5	0	0	0	1	110	26	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1095	"AWI"	1095	6000	7206	6647	2	13	0	1	0	1	0	150	0	0	0	0	0	0	5	2	0	0	0	25	27	2	13	0	0	0	2	0	0	4	0	472	3	0	0	0	55	2	0	0	2	0	0	0	0	3	165	26	0	0	0
943	973	"Graham Lake"	45.18333	-77.35	1096	"AWI"	1096	6021	7250	6688	0	21	29	1	0	3	0	118	0	3	0	0	1	0	2	1	0	0	0	18	20	1	5	0	1	0	17	0	0	11	3	530	5	0	0	0	60	0	0	0	7	1	0	0	0	3	112	37	0	0	0
