"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cephalanthus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Quercus"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	280	"AWI"	280	4964	5882	5468	12	0	0	1	0	0	99	0	0	0	0	0	0	0	22	0	0	16	17	1	4	5	0	6	0	0	1	3	0	0	2	38	93	0	0	0	0	3	1	1	0	0	1	0	4	72	11	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	300	"AWI"	300	5080	6139	5611	2	0	0	0	0	0	82	1	0	0	0	0	0	1	11	0	0	4	17	2	7	3	0	3	0	0	0	0	0	0	0	215	64	0	0	1	0	0	0	4	0	0	1	0	16	73	10	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	320	"AWI"	320	5192	6417	5753	3	0	0	0	0	0	85	2	0	0	0	0	0	0	6	0	0	3	18	3	3	2	0	2	0	0	0	2	0	0	0	0	62	0	0	0	0	0	0	1	0	1	2	0	4	58	9	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	340	"AWI"	340	5320	6595	5904	6	0	0	0	2	0	103	0	0	2	0	0	0	0	12	0	0	10	12	1	4	4	0	1	1	0	0	6	0	0	2	0	85	0	0	0	0	0	0	3	0	7	0	1	7	53	9	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	360	"AWI"	360	5442	6808	6056	2	0	5	1	2	0	67	0	0	1	0	0	0	1	15	0	0	6	11	0	7	3	0	3	0	0	0	0	0	0	0	0	56	0	0	6	0	1	0	6	0	10	3	0	10	124	4	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	380	"AWI"	380	5563	7021	6200	3	0	0	0	1	0	60	0	0	5	0	0	0	4	1	0	0	0	0	1	15	2	0	0	0	1	0	2	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	45	64	12	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	400	"AWI"	400	5695	7229	6354	1	0	0	3	0	7	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	3	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	0	"AWI"	0	-143	29	-64	7	0	12	0	1	17	141	0	1	1	0	0	0	2	137	0	0	33	9	1	2	3	2	5	0	0	0	28	0	0	0	0	6	1	0	1	1	0	0	0	0	0	0	0	0	35	6	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	20	"AWI"	20	-30	853	309	8	0	0	1	3	0	121	0	0	1	0	1	0	1	80	0	0	33	8	3	0	3	1	12	0	0	1	0	132	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	4	53	3	0
1362	1397	"Tourbière de Lanoraie JOSEPH"	45.99194	-73.30278	40	"AWI"	40	267	1274	747	7	0	0	0	0	0	134	0	0	1	1	0	0	0	90	0	0	41	7	1	5	1	1	14	0	0	2	43	146	0	1	0	24	0	0	0	0	0	6	0	0	0	0	0	2	78	9	0
