"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Indeterminable"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Viburnum"
805	829	"Fiddler's Pond"	56.25	-121.42	0.5	"AWI"	0.5	-118.5	46.5	-30.5	6.99300699300699	0	0.699300699300699	0	1.3986013986014	0	0	0	0	2.7972027972028	0	0	17.4825174825175	0	0	9.79020979020979	0	0	0	0	40.5594405594406	4.89510489510489	0	0	10.4895104895105	0	0.699300699300699	0.699300699300699	2.7972027972028	0.699300699300699	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	5	"AWI"	5	-77	247	41	4.08163265306122	0	1.02040816326531	0	2.04081632653061	0	0	0	0	1.02040816326531	0	0	9.18367346938776	0	0	2.04081632653061	0	0	0	0	66.3265306122449	5.10204081632653	0	0	2.04081632653061	0	0	0	7.14285714285714	0	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	10	"AWI"	10	-21	388	132	3.73831775700935	0	0	0	0.934579439252336	0	0	0	0	1.86915887850467	0	0	15.8878504672897	0	0	11.214953271028	0	0	0	0	58.8785046728972	2.80373831775701	0	0	2.80373831775701	0	0	1.86915887850467	0	0	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	15	"AWI"	15	40	507	232	2.4390243902439	0	0	0	3.2520325203252	0	0	0	0	1.6260162601626	0	0	12.1951219512195	0.813008130081301	0	5.69105691056911	0	0	0	0	52.8455284552846	9.75609756097561	0	0	3.2520325203252	0	0	3.2520325203252	4.0650406504065	0.813008130081301	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	20	"AWI"	20	105	621	329	4.20168067226891	0	0	0	1.68067226890756	0	0	0	0	3.36134453781513	0	0	11.7647058823529	0	0	6.72268907563025	0	0	0	0	54.6218487394958	7.56302521008403	0	0	5.04201680672269	0	0	2.52100840336134	1.68067226890756	0	0.840336134453782	0
805	829	"Fiddler's Pond"	56.25	-121.42	25	"AWI"	25	184	722	425	1.72413793103448	0	0	0	0.862068965517241	0	0	0	0	1.72413793103448	0	0	19.8275862068966	0	0	11.2068965517241	0	0	0	0	50	6.89655172413793	0	0	2.58620689655172	0	0	0.862068965517241	3.44827586206897	0.862068965517241	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	30	"AWI"	30	262	820	526	5.83333333333333	0	0	0	0.833333333333333	0	0	0	0	0.833333333333333	0	0	12.5	0	0	11.6666666666667	0	0	0	0	53.3333333333333	8.33333333333333	0	0	5	0	0	0	0	1.66666666666667	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	35	"AWI"	35	347	906	622	2.9126213592233	0	0	0	0.970873786407767	0	0	0	0	2.9126213592233	0	0	14.5631067961165	0	0	7.76699029126214	0	0	0	0	50.4854368932039	10.6796116504854	0	0	1.94174757281553	0	0	0	4.85436893203883	2.9126213592233	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	40	"AWI"	40	430	994	716	1.63934426229508	0	0	0	0	0	0	5.73770491803279	0	7.37704918032787	0.819672131147541	0	9.01639344262295	0	0	0	0	0	0	0	54.9180327868852	9.01639344262295	0	0	3.27868852459016	0	0.819672131147541	0	7.37704918032787	0	0	0
805	829	"Fiddler's Pond"	56.25	-121.42	45	"AWI"	45	528	1067	814	5.5045871559633	0	0	0	0.917431192660551	0	0	0.917431192660551	0	4.58715596330275	0	1.8348623853211	8.25688073394496	0	0	11.0091743119266	0	0	0	0	47.7064220183486	11.9266055045872	0	0	1.8348623853211	1.8348623853211	0	0.917431192660551	1.8348623853211	0	0.917431192660551	0
