"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Cephalanthus"	"Corylus"	"Cupressus"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
337	345	"Carter Site"	40.21667	-84.68056	8	"AWI"	8	13338	14719	13750	0	3	2	0	5	7	10	4	2	0	8	0	27	0	43	6	1	1	18	14	8	0	239	1	46	3	5	4	0	0	12
337	345	"Carter Site"	40.21667	-84.68056	18	"AWI"	18	13421	14771	13838	1	1	2	3	1	9	8	1	0	0	5	0	27	2	63	10	0	1	24	10	20	0	197	0	35	2	5	1	0	1	11
337	345	"Carter Site"	40.21667	-84.68056	28	"AWI"	28	13478	14821	13928	0	0	0	1	4	13	2	1	1	0	4	0	29	1	58	4	0	0	13	12	15	0	174	1	32	0	3	4	0	0	8
337	345	"Carter Site"	40.21667	-84.68056	38	"AWI"	38	13570	14878	14025	0	1	1	0	1	11	2	4	1	1	14	0	31	1	44	2	0	1	16	7	11	0	236	1	30	1	0	2	1	0	14
337	345	"Carter Site"	40.21667	-84.68056	46	"AWI"	46	13614	14921	14099	0	0	1	2	3	6	2	3	2	1	13	0	38	3	57	9	1	0	27	15	18	3	177	0	35	1	8	1	0	0	15
337	345	"Carter Site"	40.21667	-84.68056	58	"AWI"	58	13707	15001	14206	2	2	0	1	4	14	0	1	1	0	3	0	40	1	35	4	1	0	13	13	12	0	232	2	18	0	6	3	0	0	9
337	345	"Carter Site"	40.21667	-84.68056	68	"AWI"	68	13787	15067	14301	1	0	3	2	1	7	0	1	0	1	9	2	44	4	44	6	0	1	16	7	14	0	181	1	35	1	5	2	0	0	7
337	345	"Carter Site"	40.21667	-84.68056	78	"AWI"	78	13846	15143	14395	1	2	0	0	2	6	2	2	2	0	3	0	48	0	16	5	0	0	5	10	14	0	265	4	19	2	3	3	0	0	11
337	345	"Carter Site"	40.21667	-84.68056	88	"AWI"	88	13947	15212	14485	1	3	5	0	3	11	17	0	2	0	6	0	46	1	39	11	1	0	22	72	81	0	121	0	32	0	3	0	0	0	4
337	345	"Carter Site"	40.21667	-84.68056	218	"AWI"	218	15125	16161	15631	2	2	1	3	6	15	15	5	2	0	1	0	108	0	82	14	2	0	45	46	10	0	47	0	78	3	7	1	0	0	14
337	345	"Carter Site"	40.21667	-84.68056	228	"AWI"	228	15221	16252	15726	0	3	1	1	2	9	1	1	3	2	1	0	13	0	26	1	0	0	22	39	29	0	29	0	19	0	2	0	0	0	3
337	345	"Carter Site"	40.21667	-84.68056	238	"AWI"	238	15290	16383	15814	0	2	0	2	3	13	6	3	1	2	1	0	53	2	34	4	0	1	18	70	57	0	109	1	45	0	5	1	1	0	13
337	345	"Carter Site"	40.21667	-84.68056	248	"AWI"	248	15363	16488	15908	0	0	0	2	0	8	10	1	0	0	0	0	22	0	0	2	1	2	11	61	63	0	34	0	11	0	6	0	0	0	2
