"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	40	"AWI"	40	6287	7689	7154	26	0	0	7	3	119	0	0	4	5	1	80	0	0	0	0	4	40	1	19	12	0	0	6	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	120	"AWI"	120	7485	8124	7847	22	0	1	6	2	84	0	0	4	2	0	28	0	0	2	0	5	8	1	0	0	0	0	0	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	140	"AWI"	140	7832	8277	8017	27	1	1	5	4	48	0	0	12	0	7	50	0	13	2	0	7	20	2	1	0	0	1	2	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	260	"AWI"	260	8811	9717	9339	23	0	4	2	6	27	0	0	0	0	32	18	2	7	1	0	0	13	0	0	0	0	0	6	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	360	"AWI"	360	9626	10231	9996	30	0	1	6	24	26	0	0	0	0	38	3	0	0	1	0	1	6	0	0	2	0	0	1	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	380	"AWI"	380	9770	10465	10155	18	0	7	40	7	15	0	0	0	2	11	7	2	0	0	0	0	17	0	0	3	0	0	4	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	460	"AWI"	460	10417	11321	10865	8	0	24	5	0	54	0	0	0	0	7	4	2	2	0	0	0	22	2	0	2	0	0	4	0
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	480	"AWI"	480	10539	11613	11048	4	1	0	6	17	9	0	1	2	12	0	2	2	0	0	0	2	70	1	0	20	0	0	3	2
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	550	"AWI"	550	11007	12526	11660	20	8	2	44	6	14	1	2	2	34	0	2	8	0	0	2	7	74	6	2	18	0	2	8	2
1525	1563	"Bol'shaya Kuropatoch'ya River (KURPEAT)"	69.96667	156.375	650	"AWI"	650	11675	13729	12567	12	2	6	40	10	10	0	0	2	23	2	2	2	0	0	0	2	66	2	0	6	0	0	7	0
