"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1398	1434	"Kalsa Mire"	58.19142	27.41146	3	"AWI"	3	-113	65	-16	0	71	5	0	5	0	0	0	0	0	2	3	48	0	0	0	0	0	32	137	0	39	2	0	0	0	8	3	0	0	1	2
1398	1434	"Kalsa Mire"	58.19142	27.41146	8	"AWI"	8	-95	127	12	0	34	1	0	2	0	0	1	0	0	2	0	24	0	0	0	0	0	18	193	0	18	0	0	4	0	5	0	0	1	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	10	"AWI"	10	-89	156	23	0	72	4	1	4	0	0	2	0	0	1	4	16	0	0	0	0	0	25	239	0	22	0	0	0	1	3	2	0	2	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	14	"AWI"	14	-64	176	47	0	35	0	0	1	0	0	0	0	0	0	3	27	0	0	0	0	0	8	130	2	15	0	0	0	0	12	0	0	0	0	1
1398	1434	"Kalsa Mire"	58.19142	27.41146	16	"AWI"	16	-55	191	60	0	51	3	0	5	4	0	0	0	0	2	11	35	1	0	0	0	0	34	212	0	35	1	0	0	0	5	1	0	0	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	18	"AWI"	18	-48	211	71	0	47	1	0	2	0	0	0	0	0	3	8	34	0	0	0	0	2	23	192	0	41	1	2	0	0	11	0	0	0	0	2
1398	1434	"Kalsa Mire"	58.19142	27.41146	26	"AWI"	26	-10	269	119	0	34	1	0	4	0	0	0	0	0	2	4	29	0	0	0	0	0	70	197	0	22	1	0	2	0	9	1	0	0	2	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	31	"AWI"	31	14	308	148	0	25	0	1	4	0	0	0	0	0	0	2	20	0	0	0	0	0	23	104	0	28	3	0	0	0	12	2	0	0	0	1
1398	1434	"Kalsa Mire"	58.19142	27.41146	36	"AWI"	36	41	331	181	0	61	1	0	5	0	0	0	0	0	1	5	48	1	0	0	0	1	10	151	0	55	3	0	4	1	10	3	0	0	0	3
1398	1434	"Kalsa Mire"	58.19142	27.41146	41	"AWI"	41	64	363	211	0	105	2	0	3	0	0	0	0	0	1	6	26	0	0	2	0	0	33	117	0	39	2	0	0	0	4	4	41	1	0	2
1398	1434	"Kalsa Mire"	58.19142	27.41146	46	"AWI"	46	93	386	242	0	26	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	10	41	0	0	1	0	0	0	1	0	0	0	2	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	51	"AWI"	51	116	419	271	0	50	0	0	2	0	0	0	0	0	3	1	17	0	0	0	0	0	74	134	0	10	0	0	0	0	3	3	0	0	0	1
1398	1434	"Kalsa Mire"	58.19142	27.41146	56	"AWI"	56	147	440	302	0	47	1	0	2	0	0	0	0	1	5	2	17	0	0	1	0	0	33	100	0	11	1	0	2	0	4	3	0	1	1	2
1398	1434	"Kalsa Mire"	58.19142	27.41146	61	"AWI"	61	177	470	331	0	45	0	0	1	0	0	0	0	0	0	1	7	0	0	0	0	0	19	120	0	14	0	0	0	0	0	3	0	0	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	66	"AWI"	66	211	493	362	0	51	0	1	0	0	0	0	0	0	3	3	12	0	0	0	0	0	21	103	0	11	2	0	0	0	2	1	0	0	1	1
1398	1434	"Kalsa Mire"	58.19142	27.41146	71	"AWI"	71	248	532	395	0	70	0	0	1	0	0	0	0	0	4	0	17	0	0	1	1	0	39	109	0	10	0	0	0	0	5	2	0	1	0	1
1398	1434	"Kalsa Mire"	58.19142	27.41146	76	"AWI"	76	304	588	443	0	75	2	1	3	0	0	0	0	1	6	0	16	0	0	1	0	0	45	148	0	0	4	0	0	0	0	2	0	2	3	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	81	"AWI"	81	347	665	498	0	67	1	0	3	0	0	0	0	0	8	2	5	0	0	2	0	5	55	188	0	0	5	1	0	0	0	4	0	1	6	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	86	"AWI"	86	424	739	582	0	56	0	0	2	0	252	0	0	0	4	1	2	0	0	0	0	3	25	156	0	5	3	0	0	0	0	1	0	2	8	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	91	"AWI"	91	486	858	663	0	58	0	1	2	0	0	0	0	0	4	10	4	0	0	0	0	2	37	246	0	0	7	0	0	0	1	0	0	2	6	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	96	"AWI"	96	612	906	747	0	64	0	0	1	0	0	0	0	0	10	0	2	0	0	1	0	2	48	152	0	6	1	0	0	0	0	2	0	5	6	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	101	"AWI"	101	691	988	825	0	29	1	0	1	0	0	0	0	0	3	0	13	0	0	0	0	1	58	103	0	3	3	0	0	1	0	0	0	1	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	106	"AWI"	106	753	1047	884	0	13	0	0	2	0	0	0	0	0	6	0	16	0	0	0	0	0	75	193	0	0	8	0	0	0	0	2	0	7	3	0
