"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Carya"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Salix"	"Sarcobataceae"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
305	312	"Brophy Ditch"	43.22	-81.73	1	"AWI"	1	-91	131	8	1.23456790123457	0	2.46913580246914	0	0	11.1111111111111	0	1.23456790123457	3.7037037037037	0.411522633744856	0	0	0	0	14.8148148148148	0.823045267489712	0.411522633744856	0	0	0.411522633744856	0.411522633744856	22.2222222222222	0.411522633744856	0	30.0411522633745	0	0	5.76131687242798	0	0	2.05761316872428	1.23456790123457	1.23456790123457	0
305	312	"Brophy Ditch"	43.22	-81.73	10	"AWI"	10	137	790	399	2.94117647058824	0	0.490196078431373	0	0	3.92156862745098	0	0	1.96078431372549	4.90196078431373	7.35294117647059	4.41176470588235	0	0	21.078431372549	0	0	0	0	0	0	9.31372549019608	0	2.94117647058824	11.2745098039216	0	0	3.92156862745098	1.47058823529412	0	0.490196078431373	14.2156862745098	2.45098039215686	6.86274509803922
305	312	"Brophy Ditch"	43.22	-81.73	20	"AWI"	20	462	1350	855	8.125	0	1.25	0	0	4.375	0	0	0	0	8.75	2.5	0	0	13.125	0	0	0	0	0	0	18.75	0	0.625	1.875	0	0	9.375	0	0	3.75	12.5	5.625	9.375
305	312	"Brophy Ditch"	43.22	-81.73	30	"AWI"	30	827	1858	1300	2.34741784037559	0	2.8169014084507	0.469483568075117	0	0	0	0.938967136150235	0	0	7.51173708920188	3.75586854460094	7.04225352112676	0	23.943661971831	0	0	0	0	0.938967136150235	0	12.6760563380282	0	0.938967136150235	7.04225352112676	0	0	5.16431924882629	0	0	1.87793427230047	8.92018779342723	2.34741784037559	11.2676056338028
305	312	"Brophy Ditch"	43.22	-81.73	40	"AWI"	40	1210	2339	1750	2.79329608938547	0	1.11731843575419	0	0	6.70391061452514	0	1.67597765363128	0	0.558659217877095	18.4357541899441	5.02793296089385	0	0	11.1731843575419	0	0	0	0	0.558659217877095	0.558659217877095	17.877094972067	0	0.558659217877095	6.70391061452514	0	0	6.14525139664804	0	0	2.23463687150838	13.9664804469274	3.91061452513966	0
305	312	"Brophy Ditch"	43.22	-81.73	45	"AWI"	45	1406	2574	1972	8.49673202614379	0.65359477124183	1.30718954248366	0	0	6.5359477124183	0	0.65359477124183	0	0.65359477124183	6.5359477124183	5.88235294117647	0	0	15.6862745098039	0	0	0	0	1.30718954248366	0.65359477124183	16.9934640522876	0	1.30718954248366	3.26797385620915	0	0	7.84313725490196	0	0	1.30718954248366	11.7647058823529	5.22875816993464	3.92156862745098
305	312	"Brophy Ditch"	43.22	-81.73	50	"AWI"	50	1622	2824	2199	5.42635658914729	0	0.775193798449612	0	0	0	0	3.10077519379845	0	0	0	2.32558139534884	0	0	16.2790697674419	0	0	0	0	0	0	34.1085271317829	0	0	3.87596899224806	0	0	6.2015503875969	0	0	13.1782945736434	8.52713178294574	5.42635658914729	0.775193798449612
305	312	"Brophy Ditch"	43.22	-81.73	55	"AWI"	55	1828	3053	2425	8.84955752212389	0	0.884955752212389	0	0.884955752212389	0	0	1.76991150442478	0.884955752212389	0	2.65486725663717	0.884955752212389	0	0	1.76991150442478	0	0	0	0	2.65486725663717	0.884955752212389	45.1327433628319	0	0.884955752212389	3.53982300884956	0	0	7.9646017699115	0	0	3.53982300884956	12.3893805309735	3.53982300884956	0.884955752212389
305	312	"Brophy Ditch"	43.22	-81.73	60	"AWI"	60	2032	3281	2651	11.0132158590308	0.220264317180617	0.881057268722467	0	0	0	0	0.220264317180617	1.76211453744493	0	2.20264317180617	2.6431718061674	0.440528634361234	0	18.942731277533	0	0	0	0	0.66079295154185	0.220264317180617	22.9074889867841	0	0.220264317180617	2.6431718061674	0	0	11.0132158590308	0	0	5.06607929515418	9.47136563876652	6.38766519823788	3.08370044052863
305	312	"Brophy Ditch"	43.22	-81.73	65	"AWI"	65	2245	3491	2871	10.6818181818182	0.227272727272727	2.95454545454545	0.227272727272727	0.454545454545455	0	0	1.13636363636364	0.909090909090909	0	1.81818181818182	2.95454545454545	0	0	19.3181818181818	0	0	0	0	0.454545454545455	0	21.1363636363636	0	0.227272727272727	1.13636363636364	0	0	9.77272727272727	0.227272727272727	0	5.68181818181818	11.5909090909091	5	4.09090909090909
305	312	"Brophy Ditch"	43.22	-81.73	70	"AWI"	70	2465	3703	3098	1.6602809706258	0.383141762452107	0	0	0	0	0.127713920817369	0.638569604086845	1.02171136653895	0	0.383141762452107	5.87484035759898	0.638569604086845	0	5.3639846743295	0.383141762452107	0	0	0	0.255427841634738	0	6.25798212005108	0	0.383141762452107	0.383141762452107	0.127713920817369	0	11.749680715198	0	0	0.893997445721584	6.25798212005108	3.95913154533844	53.2567049808429
