"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Salix"	"Sambucus"
516	530	"Voros-mocsar"	46.47722	19.19083	10	"AWI"	10	27	1627	633	33.3333333333333	33.3333333333333	0	0	0	0	0	0	0	0	33.3333333333333	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	50	"AWI"	50	3120	3721	3428	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	80	"AWI"	80	3553	5129	4233	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	110	"AWI"	110	4136	6120	5094	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	130	"AWI"	130	4717	6554	5685	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	150	"AWI"	150	5334	6955	6281	0	0	0	0	0	0	0	50	0	0	50	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	170	"AWI"	170	5979	7260	6839	0	0	0	0	0	0	50	0	0	25	25	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	190	"AWI"	190	6897	7495	7315	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	230	"AWI"	230	7315	8048	7602	0	0	11.1111111111111	0	0	0	0	0	0	0	88.8888888888889	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	250	"AWI"	250	7624	8431	7825	0	0	0	0	5.55555555555556	0	0	11.1111111111111	0	22.2222222222222	61.1111111111111	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	270	"AWI"	270	8413	11560	9783	4.76190476190476	0	0	0	0	0	4.76190476190476	0	0	9.52380952380952	76.1904761904762	4.76190476190476	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	290	"AWI"	290	10372	12885	11917	0	0	0	0	2.4390243902439	0	2.4390243902439	0	0	2.4390243902439	87.8048780487805	4.8780487804878	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	310	"AWI"	310	12187	13410	13198	0	0	0	0	1.0752688172043	0	0	0	0	5.37634408602151	93.5483870967742	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	330	"AWI"	330	12699	14033	13477	1.72413793103448	0	0.862068965517241	0	6.89655172413793	0	0	0	0.862068965517241	6.03448275862069	80.1724137931034	1.72413793103448	0.862068965517241	0.862068965517241	0
516	530	"Voros-mocsar"	46.47722	19.19083	350	"AWI"	350	13085	14400	13681	0	0	0	0	2.75229357798165	0	1.8348623853211	0	0	0	86.2385321100918	6.42201834862385	0	1.8348623853211	0.917431192660551
516	530	"Voros-mocsar"	46.47722	19.19083	370	"AWI"	370	13396	14709	13884	0	0	1.0989010989011	0	0	0	0	2.1978021978022	0	3.2967032967033	93.4065934065934	0	0	0	0
