"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Ceanothus"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Liquidambar"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
269	275	"Billy's Lake"	46.270324	-94.55197	180	"AWI"	180	-112	55	-26	0	0	6.07476635514019	0.934579439252336	0	1.86915887850467	0	17.7570093457944	0	0	0	0	0	0.467289719626168	0.467289719626168	0	1.4018691588785	0	0	0	0	0.467289719626168	0	0	0.467289719626168	0	0	0	0.934579439252336	2.33644859813084	47.196261682243	0	0	3.27102803738318	0	0.934579439252336	12.6168224299065	0	0	0	0	0.467289719626168	0	0	0.467289719626168	0.934579439252336	0	0.934579439252336	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	184	"AWI"	184	-84	78	2	0	0	4.26829268292683	2.4390243902439	0	1.21951219512195	0	16.4634146341463	0	0	0	0	0	0	0	0	4.26829268292683	0	0	0	0	6.09756097560976	0	0	0	0	0	0	0	0	35.3658536585366	0	0	4.8780487804878	0	1.21951219512195	15.8536585365854	0	0	0	0	6.09756097560976	0	0	0	0	0	1.82926829268293	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	190	"AWI"	190	-53	119	45	0	0	5.04201680672269	2.94117647058824	0	1.68067226890756	0	13.4453781512605	0	0	0	0	0	0	0.420168067226891	0	2.52100840336134	0	0	0	0	3.36134453781513	0	0	0	0	0	0.420168067226891	3.78151260504202	1.26050420168067	36.9747899159664	0	0	5.46218487394958	0	0	18.9075630252101	0	0	0	0	2.10084033613445	0	0	0.420168067226891	0	0	0.840336134453782	0	0.420168067226891
269	275	"Billy's Lake"	46.270324	-94.55197	194	"AWI"	194	-42	155	74	0	0	3.78151260504202	2.52100840336134	0	3.78151260504202	0	19.327731092437	0	0	0	0.420168067226891	0	0	0	0.420168067226891	2.52100840336134	0	0	0	0	1.68067226890756	0	0	0	0	0	0	1.26050420168067	0	44.1176470588235	0	0	3.36134453781513	0	0	15.546218487395	0	0	0	0	1.26050420168067	0	0	0	0	0	0	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	200	"AWI"	200	-31	211	117	0	0	6.08695652173913	3.47826086956522	0	1.73913043478261	0	14.7826086956522	0	0	0	0	0	0	1.30434782608696	0	1.30434782608696	0	0	0	0	6.52173913043478	0	0	0	0	0	0	4.78260869565217	0.434782608695652	40.8695652173913	0	0	4.78260869565217	0	0	11.7391304347826	0	0	0	0	0.869565217391304	0	0	0	0	0	1.30434782608696	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	204	"AWI"	204	-25	250	147	0	0	5.44747081712062	1.55642023346304	0	3.50194552529183	0	16.7315175097276	0	0	0	0	0	0	0.778210116731518	0	3.50194552529183	0	0	0	0	6.22568093385214	0	0	0	0	0	0	4.28015564202335	0.389105058365759	39.2996108949416	0	0	3.11284046692607	0	0.778210116731518	12.0622568093385	0	0	0	0	1.55642023346304	0	0	0	0	0	0.778210116731518	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	210	"AWI"	210	-16	310	191	0	0	11.25	2.5	0	9.375	0	29.375	0	0	0	0	0	0	2.5	0	1.875	0	0	0	0	8.75	0	0	0.625	0	0	0	8.75	1.875	0	0	0	6.875	0	1.875	12.5	0	0	0	0	1.25	0	0	0	0	0	0.625	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	214	"AWI"	214	-12	351	219	0	0	9.04761904761905	0.476190476190476	0	2.38095238095238	0	10.4761904761905	0	0	0	0.476190476190476	0.476190476190476	0	0.952380952380952	0	1.9047619047619	0	0	0	0	4.28571428571429	0	0	0	0	0.476190476190476	0	4.28571428571429	0	53.8095238095238	0	0	0.952380952380952	0	0.476190476190476	7.14285714285714	0	0	0	0	0.952380952380952	0	0	0.476190476190476	0	0	0.952380952380952	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	220	"AWI"	220	-6	417	262	0	0	6.84931506849315	0.91324200913242	0	2.28310502283105	0	12.7853881278539	0	0	0.45662100456621	0	0	0	1.82648401826484	0	2.28310502283105	0	0	0	0	3.19634703196347	0	0	0	0	0	0	6.39269406392694	0.45662100456621	48.8584474885845	0	0	3.19634703196347	0	0	8.21917808219178	0	0	0	0	0	0	0	0	0.45662100456621	0.45662100456621	1.36986301369863	0	0
269	275	"Billy's Lake"	46.270324	-94.55197	224	"AWI"	224	-3	461	291	0	0	5.4368932038835	0.58252427184466	0	2.9126213592233	0	18.4466019417476	0	0	0	0	0	0	1.35922330097087	0	0.58252427184466	0	0	0	0	3.68932038834951	0	0	0	0	0	0	4.85436893203883	0.388349514563107	40.3883495145631	0	0	2.71844660194175	0	0.58252427184466	15.5339805825243	0	0	0	0	0.388349514563107	0	0	0.388349514563107	0.388349514563107	0	1.35922330097087	0	0
