"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Ilex"	"Isoëtes"	"Juniperus"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tofieldiaceae"	"Ulmus"	"Viburnum"
1413	1450	"Kennys Pond"	47.59028	-52.71389	0	"AWI"	0	-122	39	-38	39	0	16	0	0	17	0	0	0	0	0	0	3	4	0	0	48	2	22	0	27	2	115	37	0	1	0	1	9	0	1	0	1	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	5	"AWI"	5	-74	304	52	23	0	16	0	0	25	2	0	7	0	0	0	3	7	0	0	55	2	14	0	62	5	126	0	0	1	5	0	12	0	2	0	0	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	10	"AWI"	10	-54	629	137	39	0	15	0	0	30	0	0	0	0	0	0	17	3	0	4	62	2	26	0	33	13	106	18	0	0	2	0	17	0	0	2	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	20	"AWI"	20	47	968	356	39	0	17	0	0	28	3	0	0	0	0	0	11	6	0	0	67	2	26	0	45	3	130	0	1	0	2	0	15	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	30	"AWI"	30	166	1265	577	17	0	24	0	0	22	1	0	0	0	0	0	9	8	0	0	45	1	23	0	20	4	125	13	0	0	1	0	17	1	0	1	1	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	40	"AWI"	40	296	1555	797	16	0	8	0	0	5	1	0	0	0	0	0	6	1	0	0	51	4	6	0	36	1	24	0	0	0	0	0	7	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	50	"AWI"	50	443	1801	1013	20	0	39	0	0	55	0	0	0	0	0	0	9	7	0	0	255	1	31	0	55	0	64	0	0	1	1	1	12	0	0	0	0	0	0	2
1413	1450	"Kennys Pond"	47.59028	-52.71389	55	"AWI"	55	553	1907	1120	19	0	18	0	0	28	2	0	0	0	0	0	2	7	0	0	105	4	25	0	67	6	104	0	0	0	2	0	20	1	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	60	"AWI"	60	616	2048	1230	18	0	10	0	0	40	1	0	0	0	0	0	1	6	0	0	55	0	18	0	33	1	11	0	0	1	4	0	3	1	0	0	0	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	70	"AWI"	70	782	2273	1459	31	0	47	0	0	80	0	1	0	0	0	0	3	11	0	0	87	2	24	0	83	6	10	0	0	2	2	0	8	1	0	0	2	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	80	"AWI"	80	978	2491	1678	38	0	33	0	0	89	0	0	0	1	1	0	2	8	0	2	47	0	24	0	90	4	3	0	0	2	3	0	4	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	85	"AWI"	85	1087	2599	1795	108	0	21	0	0	274	0	0	0	1	2	1	3	4	0	0	41	3	33	0	157	22	2	0	5	1	1	0	0	2	0	2	1	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	90	"AWI"	90	1168	2739	1908	52	0	11	1	0	148	0	0	0	0	0	0	0	4	0	0	18	0	14	0	71	11	3	0	0	0	3	0	0	0	0	0	1	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	95	"AWI"	95	1297	2837	2023	45	0	6	0	0	143	0	0	0	0	0	0	1	3	0	0	8	0	28	0	68	5	1	0	0	1	3	0	0	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	100	"AWI"	100	1375	2971	2134	40	0	12	1	0	177	0	0	0	0	0	0	1	9	1	3	6	1	21	0	90	7	1	0	0	0	1	0	0	0	0	0	1	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	103	"AWI"	103	1456	3022	2201	41	0	2	0	0	155	0	0	0	0	0	0	4	1	0	0	5	0	17	0	82	6	1	0	0	1	1	0	0	0	0	1	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	110	"AWI"	110	1581	3208	2358	54	0	4	0	0	153	0	0	0	0	0	4	0	4	0	1	7	2	11	1	89	8	0	0	0	1	3	0	0	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	120	"AWI"	120	1789	3392	2578	44	0	6	0	0	133	1	0	0	0	0	0	0	4	0	0	16	0	57	0	74	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	130	"AWI"	130	2010	3587	2811	52	0	13	0	0	181	0	0	0	0	0	0	0	2	2	0	11	0	56	4	69	14	0	0	0	0	2	0	0	0	0	0	0	0	3	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	140	"AWI"	140	2243	3763	3026	65	0	4	0	0	173	0	0	0	0	0	0	3	4	0	1	16	1	15	1	90	8	0	1	0	0	4	0	0	0	0	4	0	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	150	"AWI"	150	2491	3988	3253	48	0	10	0	0	172	0	0	0	0	0	0	0	2	0	0	7	0	22	0	69	15	1	0	0	0	3	0	0	0	0	0	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	160	"AWI"	160	2750	4173	3474	50	0	9	2	0	109	0	0	0	0	0	0	3	6	0	0	4	0	13	0	124	9	1	0	1	0	3	0	0	0	0	1	0	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	170	"AWI"	170	3004	4369	3692	34	0	5	0	0	152	0	0	0	0	0	0	1	3	1	0	15	0	15	0	92	14	1	0	0	1	0	0	0	0	0	0	0	0	1	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	175	"AWI"	175	3183	4448	3796	35	0	16	1	0	142	0	0	0	0	0	0	1	2	0	0	20	0	14	0	94	16	0	0	1	0	3	0	0	0	0	2	1	0	0	0
1413	1450	"Kennys Pond"	47.59028	-52.71389	180	"AWI"	180	3303	4544	3903	29	0	50	0	0	152	0	0	0	0	2	0	6	5	0	0	25	0	29	0	133	22	1	0	0	1	3	0	0	0	0	2	1	0	0	2
1413	1450	"Kennys Pond"	47.59028	-52.71389	185	"AWI"	185	3528	4611	4004	22	0	95	2	0	226	0	0	0	2	0	7	5	3	0	0	45	1	38	0	156	18	2	7	1	0	3	0	0	0	0	3	0	0	0	0
