"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Indeterminable"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"
681	701	"Divide Lake"	43.93333	-110.23333	0	"AWI"	0	-134	38	-50	14	1	0	4	0	65	0	0	0	2	0	0	0	0	38	208	6	0	0	0	1	1	0	0	0	0
681	701	"Divide Lake"	43.93333	-110.23333	20	"AWI"	20	306	1608	826	10	0	0	7	0	66	0	0	0	3	0	1	0	2	42	158	5	0	0	0	1	1	0	0	2	0
681	701	"Divide Lake"	43.93333	-110.23333	40	"AWI"	40	999	2610	1766	33	0	0	3	0	23	0	0	0	2	0	0	2	0	67	177	3	0	0	0	0	0	0	0	0	0
681	701	"Divide Lake"	43.93333	-110.23333	60	"AWI"	60	1894	3468	2708	12	0	0	6	1	57	0	0	0	2	0	0	5	0	89	162	6	1	0	0	0	1	0	1	1	0
681	701	"Divide Lake"	43.93333	-110.23333	80	"AWI"	80	2919	4204	3641	11	0	1	7	0	48	0	0	1	0	0	0	2	0	65	168	6	0	0	0	0	0	0	0	1	0
681	701	"Divide Lake"	43.93333	-110.23333	100	"AWI"	100	4166	4909	4526	18	0	0	5	0	47	0	0	0	0	0	0	1	0	69	162	2	0	1	0	0	0	0	0	2	1
681	701	"Divide Lake"	43.93333	-110.23333	120	"AWI"	120	4756	6213	5393	31	0	1	10	0	73	0	0	0	3	0	0	3	1	50	0	13	0	0	1	0	1	0	0	7	4
681	701	"Divide Lake"	43.93333	-110.23333	140	"AWI"	140	5428	7282	6283	20	0	0	6	0	74	0	0	0	0	1	1	5	0	42	208	12	0	0	1	0	0	3	0	2	2
681	701	"Divide Lake"	43.93333	-110.23333	160	"AWI"	160	6208	8255	7181	22	1	0	4	0	82	0	0	0	3	1	0	1	0	54	159	6	0	0	10	1	2	1	0	5	0
681	701	"Divide Lake"	43.93333	-110.23333	180	"AWI"	180	7051	9111	8075	23	0	0	9	0	45	13	0	0	1	0	0	1	1	63	184	7	0	0	1	0	0	0	0	3	1
681	701	"Divide Lake"	43.93333	-110.23333	190	"AWI"	190	7489	9538	8517	27	0	1	4	1	38	0	1	0	3	0	1	2	0	62	189	0	0	0	7	0	0	0	0	3	0
681	701	"Divide Lake"	43.93333	-110.23333	200	"AWI"	200	7921	9937	8962	21	0	0	3	0	69	0	0	1	1	0	0	3	0	53	189	2	0	0	9	1	0	1	1	3	1
681	701	"Divide Lake"	43.93333	-110.23333	210	"AWI"	210	8395	10336	9414	24	0	0	8	0	67	0	0	0	2	0	0	1	0	43	161	2	0	0	7	3	2	1	0	2	0
681	701	"Divide Lake"	43.93333	-110.23333	220	"AWI"	220	8910	10737	9856	26	0	0	14	1	55	0	0	0	0	0	0	1	0	41	171	2	0	0	3	2	0	0	0	2	0
681	701	"Divide Lake"	43.93333	-110.23333	230	"AWI"	230	9446	11121	10292	13	0	0	11	0	59	0	0	0	1	0	0	1	0	34	212	4	0	0	2	0	0	2	0	9	2
681	701	"Divide Lake"	43.93333	-110.23333	240	"AWI"	240	9967	11465	10722	23	0	0	5	0	32	0	0	0	0	1	0	0	0	36	248	2	0	0	13	0	0	0	0	1	0
681	701	"Divide Lake"	43.93333	-110.23333	250	"AWI"	250	10582	11827	11135	21	0	0	3	0	25	0	0	0	0	0	0	0	0	57	232	1	0	0	2	0	0	0	0	1	0
681	701	"Divide Lake"	43.93333	-110.23333	260	"AWI"	260	11217	12451	11730	18	0	0	3	0	29	0	1	0	1	2	0	0	0	73	202	2	0	0	0	0	0	0	0	0	0
681	701	"Divide Lake"	43.93333	-110.23333	270	"AWI"	270	11770	13214	12499	8	0	0	4	0	40	5	1	0	1	0	0	1	0	118	0	4	0	0	0	0	0	0	0	1	0
681	701	"Divide Lake"	43.93333	-110.23333	280	"AWI"	280	12630	13707	13274	8	0	0	6	0	86	0	2	0	4	0	0	1	3	96	0	18	0	0	0	0	0	1	0	2	0
681	701	"Divide Lake"	43.93333	-110.23333	290	"AWI"	290	13382	14251	13789	4	0	1	8	0	74	0	0	1	8	0	0	4	6	42	160	15	1	0	0	0	0	1	1	4	0
681	701	"Divide Lake"	43.93333	-110.23333	300	"AWI"	300	13662	14789	14151	3	0	1	5	2	161	24	1	0	4	0	1	8	10	16	104	21	0	0	0	0	1	2	0	8	0
681	701	"Divide Lake"	43.93333	-110.23333	310	"AWI"	310	13969	15371	14555	0	0	1	2	0	147	0	0	0	3	0	0	2	5	17	112	13	0	0	0	0	1	0	0	6	0
