"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Corylus"	"Cyperaceae"	"Diapensiaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Morus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Taxus"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
659	677	"Delorme 2"	54.42361	-69.92972	255	"AWI"	255	6790	7643	7235	1	0	0	0	2	0	106	0	0	0	9	0	5	0	0	0	0	0	0	0	0	2	0	19	0	0	70	22	0	0	0	3	0	0	7	0	0	1	0	0
659	677	"Delorme 2"	54.42361	-69.92972	260	"AWI"	260	6858	7836	7343	2	0	508	0	4	0	203	1	0	0	10	0	6	1	0	0	0	0	2	0	0	0	0	12	0	0	46	16	9	0	0	3	0	0	5	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	5	"AWI"	5	23	695	429	2	0	72	1	2	2	88	0	0	1	3	0	4	0	0	0	0	0	4	0	0	3	0	11	0	3	224	24	4	0	0	5	0	0	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	10	"AWI"	10	125	1440	915	3	0	73	1	2	0	119	0	0	0	5	0	8	0	0	0	0	0	6	0	0	7	0	7	0	0	307	30	7	0	0	2	0	0	1	1	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	15	"AWI"	15	861	1541	1238	1	0	58	0	4	0	67	0	0	0	8	0	3	0	0	0	0	0	1	0	0	3	0	5	0	0	251	0	6	0	0	2	0	0	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	20	"AWI"	20	1180	1935	1578	0	0	113	0	2	0	132	0	0	1	9	0	5	4	0	0	0	0	5	0	0	5	0	13	0	0	283	44	5	0	0	3	1	1	0	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	25	"AWI"	25	1313	2115	1720	2	0	109	1	2	0	170	0	0	0	12	0	13	3	0	0	0	0	5	0	0	7	0	11	0	0	465	80	7	0	0	5	0	0	4	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	30	"AWI"	30	1396	2422	1849	2	0	77	0	3	0	109	0	0	0	5	0	7	1	0	0	0	0	11	0	0	5	0	22	0	1	347	37	8	0	0	1	1	0	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	35	"AWI"	35	1523	2547	1998	1	0	51	0	3	0	66	0	0	0	7	0	3	0	0	0	0	0	7	0	0	3	0	11	0	0	311	26	4	0	0	1	0	0	1	0	0	1	0	0
659	677	"Delorme 2"	54.42361	-69.92972	40	"AWI"	40	1601	2760	2144	1	0	110	1	1	0	92	0	0	0	3	0	7	0	0	0	1	0	5	0	0	1	0	19	0	0	278	21	6	0	0	1	0	1	4	0	1	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	45	"AWI"	45	1755	2871	2296	2	0	58	1	1	2	43	0	0	0	4	0	2	0	0	0	0	0	3	0	0	3	0	22	0	0	232	23	3	0	0	1	0	0	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	50	"AWI"	50	1852	3051	2446	1	0	129	1	3	0	151	0	0	1	10	0	6	3	0	0	0	0	10	0	0	1	0	33	0	0	428	32	5	0	0	0	0	0	2	1	0	0	4	0
659	677	"Delorme 2"	54.42361	-69.92972	55	"AWI"	55	2036	3136	2596	1	0	80	1	5	0	66	0	0	0	8	0	7	0	0	0	0	1	7	0	0	2	0	16	0	0	284	34	7	0	0	2	0	0	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	60	"AWI"	60	2140	3293	2750	0	0	72	0	2	0	71	0	0	0	6	0	4	1	2	0	0	0	5	0	0	2	0	8	0	0	201	23	1	0	0	1	0	0	0	0	0	0	1	0
659	677	"Delorme 2"	54.42361	-69.92972	65	"AWI"	65	2359	3388	2895	1	0	121	1	1	0	113	0	0	0	7	0	5	0	0	0	0	0	6	0	0	3	0	14	0	0	281	28	3	0	0	0	0	0	0	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	70	"AWI"	70	2495	3538	3047	2	0	136	0	3	0	105	0	0	1	6	0	5	0	2	0	0	0	3	0	0	0	0	16	0	0	282	15	2	0	0	2	0	0	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	75	"AWI"	75	2788	3635	3191	2	0	140	0	4	0	90	0	0	0	0	0	11	1	0	0	0	0	8	0	0	0	0	25	0	0	252	22	3	0	0	1	0	0	3	1	0	0	2	0
659	677	"Delorme 2"	54.42361	-69.92972	80	"AWI"	80	2924	3793	3344	1	0	117	0	1	0	125	0	0	0	6	1	5	1	0	0	0	0	4	0	0	0	0	20	1	0	277	17	4	0	0	1	0	0	1	0	0	0	2	0
659	677	"Delorme 2"	54.42361	-69.92972	85	"AWI"	85	3062	3975	3500	2	0	85	0	1	0	103	0	0	0	2	0	2	0	0	0	0	0	2	0	0	1	0	9	0	0	176	16	0	0	0	0	0	0	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	90	"AWI"	90	3141	4294	3648	1	0	156	0	1	0	143	0	0	0	10	1	5	1	0	0	0	0	29	1	0	1	0	23	0	0	215	19	6	0	0	0	0	0	5	0	0	0	1	1
659	677	"Delorme 2"	54.42361	-69.92972	95	"AWI"	95	3289	4426	3813	1	0	58	0	5	0	94	0	0	0	7	0	7	0	0	0	0	1	8	0	0	4	0	12	0	0	187	15	4	0	0	0	0	0	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	100	"AWI"	100	3369	4651	3974	1	0	0	0	2	0	134	0	0	0	17	0	3	0	0	0	0	0	16	0	0	1	0	19	0	0	191	9	3	0	0	0	0	1	2	0	1	1	0	0
659	677	"Delorme 2"	54.42361	-69.92972	105	"AWI"	105	3536	4768	4136	1	0	67	1	0	0	81	0	0	0	6	0	4	0	0	0	0	1	12	0	0	1	0	28	0	0	118	27	5	0	0	0	0	0	0	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	110	"AWI"	110	3633	4951	4301	3	0	124	0	1	0	124	0	0	0	5	0	8	0	0	0	0	0	22	0	0	2	0	24	0	0	141	0	4	0	0	2	0	0	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	115	"AWI"	115	3830	5043	4460	2	0	89	0	3	0	99	0	0	0	11	0	5	0	0	0	0	0	7	0	0	0	0	22	0	0	155	21	3	0	0	0	0	0	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	120	"AWI"	120	3945	5206	4627	3	0	106	1	2	0	118	0	1	1	4	0	6	0	0	0	0	0	16	0	0	3	0	40	0	0	193	24	6	0	0	1	0	0	3	0	0	1	0	0
659	677	"Delorme 2"	54.42361	-69.92972	125	"AWI"	125	4181	5277	4777	4	0	159	1	3	0	186	0	0	0	8	0	3	0	0	0	0	2	26	0	0	1	0	41	0	0	220	25	4	1	0	0	0	0	4	2	0	2	0	0
659	677	"Delorme 2"	54.42361	-69.92972	130	"AWI"	130	4327	5409	4938	5	0	121	0	3	2	161	0	0	0	11	0	4	0	0	0	0	0	5	0	0	1	0	21	0	0	210	16	0	0	0	1	0	1	0	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	135	"AWI"	135	4550	5479	5048	3	0	97	0	0	3	95	0	0	0	6	0	1	0	0	0	0	0	1	0	0	0	0	30	0	0	103	7	2	0	0	0	0	1	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	140	"AWI"	140	4666	5602	5175	1	0	141	0	1	0	117	0	0	0	6	0	3	0	0	0	0	0	1	0	0	3	0	35	0	0	135	10	2	0	0	1	0	1	3	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	145	"AWI"	145	4759	5669	5258	1	0	87	0	1	2	112	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	22	0	0	120	12	2	0	0	1	0	0	3	0	1	1	1	0
659	677	"Delorme 2"	54.42361	-69.92972	150	"AWI"	150	4834	5752	5340	1	0	90	0	1	0	132	0	0	0	5	0	11	0	0	0	0	0	2	0	0	1	1	41	0	0	133	6	1	0	0	0	0	0	3	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	155	"AWI"	155	4933	5814	5417	2	0	67	0	0	0	109	0	0	0	3	0	4	0	0	0	0	0	0	0	0	1	0	33	0	0	108	11	0	0	0	0	0	0	2	1	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	160	"AWI"	160	4996	5893	5494	1	0	102	0	1	2	197	0	0	0	8	0	1	1	0	0	0	0	0	0	0	2	0	18	0	0	186	10	0	0	0	0	0	0	4	0	0	0	2	0
659	677	"Delorme 2"	54.42361	-69.92972	165	"AWI"	165	5090	5947	5569	2	0	111	1	2	0	249	0	0	0	11	0	4	0	0	0	0	0	1	0	0	2	0	37	0	0	213	21	3	0	0	2	0	0	2	1	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	170	"AWI"	170	5162	6020	5640	1	0	103	0	5	0	204	0	0	0	5	0	0	0	0	0	0	0	3	0	0	1	0	31	0	0	181	0	0	0	0	0	0	0	1	1	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	175	"AWI"	175	5266	6072	5718	0	0	0	1	1	0	165	0	0	0	4	0	1	0	0	0	0	0	1	0	0	1	0	18	0	0	105	10	3	0	0	3	0	0	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	180	"AWI"	180	5341	6152	5792	0	0	113	1	2	0	267	0	0	1	18	0	4	0	0	0	0	0	0	0	0	4	0	16	1	0	227	7	3	0	0	1	0	0	1	0	0	0	2	0
659	677	"Delorme 2"	54.42361	-69.92972	185	"AWI"	185	5457	6199	5862	1	0	115	0	2	0	240	0	0	0	7	0	4	0	0	0	0	0	2	0	0	2	0	25	0	0	171	11	2	0	0	0	0	1	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	190	"AWI"	190	5537	6272	5933	0	0	60	0	3	0	186	0	0	0	9	0	1	0	0	0	0	0	1	0	0	0	0	30	0	0	99	0	2	0	0	1	0	0	3	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	195	"AWI"	195	5655	6325	6012	0	0	89	0	0	0	273	0	0	1	7	0	0	0	0	0	0	0	3	0	0	3	0	43	0	0	148	9	5	0	0	2	0	0	2	2	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	200	"AWI"	200	5739	6414	6093	1	0	132	0	4	0	369	0	0	0	16	0	10	0	0	0	0	1	8	0	0	3	0	60	0	0	208	9	3	0	0	1	0	0	1	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	205	"AWI"	205	5828	6529	6196	0	0	98	0	1	0	229	0	0	0	6	0	1	0	0	0	0	0	3	0	0	1	0	26	0	0	133	4	2	0	0	0	0	0	0	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	210	"AWI"	210	5891	6734	6289	0	0	107	1	4	0	228	0	0	1	6	0	5	0	0	0	0	0	3	0	0	4	0	22	0	0	76	0	3	0	0	0	0	0	2	0	0	1	0	0
659	677	"Delorme 2"	54.42361	-69.92972	215	"AWI"	215	5993	6823	6394	0	0	167	0	1	0	289	0	0	0	7	0	2	0	0	0	0	0	4	0	0	2	0	29	0	0	66	3	3	0	0	1	0	0	0	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	220	"AWI"	220	6053	6969	6492	2	0	199	0	2	0	249	0	0	0	3	0	5	0	0	0	0	0	8	0	0	12	0	25	0	0	63	8	1	0	0	1	0	0	0	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	225	"AWI"	225	6168	7046	6599	0	0	0	1	3	0	257	1	0	0	13	0	4	0	0	0	0	1	4	0	0	13	0	68	0	0	97	11	1	0	0	1	0	0	6	0	0	0	1	0
659	677	"Delorme 2"	54.42361	-69.92972	230	"AWI"	230	6239	7171	6703	1	0	259	1	0	2	138	0	0	0	10	0	3	0	0	0	0	0	0	0	0	4	0	49	0	0	62	9	2	0	3	0	0	1	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	235	"AWI"	235	6358	7243	6809	1	0	281	0	4	0	128	0	0	0	6	0	8	0	0	1	0	1	0	0	0	9	0	40	0	0	45	14	0	0	0	0	0	0	6	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	240	"AWI"	240	6425	7359	6914	0	0	338	2	3	2	124	0	0	0	8	0	3	0	0	0	0	0	1	0	0	4	0	21	0	0	45	13	2	0	0	0	0	0	2	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	245	"AWI"	245	6581	7433	7014	0	0	0	1	2	0	57	0	0	0	5	0	2	0	0	0	0	0	0	0	0	1	0	25	0	0	33	0	0	0	0	0	0	0	6	0	0	0	0	0
659	677	"Delorme 2"	54.42361	-69.92972	250	"AWI"	250	6666	7535	7116	1	0	416	0	2	0	139	0	0	0	7	0	5	0	0	0	0	0	0	0	0	7	0	107	0	0	61	17	3	0	4	3	0	0	5	0	0	1	1	0
