"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Morus"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
9980	813	"East Twin Lake"	41.19519	-81.335614	1146	"AWI"	1146	-19	310	127	0	0	15	2	0	1	0	11	29	7	0	1	0	2	1	7	17	0	3	3	0	1	0	0	0	9	0	0	5	32	2	126	0	0	1	1	10	4	0	3	2	14	0	1
9980	813	"East Twin Lake"	41.19519	-81.335614	1154	"AWI"	1154	19	365	201	0	0	11	2	0	2	100	9	18	5	0	0	0	1	0	10	12	15	4	0	2	0	0	0	0	7	1	0	5	15	0	132	1	0	0	0	17	3	0	2	3	18	0	0
9980	813	"East Twin Lake"	41.19519	-81.335614	1170	"AWI"	1170	145	449	338	0	0	20	1	0	0	0	9	21	13	0	0	0	0	1	3	29	16	2	8	1	0	1	1	0	10	0	13	5	0	2	147	0	0	0	0	0	2	0	1	1	11	0	2
9980	813	"East Twin Lake"	41.19519	-81.335614	1194	"AWI"	1194	332	895	568	0	0	7	0	0	1	0	6	29	13	0	0	0	0	1	4	27	18	1	0	0	0	0	0	0	7	0	0	4	0	1	201	0	0	0	0	0	0	0	0	1	14	0	0
9980	813	"East Twin Lake"	41.19519	-81.335614	1242	"AWI"	1242	694	1596	1115	0	0	13	0	0	0	0	6	51	9	0	0	0	1	0	2	26	26	0	3	1	0	0	0	0	7	0	0	5	0	2	211	0	0	0	0	0	1	0	1	0	19	0	0
9980	813	"East Twin Lake"	41.19519	-81.335614	1290	"AWI"	1290	1208	2094	1665	0	0	11	1	0	1	0	8	54	4	0	0	0	0	0	6	16	14	1	2	0	0	0	0	0	5	1	0	12	0	2	232	0	1	0	0	0	0	0	0	4	19	0	0
9980	813	"East Twin Lake"	41.19519	-81.335614	1336	"AWI"	1336	1850	2551	2172	0	0	19	1	0	0	6	5	64	6	0	0	0	1	0	5	21	0	0	6	1	0	0	2	0	3	0	15	6	0	1	330	0	1	0	0	0	1	2	3	1	11	0	0
9980	813	"East Twin Lake"	41.19519	-81.335614	1344	"AWI"	1344	2040	2614	2249	0	0	28	1	0	0	0	11	60	9	0	0	0	0	0	5	11	20	4	0	0	0	0	0	0	7	0	15	3	0	0	204	0	0	0	0	0	0	2	0	1	24	0	0
9980	813	"East Twin Lake"	41.19519	-81.335614	1376	"AWI"	1376	2315	3254	2703	0	0	14	3	0	1	0	2	64	8	0	0	0	0	0	2	13	18	1	2	0	1	0	0	0	5	0	5	4	0	2	263	1	0	0	0	0	0	2	1	2	20	1	0
9980	813	"East Twin Lake"	41.19519	-81.335614	1420	"AWI"	1420	2805	3997	3372	0	0	19	0	0	0	0	12	50	12	0	0	0	2	0	9	38	19	1	0	1	1	0	0	1	14	0	12	8	0	1	286	1	0	1	0	0	1	1	0	1	25	0	0
