"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Gentianaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
851	880	"Peat Exposure, Glukhoye Lake"	59.75	149.91667	34	"AWI"	34	3094	3992	3519	210	0	0	6	0	108	0	0	0	46	37	0	1	0	0	0	0	12	8	0	0	11	6	1	1	1
851	880	"Peat Exposure, Glukhoye Lake"	59.75	149.91667	72	"AWI"	72	4872	5722	5342	76	0	0	9	0	102	0	0	2	20	36	0	0	0	0	0	0	78	3	0	0	0	6	1	0	0
851	880	"Peat Exposure, Glukhoye Lake"	59.75	149.91667	110	"AWI"	110	5923	6647	6274	148	1	0	4	1	102	1	1	0	18	63	0	0	2	1	0	2	41	18	1	0	4	4	1	1	1
851	880	"Peat Exposure, Glukhoye Lake"	59.75	149.91667	130	"AWI"	130	6123	7124	6550	134	0	0	1	4	132	0	0	1	17	64	0	0	0	0	1	0	92	12	0	1	0	5	3	3	1
851	880	"Peat Exposure, Glukhoye Lake"	59.75	149.91667	150	"AWI"	150	6322	7586	6823	196	1	1	4	1	141	0	0	1	4	87	1	0	1	0	0	2	21	3	1	0	4	3	1	0	1
851	880	"Peat Exposure, Glukhoye Lake"	59.75	149.91667	220	"AWI"	220	7085	9011	7807	163	0	0	1	0	51	0	0	1	3	31	1	0	0	1	0	1	7	1	0	1	0	1	1	0	0
