"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Diapensiaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Morus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
842	871	"Lac à St-Germain"	45.94583	-74.37083	712	"AWI"	712	11562	13223	12402	1	0	15	0	0	14	0	0	127	0	0	1	0	0	3	52	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	58	48	0	0	0	6	0	0	2	0	72	0	0	0	3	8	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	718	"AWI"	718	11649	13361	12502	0	0	0	1	0	6	0	0	43	0	2	3	0	0	5	145	0	0	2	0	0	0	0	4	0	1	6	0	0	0	0	0	0	0	77	56	0	0	0	13	0	0	5	0	82	0	0	0	1	6	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	740	"AWI"	740	11943	13910	12870	0	0	5	0	0	16	0	0	13	0	0	2	0	0	5	154	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	11	0	0	10	0	40	0	0	0	0	1	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	750	"AWI"	750	12077	14136	13047	0	0	8	2	0	25	0	0	32	0	1	6	0	1	6	212	0	1	0	6	0	0	0	0	0	0	7	0	0	0	1	0	0	0	73	122	0	0	0	11	1	0	17	0	22	0	0	0	0	10	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	760	"AWI"	760	12219	14396	13228	1	0	0	3	0	3	0	0	17	0	1	4	0	0	11	91	0	2	0	0	1	11	0	5	0	0	5	0	0	0	0	0	0	0	65	154	0	0	0	13	0	0	13	0	65	0	0	0	0	3	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	770	"AWI"	770	12352	14634	13408	0	0	8	1	0	12	5	0	46	0	2	0	0	0	12	27	1	2	0	0	2	0	0	7	2	0	9	0	0	0	0	0	3	0	64	53	0	8	0	43	0	0	2	0	77	0	0	0	0	7	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	780	"AWI"	780	12476	14865	13581	0	0	0	0	0	1	0	0	26	0	1	2	0	0	5	11	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	6	0	0	1	0	20	0	0	0	3	1	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	5	"AWI"	5	-107	193	2	1	0	14	0	0	1	0	0	240	0	0	1	0	0	2	2	0	0	0	0	25	6	0	0	7	0	0	0	0	0	0	0	5	28	64	10	0	0	0	17	0	0	0	1	0	0	0	0	5	3	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	25	"AWI"	25	12	890	310	2	0	0	1	0	0	0	0	287	0	1	0	0	0	4	7	0	0	1	0	44	12	0	0	6	3	4	2	0	0	0	0	2	0	130	4	0	0	0	14	0	0	0	0	0	0	0	0	44	8	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	50	"AWI"	50	262	1449	729	4	0	20	0	0	2	0	0	417	0	4	0	1	0	2	11	0	0	0	0	72	12	0	4	9	1	7	4	0	0	5	0	4	0	137	13	0	0	0	24	0	0	1	0	0	0	0	0	65	26	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	75	"AWI"	75	555	1956	1155	1	0	9	0	0	3	0	0	258	0	1	0	0	0	3	14	0	0	0	0	56	8	1	2	5	0	3	5	0	0	0	0	1	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	61	10	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	100	"AWI"	100	872	2419	1585	0	0	0	0	0	0	0	0	373	0	3	1	0	0	2	5	0	0	1	0	71	22	0	1	8	1	0	4	0	0	1	0	6	0	77	8	0	0	0	31	0	0	1	0	0	0	0	0	61	17	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	125	"AWI"	125	1246	2838	2014	8	0	20	1	0	2	0	0	480	0	2	0	1	0	4	9	0	0	0	0	123	14	0	1	17	0	6	5	0	0	0	0	6	17	235	8	0	0	0	25	0	0	0	0	0	0	0	0	82	26	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	150	"AWI"	150	1635	3254	2429	6	0	3	1	0	1	0	0	237	0	0	2	0	0	1	8	0	0	0	0	52	11	0	2	5	2	9	2	0	0	0	0	2	0	69	4	0	0	0	11	0	0	2	0	0	0	0	0	41	15	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	175	"AWI"	175	2034	3647	2854	2	0	8	0	0	3	0	0	207	0	0	0	0	0	1	8	0	0	0	0	44	10	0	2	7	0	14	2	0	0	1	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	0	0	25	8	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	200	"AWI"	200	2482	4019	3275	1	0	0	1	0	0	0	0	344	0	0	1	0	0	0	10	0	0	0	0	59	16	0	1	6	2	0	2	0	1	1	0	1	0	148	12	0	0	0	22	0	0	0	0	0	0	0	0	35	13	0
842	871	"Lac à St-Germain"	45.94583	-74.37083	225	"AWI"	225	2947	4371	3697	4	0	0	0	0	0	0	0	245	0	1	0	2	0	0	5	0	0	0	0	36	10	0	0	6	0	21	1	0	0	0	0	4	0	0	1	0	0	0	17	0	0	0	0	0	0	0	1	21	5	0
