"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Montiaceae"	"Nyctaginaceae"	"Onagraceae"	"Orobanchaceae"	"Phrymaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Urticaceae"
246	250	"Beef Pasture"	37.472418	-108.162002	0	"AWI"	0	-90	34	-22	6	0	1	30	3	13	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	64	85	0	54	0	0	0	0	0	22	0	0	0	0	1	0	0	2	0	0	0	0
246	250	"Beef Pasture"	37.472418	-108.162002	0.5	"AWI"	0.5	-83	35.5	-18.5	6	0	1	30	1	15	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	1	0	0	0	0	0	2	0	27	0	1	0	0	0	0	0	0	74	78	1	31	0	0	0	0	1	41	0	0	0	1	8	0	0	3	1	0	0	0
246	250	"Beef Pasture"	37.472418	-108.162002	2.5	"AWI"	2.5	-56	40.5	-3.5	4	0	2	28	3	25	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	1	1	9	0	0	0	0	0	0	0	0	78	69	0	33	0	0	0	11	0	25	0	0	0	0	5	0	0	7	0	0	0	0
246	250	"Beef Pasture"	37.472418	-108.162002	4	"AWI"	4	-36	45	8	4	0	3	37	2	35	0	2	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	2	0	0	2	0	6	0	1	0	0	0	0	0	0	47	93	0	36	0	0	0	0	0	23	0	0	0	0	3	0	0	1	4	0	1	0
246	250	"Beef Pasture"	37.472418	-108.162002	6	"AWI"	6	-10	53	23	5	0	4	32	3	36	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	6	0	0	13	0	4	0	0	0	0	0	0	2	0	40	115	0	28	0	0	0	0	1	12	0	0	0	0	4	0	0	1	2	0	2	0
246	250	"Beef Pasture"	37.472418	-108.162002	8.5	"AWI"	8.5	14	68.5	41.5	5	0	0	30	5	45	0	0	1	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	1	0	0	7	0	9	1	0	0	0	0	0	1	0	52	125	0	28	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	0	2	0
246	250	"Beef Pasture"	37.472418	-108.162002	10.5	"AWI"	10.5	32.5	89.5	60.5	6	0	0	32	5	48	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	3	0	0	3	0	6	0	0	0	0	0	0	5	0	50	111	0	19	0	0	1	0	0	4	0	0	0	0	7	0	0	3	0	0	7	0
246	250	"Beef Pasture"	37.472418	-108.162002	12.5	"AWI"	12.5	51.5	148	89	2	0	0	25	4	42	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	11	0	16	0	0	0	0	0	0	0	0	39	107	0	15	0	0	0	0	0	16	0	0	0	1	5	0	0	0	0	0	5	0
246	250	"Beef Pasture"	37.472418	-108.162002	14.5	"AWI"	14.5	59	226	115.5	6	0	1	22	0	48	0	0	0	0	0	0	0	0	1	0	0	94	0	3	0	0	0	0	4	0	1	5	0	7	0	0	0	0	0	0	1	0	35	96	0	9	0	0	0	0	3	19	0	0	0	0	5	0	0	1	6	0	2	0
246	250	"Beef Pasture"	37.472418	-108.162002	16.5	"AWI"	16.5	65	307.5	142.5	5	0	0	46	1	54	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	2	0	0	4	0	7	0	2	0	0	0	0	0	0	77	119	0	20	0	0	1	0	1	12	0	0	0	0	10	0	0	2	0	0	2	0
246	250	"Beef Pasture"	37.472418	-108.162002	18	"AWI"	18	68	369	162	3	0	2	25	0	50	0	0	0	0	0	0	0	2	0	0	0	143	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	56	123	0	16	0	0	0	0	0	6	0	0	0	0	1	0	0	1	1	0	3	0
246	250	"Beef Pasture"	37.472418	-108.162002	20	"AWI"	20	72	449	189	5	0	4	32	3	60	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	2	0	0	6	0	4	0	0	0	0	0	0	0	0	42	125	0	22	0	0	0	1	0	5	0	0	0	0	3	0	0	7	0	0	2	0
246	250	"Beef Pasture"	37.472418	-108.162002	22	"AWI"	22	95	467	221	5	0	1	25	4	57	0	0	0	0	1	0	0	0	0	0	0	541	0	4	0	0	1	0	1	0	0	3	0	2	0	0	0	0	0	0	1	0	42	106	0	38	0	0	0	0	0	8	0	0	0	0	1	0	0	2	0	0	5	0
246	250	"Beef Pasture"	37.472418	-108.162002	24	"AWI"	24	110	494	255	0	0	3	33	0	83	0	3	2	0	0	0	0	1	1	0	0	496	0	0	0	0	0	0	1	0	0	6	0	6	0	0	0	0	0	0	0	0	17	98	0	41	0	0	0	1	2	9	0	0	0	0	1	0	0	4	1	0	10	0
246	250	"Beef Pasture"	37.472418	-108.162002	26	"AWI"	26	122	521	287	1	0	0	36	4	106	0	1	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	10	70	0	43	0	0	0	2	0	9	0	0	0	0	9	0	0	1	1	0	8	0
246	250	"Beef Pasture"	37.472418	-108.162002	28	"AWI"	28	131	554	319	2	0	1	61	5	116	0	4	0	0	0	0	0	0	0	1	0	261	0	2	0	2	0	0	0	0	0	6	0	3	0	1	0	0	0	0	0	0	27	91	0	44	0	0	0	0	1	17	0	3	0	0	7	0	0	5	3	0	13	0
246	250	"Beef Pasture"	37.472418	-108.162002	30	"AWI"	30	141	599	348	1	0	1	37	1	58	0	0	0	0	0	0	0	0	1	1	0	179	0	0	0	2	0	0	0	0	0	7	0	5	0	0	0	0	0	0	2	0	46	91	0	38	0	0	0	2	6	8	0	0	0	0	7	0	0	4	1	0	4	0
