"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Artemisia"	"Betulaceae"	"Cyperaceae"	"Ericales"	"Larix"	"Picea"	"Pinus"	"Poaceae"	"Salix"
1108	1141	"Igarka Peat Exposure"	67.66667	86	5	"AWI"	5	5241	6006	5669	0	60	0	240	0	80	0	300	0	20	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	10	"AWI"	10	5438	6171	5841	0	0	0	0	1	0	0	240	370	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	20	"AWI"	20	5840	6465	6191	0	90	0	250	4	0	0	180	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	30	"AWI"	30	6269	6744	6532	0	60	30	300	150	120	0	180	0	30	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	35	"AWI"	35	6491	6876	6704	60	120	0	300	0	0	0	240	80	4	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	40	"AWI"	40	6738	7002	6873	0	60	0	350	150	30	10	0	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	50	"AWI"	50	7058	7446	7228	0	30	0	175	120	0	15	240	0	100	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	60	"AWI"	60	7342	7874	7590	0	70	0	420	10	0	103	280	0	2	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	75	"AWI"	75	7838	8487	8143	0	65	0	260	10	0	150	280	0	2	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	80	"AWI"	80	8011	8665	8326	0	20	0	270	2	0	18	360	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	100	"AWI"	100	8723	9399	9063	0	60	0	180	70	30	9	360	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	110	"AWI"	110	9108	9737	9431	0	75	0	240	180	0	10	250	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	115	"AWI"	115	9306	9906	9616	0	55	0	275	100	0	0	330	0	40	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	120	"AWI"	120	9503	10068	9799	0	60	0	240	0	0	0	360	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	125	"AWI"	125	9716	10224	9983	0	0	0	247	0	0	20	246	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	130	"AWI"	130	9945	10375	10163	0	30	30	180	6	0	30	120	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	135	"AWI"	135	10195	10521	10339	0	80	20	240	5	0	25	160	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	140	"AWI"	140	10362	10701	10513	0	40	35	300	210	30	40	180	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	145	"AWI"	145	10493	10893	10680	0	20	60	110	360	180	5	90	0	0	10
1108	1141	"Igarka Peat Exposure"	67.66667	86	150	"AWI"	150	10622	11074	10848	0	25	10	300	2	20	10	225	0	20	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	155	"AWI"	155	10758	11261	11022	0	40	40	288	280	80	12	192	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	160	"AWI"	160	10899	11484	11194	0	20	90	300	300	0	0	80	0	0	0
