"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Hippophaë rhamnoides"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	10	"AWI"	10	-6	472	181	0	0	15	40	4	50	0	4	10	0	0	0	4	1	2	1	1	0	0	0	0	0	1	0	0	0	0	64	0	0	0	0	3	7	0	1	3	0	4	0	1	0	1	0	1
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	20	"AWI"	20	146	760	448	0	0	16	37	3	70	0	2	7	0	4	0	3	3	0	0	1	0	0	0	0	0	1	0	0	0	1	68	0	0	0	0	2	8	0	1	3	0	7	0	0	0	1	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	30	"AWI"	30	412	948	710	0	0	11	24	4	53	28	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	68	0	1	5	0	1	3	0	1	0	0	0	2	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	40	"AWI"	40	804	1116	973	0	0	160	69	11	243	0	8	75	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	112	0	0	0	0	16	46	0	6	17	0	19	0	0	0	2	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	50	"AWI"	50	979	1541	1213	0	0	30	14	1	82	19	3	6	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	1	29	0	0	0	0	2	2	0	3	1	0	3	0	1	0	3	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	60	"AWI"	60	1145	1840	1482	0	0	29	28	1	65	0	4	19	0	0	0	3	6	1	0	1	0	0	1	0	0	0	0	0	0	0	117	0	0	0	0	3	8	0	2	2	0	5	0	0	0	3	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	70	"AWI"	70	1371	2063	1738	1	0	18	12	1	53	0	3	12	0	0	0	1	3	0	0	1	4	0	0	0	0	0	0	0	0	1	42	0	0	0	0	1	13	0	3	7	0	4	0	1	0	1	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	90	"AWI"	90	2041	2372	2237	0	0	17	18	0	60	0	2	9	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	188	0	0	0	0	2	7	0	1	4	0	6	0	1	0	1	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	100	"AWI"	100	2270	3021	2592	0	0	17	37	5	56	20	3	4	0	0	0	1	6	0	0	0	0	0	2	0	0	0	0	0	1	0	149	0	0	77	0	2	8	0	1	3	0	14	0	0	0	3	0	0
1403	1440	"Kardashinski Swamp"	46.51667	32.61667	110	"AWI"	110	2502	3543	2989	0	0	19	23	1	67	0	4	4	0	0	0	7	2	1	0	1	0	0	0	1	0	0	0	0	5	1	134	0	0	0	0	14	12	0	1	2	0	5	0	0	0	3	0	0
