"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
360	369	"Chippewa Bog"	43.12389	-83.24111	191	"AWI"	191	46	1004	604	0	4.8780487804878	0.48780487804878	0.48780487804878	0	0.975609756097561	9.26829268292683	3.41463414634146	0	0	0.975609756097561	0	1.95121951219512	0	7.31707317073171	3.41463414634146	0	0	0	1.95121951219512	0.975609756097561	0.975609756097561	1.46341463414634	17.0731707317073	0	0.975609756097561	0.48780487804878	1.95121951219512	28.2926829268293	0	0.48780487804878	2.4390243902439	3.90243902439024	0.48780487804878	5.36585365853659
360	369	"Chippewa Bog"	43.12389	-83.24111	196	"AWI"	196	198	1037	676	0	3.88349514563107	1.94174757281553	0	0.970873786407767	2.9126213592233	10.6796116504854	0.970873786407767	0	0	0	0.970873786407767	0	0	5.8252427184466	0	0	0	0	3.88349514563107	0	0	0	21.3592233009709	0	0	1.94174757281553	0	40.7766990291262	0	0	0.970873786407767	0	0.970873786407767	1.94174757281553
360	369	"Chippewa Bog"	43.12389	-83.24111	206	"AWI"	206	398	1129	825	0	2.5	1.5	0	0	0	7	1	0	0.5	1	0.5	0	0	10	3.5	0	0	0	0.5	1	1	1	25.5	0	0	1.5	2	31.5	0.5	0	1	1.5	2.5	3
360	369	"Chippewa Bog"	43.12389	-83.24111	216	"AWI"	216	614	1214	970	0	0.966183574879227	0	0.483091787439614	0	0	1.93236714975845	0	0	0	0	0	1.93236714975845	0	3.38164251207729	0	0.483091787439614	0	0	0	0	0	0	62.3188405797101	0	0	0.966183574879227	0	25.1207729468599	0	0	0.483091787439614	0	0.483091787439614	1.44927536231884
360	369	"Chippewa Bog"	43.12389	-83.24111	226	"AWI"	226	922	1281	1105	0	2.89855072463768	0.483091787439614	0	0.483091787439614	0	2.41545893719807	0	0	0.966183574879227	0	0	0	0	3.38164251207729	0	0	0	0	0.966183574879227	0	0	4.83091787439614	56.0386473429952	0	0	0.966183574879227	0	20.2898550724638	0	0	0	0.966183574879227	0.483091787439614	4.83091787439614
360	369	"Chippewa Bog"	43.12389	-83.24111	231	"AWI"	231	976	1380	1174	0	4.06091370558376	0.50761421319797	0.50761421319797	1.01522842639594	0	5.58375634517767	0.50761421319797	0	0	2.03045685279188	0	2.03045685279188	0	9.64467005076142	2.53807106598985	0	0	0	0	0.50761421319797	0	0.50761421319797	15.7360406091371	0	1.01522842639594	0.50761421319797	2.03045685279188	39.5939086294416	0	0	1.01522842639594	3.04568527918782	1.52284263959391	6.09137055837564
360	369	"Chippewa Bog"	43.12389	-83.24111	236	"AWI"	236	1005	1548	1237	0	1.5	1	0.5	0	0	7	1	0	0	0	0.5	0	0	24	1	0	0	0	1	0.5	0	0	2	0	0	0	0	48.5	0	0	1	4	1	5.5
360	369	"Chippewa Bog"	43.12389	-83.24111	246	"AWI"	246	1091	1775	1369	0	3.44827586206897	1.47783251231527	0	0	0	6.89655172413793	1.47783251231527	0	0	0	0	0	0	18.7192118226601	2.95566502463054	0.492610837438424	0	0	0.492610837438424	0	0	0.492610837438424	8.3743842364532	0	0	0.492610837438424	0	48.2758620689655	0	0	1.47783251231527	0.985221674876847	0.492610837438424	3.44827586206897
360	369	"Chippewa Bog"	43.12389	-83.24111	256	"AWI"	256	1179	1982	1510	0	4.47761194029851	0	0	0	0.995024875621891	3.98009950248756	1.49253731343284	0	0	0	0	1.99004975124378	0	23.8805970149254	0.995024875621891	0.497512437810945	0	0.497512437810945	0	0	0.995024875621891	0	9.45273631840796	0	0.497512437810945	0.497512437810945	0.995024875621891	39.8009950248756	0	0	0.497512437810945	2.98507462686567	0.995024875621891	4.47761194029851
360	369	"Chippewa Bog"	43.12389	-83.24111	266	"AWI"	266	1278	2188	1650	0	4.95049504950495	0.495049504950495	0.495049504950495	0.495049504950495	0	7.42574257425743	1.98019801980198	0	1.48514851485149	1.48514851485149	0	1.98019801980198	0	11.8811881188119	0.99009900990099	0	0	0	0.99009900990099	0	0	0.495049504950495	8.91089108910891	0	0	0.495049504950495	1.48514851485149	45.049504950495	0.495049504950495	0	0.495049504950495	1.48514851485149	0.495049504950495	5.94059405940594
360	369	"Chippewa Bog"	43.12389	-83.24111	276	"AWI"	276	1363	2376	1789	0	3.86473429951691	0.966183574879227	0	0.483091787439614	0	1.93236714975845	0.966183574879227	0	0	0	0.483091787439614	0	0.483091787439614	22.2222222222222	2.41545893719807	0.483091787439614	0.483091787439614	0	0.966183574879227	0	0	0	8.69565217391304	0	0	0.483091787439614	0	45.8937198067633	0	0.483091787439614	1.44927536231884	2.41545893719807	0.966183574879227	3.86473429951691
360	369	"Chippewa Bog"	43.12389	-83.24111	286	"AWI"	286	1460	2528	1929	0	3.24074074074074	0	0.462962962962963	0	2.77777777777778	8.7962962962963	0.925925925925926	0	0.462962962962963	0	0	0	0	14.8148148148148	3.7037037037037	0	0.462962962962963	0	0.462962962962963	0.462962962962963	0	0	6.48148148148148	0	0.462962962962963	0.462962962962963	0.462962962962963	48.6111111111111	0	0	2.31481481481481	0.925925925925926	0	3.7037037037037
360	369	"Chippewa Bog"	43.12389	-83.24111	296	"AWI"	296	1574	2690	2070	0	2.39234449760766	0	0	0	0	8.13397129186603	0.478468899521531	0	0	0	0	0	0	13.3971291866029	1.43540669856459	0	0	0	0.478468899521531	0	0	0	1.91387559808612	0	0	0	0.956937799043062	64.1148325358852	0	0	1.43540669856459	1.91387559808612	0.956937799043062	2.39234449760766
360	369	"Chippewa Bog"	43.12389	-83.24111	306	"AWI"	306	1691	2830	2210	0	1.99004975124378	0	0	0	0.995024875621891	5.4726368159204	0.995024875621891	0	0	0	0.497512437810945	0	0	13.9303482587065	2.98507462686567	0	0	1.49253731343284	1.49253731343284	0	0	0	3.98009950248756	0	0	0	0.995024875621891	56.2189054726368	0	0	0.995024875621891	0.497512437810945	1.49253731343284	5.97014925373134
360	369	"Chippewa Bog"	43.12389	-83.24111	316	"AWI"	316	1817	2972	2349	0	1.97044334975369	0	0.492610837438424	0.985221674876847	0.985221674876847	6.40394088669951	0	0	0	0	0.492610837438424	0	0	9.35960591133005	4.43349753694581	0.492610837438424	0	0	0.985221674876847	0	0.492610837438424	0	1.97044334975369	0	0	0	0.985221674876847	65.0246305418719	0	0	0.492610837438424	1.47783251231527	0	2.95566502463054
360	369	"Chippewa Bog"	43.12389	-83.24111	326	"AWI"	326	1932	3109	2488	0	4.07239819004525	0.452488687782805	0.452488687782805	0	0	2.71493212669683	1.80995475113122	0	1.35746606334842	0	0.452488687782805	0	0	9.50226244343891	4.97737556561086	0	0	0	0.904977375565611	0	0.904977375565611	0	5.42986425339367	0	0.904977375565611	0	0.904977375565611	50.6787330316742	0	0.452488687782805	3.61990950226244	1.35746606334842	2.26244343891403	6.78733031674208
360	369	"Chippewa Bog"	43.12389	-83.24111	336	"AWI"	336	2060	3258	2628	0	2.47524752475248	0.99009900990099	0.495049504950495	0	2.47524752475248	2.97029702970297	0	0	0	0	0	0	0	7.42574257425743	1.98019801980198	0	0	0	0.99009900990099	0.495049504950495	0	0	4.95049504950495	0	0	0.495049504950495	2.97029702970297	62.8712871287129	0	0	0.99009900990099	0.495049504950495	0.495049504950495	6.43564356435644
360	369	"Chippewa Bog"	43.12389	-83.24111	346	"AWI"	346	2177	3400	2772	0	7.38916256157635	0	0	0	0	6.40394088669951	0.492610837438424	0	0.492610837438424	0	0	0	0.492610837438424	10.3448275862069	1.97044334975369	0.492610837438424	0	0	0	0.492610837438424	0	0	5.41871921182266	0	0	0.985221674876847	0	52.7093596059113	0	0	2.46305418719212	1.97044334975369	0	7.88177339901478
360	369	"Chippewa Bog"	43.12389	-83.24111	356	"AWI"	356	2319	3525	2912	0	2.39234449760766	0.956937799043062	0.956937799043062	0	0	9.09090909090909	0.478468899521531	0	0.478468899521531	0.478468899521531	0	0	0	12.4401913875598	3.34928229665072	0.478468899521531	0.478468899521531	0	0.478468899521531	0	0	0	3.82775119617225	0	0	0	0.956937799043062	56.9377990430622	0	0	1.43540669856459	1.43540669856459	0	3.34928229665072
360	369	"Chippewa Bog"	43.12389	-83.24111	366	"AWI"	366	2466	3665	3058	0	1.27118644067797	0.847457627118644	0.423728813559322	0	0	6.35593220338983	0.423728813559322	0	0.423728813559322	0	0	0	0	12.2881355932203	2.11864406779661	0	0	0	0	0	0	0	5.93220338983051	0	0.423728813559322	0.847457627118644	2.11864406779661	57.6271186440678	0	0	2.54237288135593	0.847457627118644	0.423728813559322	5.08474576271187
360	369	"Chippewa Bog"	43.12389	-83.24111	376	"AWI"	376	2602	3794	3200	0	2.5	0.5	1	0	2.5	6.5	0	0	0.5	0	0	0	0	7.5	1	0	0	0	0	0	0	0	3	0	0	0	1	66	0	0	1	1	1.5	4.5
360	369	"Chippewa Bog"	43.12389	-83.24111	386	"AWI"	386	2734	3922	3347	0	5.97014925373134	0.497512437810945	0.497512437810945	0.497512437810945	0	3.48258706467662	0.995024875621891	0	0	0	0	0	0	15.9203980099502	4.97512437810945	0	0	0	0.995024875621891	0.497512437810945	0	0	6.46766169154229	0	0	0.497512437810945	1.49253731343284	45.771144278607	0	0	0.995024875621891	3.48258706467662	0	6.96517412935323
360	369	"Chippewa Bog"	43.12389	-83.24111	396	"AWI"	396	2865	4043	3483	0	3.5	0	0.5	0	0	2	1.5	0	0	0.5	0	0	0	9.5	4.5	0	0	0	0	0	1	0	3	0	0	0	0	63.5	0	0	1	3.5	0	6
360	369	"Chippewa Bog"	43.12389	-83.24111	406	"AWI"	406	3000	4163	3622	0	3.80952380952381	0	0	0.476190476190476	0	3.33333333333333	1.9047619047619	0	0.476190476190476	0.476190476190476	0.476190476190476	0	0.476190476190476	17.1428571428571	4.76190476190476	0.476190476190476	0.476190476190476	0	0.476190476190476	1.42857142857143	1.42857142857143	0	4.76190476190476	0	0	1.42857142857143	0.952380952380952	45.7142857142857	0	0	0.952380952380952	1.42857142857143	0.476190476190476	6.66666666666667
360	369	"Chippewa Bog"	43.12389	-83.24111	416	"AWI"	416	3176	4269	3772	0	3.5	1	0	0	0	6	0.5	0	0	0	0	0	0	5.5	4	0	0	0	1	1	0	0	8.5	0	1	0	0	52	0	0	1	2.5	0	12.5
360	369	"Chippewa Bog"	43.12389	-83.24111	426	"AWI"	426	3357	4382	3915	0	8.95522388059701	0.497512437810945	0.995024875621891	0	1.49253731343284	5.4726368159204	1.99004975124378	0	0	0	0	0	0	11.9402985074627	4.97512437810945	0	0	0	0.995024875621891	0	0	0	6.46766169154229	0	0.497512437810945	0	0.995024875621891	41.7910447761194	0	0	0.995024875621891	0.995024875621891	1.49253731343284	9.45273631840796
360	369	"Chippewa Bog"	43.12389	-83.24111	436	"AWI"	436	3520	4480	4052	0	4.8780487804878	0.48780487804878	0	0	0	7.31707317073171	0	0	0	0	0	0	0	6.34146341463415	4.39024390243902	0.48780487804878	0	0	0.48780487804878	0	0	0	6.34146341463415	0	0	0.48780487804878	2.92682926829268	60.4878048780488	0	0	0.975609756097561	1.46341463414634	0	2.92682926829268
360	369	"Chippewa Bog"	43.12389	-83.24111	446	"AWI"	446	3691	4579	4184	0	12.5560538116592	0.448430493273543	0	0	0	2.69058295964126	3.1390134529148	0	0	0.448430493273543	0	0	0	12.1076233183857	0.896860986547085	0.448430493273543	0	0	0	0	0	0	2.69058295964126	0	0	0.896860986547085	0	52.914798206278	0	0.448430493273543	0.896860986547085	2.24215246636771	0	7.17488789237668
360	369	"Chippewa Bog"	43.12389	-83.24111	456	"AWI"	456	3876	4680	4326	0	2.94117647058824	0.980392156862745	0	0	0	2.94117647058824	0	0	0	0	0	0	0	9.31372549019608	1.96078431372549	0.490196078431373	0	0	0.490196078431373	0.490196078431373	0	0	2.45098039215686	0	0	0	1.47058823529412	67.156862745098	0	0	0.980392156862745	0.980392156862745	0	7.35294117647059
360	369	"Chippewa Bog"	43.12389	-83.24111	466	"AWI"	466	4061	4762	4468	0	8.45771144278607	0.497512437810945	1.49253731343284	0	0.995024875621891	7.46268656716418	3.98009950248756	0	0	1.49253731343284	0	0	0	8.95522388059701	3.98009950248756	0	0	0	1.99004975124378	0.995024875621891	0	0	2.48756218905473	0	0.995024875621891	0.995024875621891	0	46.7661691542289	0	0	0.995024875621891	0.995024875621891	0	6.46766169154229
360	369	"Chippewa Bog"	43.12389	-83.24111	476	"AWI"	476	4319	4844	4600	0	1.59574468085106	0	0	0	0	6.38297872340426	0.531914893617021	0.531914893617021	0	0.531914893617021	0	0	0	6.91489361702128	1.06382978723404	0	0	0	0	1.06382978723404	0	0	2.12765957446809	0	0	0	1.59574468085106	71.8085106382979	0	0	0.531914893617021	1.06382978723404	0	4.25531914893617
360	369	"Chippewa Bog"	43.12389	-83.24111	486	"AWI"	486	4491	5028	4761	0	6	0	0.5	0	0	5	2.5	0	0	0	0	0	0	16.5	1	0	0	0	1	1	1	0	4.5	0	0.5	1	0.5	39	0	0	1.5	1	0	17.5
360	369	"Chippewa Bog"	43.12389	-83.24111	496	"AWI"	496	4602	5333	4919	0	2.92682926829268	0.975609756097561	0	0	1.46341463414634	3.90243902439024	0	0	0	0	0	0	0	13.1707317073171	1.95121951219512	0	0	0	0	0	0	0	1.46341463414634	0	0	0	1.46341463414634	58.5365853658537	0	0	0	3.41463414634146	0	10.7317073170732
360	369	"Chippewa Bog"	43.12389	-83.24111	506	"AWI"	506	4711	5646	5085	0	4.30622009569378	1.43540669856459	0.478468899521531	0	2.39234449760766	2.39234449760766	2.87081339712919	0	0	0	0.478468899521531	0	0	20.0956937799043	0.478468899521531	0.478468899521531	0	0	0.478468899521531	0.478468899521531	0	0	1.91387559808612	0	0.956937799043062	0.956937799043062	1.43540669856459	36.3636363636364	0	0	1.43540669856459	3.34928229665072	1.43540669856459	15.7894736842105
360	369	"Chippewa Bog"	43.12389	-83.24111	516	"AWI"	516	4828	5901	5259	0	3.88349514563107	0	0.485436893203883	0	0	3.88349514563107	0	0	0	0	0	0	0	11.1650485436893	2.9126213592233	0	0	0	0	0.970873786407767	0	0	1.94174757281553	0	0	0	1.94174757281553	56.3106796116505	0	0	0.970873786407767	0	0.970873786407767	14.5631067961165
360	369	"Chippewa Bog"	43.12389	-83.24111	526	"AWI"	526	4945	6160	5439	0	4.47761194029851	0.497512437810945	0.995024875621891	0.497512437810945	0	2.98507462686567	1.99004975124378	0.497512437810945	0	0	0	0	0	11.4427860696517	2.48756218905473	0	0	0	0.497512437810945	0.995024875621891	0	0	6.96517412935323	0.497512437810945	0.497512437810945	0.497512437810945	2.48756218905473	43.7810945273632	0	0.497512437810945	2.48756218905473	2.48756218905473	0	12.4378109452736
360	369	"Chippewa Bog"	43.12389	-83.24111	536	"AWI"	536	5067	6373	5616	0	1.99004975124378	0.497512437810945	0	0	0	2.98507462686567	0	0	0	0	0	0	0	11.4427860696517	0.497512437810945	0	0	0	0	0	0	0	2.98507462686567	0	0	0	0.497512437810945	61.1940298507463	0	0	0.995024875621891	1.99004975124378	0	14.9253731343284
360	369	"Chippewa Bog"	43.12389	-83.24111	546	"AWI"	546	5211	6572	5801	0	6.93069306930693	0.99009900990099	0.99009900990099	0	0	1.98019801980198	3.46534653465347	0	0	0	0	0	0	15.3465346534653	0.99009900990099	0.495049504950495	0.495049504950495	0	1.98019801980198	0	0	0	3.46534653465347	0	1.48514851485149	0.495049504950495	0.99009900990099	44.5544554455446	0	0	1.48514851485149	0.99009900990099	0	12.8712871287129
