"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cercocarpus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Ulmus"
520	534	"Cub Lake"	44.125	-111.18333	0	"AWI"	0	-148	28	-64	0	0	1	2	0	14	0	0	0	0	55	0	0	0	0	1	0	1	1	0	0	232	0	0	0	0	0	1	0	0	0	0	1	0	0	0
520	534	"Cub Lake"	44.125	-111.18333	10	"AWI"	10	131	5061	1864	0	0	1	11	0	51	0	0	0	2	158	0	0	0	0	2	0	0	0	0	0	343	0	35	0	0	0	16	2	0	0	0	1	2	0	0
520	534	"Cub Lake"	44.125	-111.18333	20	"AWI"	20	1042	6798	4105	1	0	4	11	1	80	7	0	0	0	84	0	0	0	0	0	0	0	6	0	1	411	0	24	0	0	0	11	0	0	0	0	1	1	2	0
520	534	"Cub Lake"	44.125	-111.18333	30	"AWI"	30	2813	8159	6251	0	0	0	12	2	55	6	0	0	0	37	0	0	0	0	1	0	0	8	0	1	320	0	15	0	0	0	7	2	0	0	0	2	1	1	0
520	534	"Cub Lake"	44.125	-111.18333	40	"AWI"	40	6919	8752	8157	0	0	1	27	0	118	0	0	0	0	65	0	0	0	0	0	0	0	1	0	1	383	0	10	0	0	0	31	0	0	0	0	0	5	0	0
520	534	"Cub Lake"	44.125	-111.18333	50	"AWI"	50	8498	9351	8867	0	0	0	27	2	59	0	0	0	2	194	0	0	0	0	2	0	0	2	0	3	218	0	166	0	0	0	0	0	0	0	0	2	4	0	0
520	534	"Cub Lake"	44.125	-111.18333	100	"AWI"	100	9598	11390	10489	2	0	0	10	0	45	0	0	0	0	255	0	0	0	0	2	0	0	0	0	1	197	0	103	0	0	0	1	0	0	0	0	0	1	0	0
520	534	"Cub Lake"	44.125	-111.18333	110	"AWI"	110	9912	11692	10817	3	0	2	5	0	79	0	0	1	0	211	0	0	0	0	5	1	0	0	0	8	163	0	60	0	0	0	1	2	0	0	10	5	1	0	0
520	534	"Cub Lake"	44.125	-111.18333	120	"AWI"	120	10237	11937	11149	1	0	1	18	0	103	16	1	0	0	45	0	0	0	0	27	0	0	3	0	6	105	0	25	0	0	0	0	2	0	0	8	13	5	0	0
520	534	"Cub Lake"	44.125	-111.18333	130	"AWI"	130	10564	12204	11501	0	0	1	6	1	144	0	0	1	0	217	0	0	0	0	2	0	0	3	0	14	116	0	23	0	0	0	0	0	0	2	3	2	3	1	0
