"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Indeterminable"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"
1109	1142	"Iglutalik Lake"	66.135	-66.08333	0	"AWI"	0	-149	17	-67	19	1	0	0	11	1	2	64	25	0	7	0	9	5	79	0	0	0	0	43	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	2	"AWI"	2	-84	192	40	16	1	0	0	2	1	1	62	41	0	3	0	5	6	96	0	0	0	0	41	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	4	"AWI"	4	-58	413	144	17	2	0	0	5	0	2	61	21	0	8	0	7	4	97	0	0	0	0	53	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	6	"AWI"	6	-40	644	248	16	0	0	3	7	0	0	43	65	0	10	0	6	3	92	0	0	0	0	38	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	8	"AWI"	8	-22	877	352	17	0	0	0	4	0	0	56	27	0	6	0	10	10	79	0	0	0	0	56	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	10	"AWI"	10	-6	1111	457	15	3	0	0	6	0	0	41	49	0	13	0	9	7	81	0	0	0	0	51	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	12	"AWI"	12	9	1343	560	17	0	0	0	3	0	0	59	34	0	4	0	6	10	104	0	0	0	0	38	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	14	"AWI"	14	26	1580	666	14	1	0	0	2	0	0	44	40	0	2	0	11	8	99	0	0	0	0	46	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	16	"AWI"	16	40	1814	771	21	0	0	0	5	0	0	46	34	0	4	0	10	10	73	0	0	0	1	49	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	18	"AWI"	18	54	2049	876	17	0	0	0	7	0	1	51	44	0	1	0	8	6	91	0	0	0	0	39	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	20	"AWI"	20	131	2223	981	24	0	0	0	8	0	2	54	57	0	13	2	4	7	64	0	0	0	0	40	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	22	"AWI"	22	318	2268	1102	31	0	2	0	7	0	0	43	46	0	2	1	4	7	52	0	0	0	0	79	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	24	"AWI"	24	485	2311	1226	17	1	0	0	12	0	0	48	42	0	11	0	6	4	70	0	0	0	0	53	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	26	"AWI"	26	631	2373	1353	32	0	0	0	10	0	0	41	33	0	3	0	4	4	66	0	0	0	0	71	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	28	"AWI"	28	756	2433	1483	23	2	0	0	7	0	0	30	49	0	7	0	6	3	91	0	0	0	0	49	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	30	"AWI"	30	871	2501	1612	24	0	0	0	6	0	0	45	47	0	4	0	11	10	66	0	0	0	0	62	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	32	"AWI"	32	970	2579	1742	16	4	0	0	7	0	0	67	37	0	14	0	5	9	73	0	0	0	0	46	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	34	"AWI"	34	1058	2668	1871	31	0	0	0	11	0	2	50	25	0	8	0	12	12	77	0	0	0	0	42	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	36	"AWI"	36	1138	2799	2001	37	1	0	0	12	0	0	48	33	0	5	0	6	11	51	0	0	0	0	59	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	38	"AWI"	38	1203	2940	2129	31	1	2	0	14	0	2	40	28	0	5	0	7	9	85	0	0	0	0	47	2
1109	1142	"Iglutalik Lake"	66.135	-66.08333	40	"AWI"	40	1407	3034	2257	34	4	0	0	6	0	0	37	38	0	6	0	7	10	77	0	0	0	0	62	0
1109	1142	"Iglutalik Lake"	66.135	-66.08333	42	"AWI"	42	1660	3099	2385	36	2	0	0	9	0	0	35	42	0	4	0	9	5	46	0	0	0	0	86	0
