"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Liriodendron"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
479	490	"Clear Lake"	41.63794	-86.545192	20	"AWI"	20	-86	29	-21	0	0.285714285714286	1.14285714285714	0	0	2.28571428571429	0	10.5714285714286	0	0	0	1.14285714285714	6.85714285714286	3.71428571428571	0	2.85714285714286	0	0	0	0	3.42857142857143	0	3.14285714285714	0	0	0	59.7142857142857	0	0.857142857142857	0	0.571428571428571	0	3.42857142857143
479	490	"Clear Lake"	41.63794	-86.545192	40	"AWI"	40	-68	102	6	0	0.289017341040462	1.44508670520231	0.289017341040462	0	0	0.578034682080925	12.4277456647399	0	0	0	0.578034682080925	6.35838150289017	4.33526011560694	0	2.3121387283237	0	0	0	0	2.89017341040462	0	3.46820809248555	0	0.289017341040462	0	56.9364161849711	0	0.578034682080925	0	1.15606936416185	0	6.06936416184971
479	490	"Clear Lake"	41.63794	-86.545192	60	"AWI"	60	-45	166	35	0	0	0.269541778975741	1.07816711590297	0	8.89487870619946	1.07816711590297	5.39083557951483	0	0	0	0.808625336927224	4.31266846361186	4.85175202156334	0	2.96495956873315	0	0.539083557951483	0	0	1.07816711590297	0	1.88679245283019	0	1.07816711590297	0	57.9514824797844	0.269541778975741	0.539083557951483	0	0.539083557951483	0	6.46900269541779
479	490	"Clear Lake"	41.63794	-86.545192	80	"AWI"	80	-3	210	75	0	0	0.879765395894428	1.17302052785924	0	0	1.17302052785924	7.33137829912024	0	0	0	0.879765395894428	8.79765395894428	2.63929618768328	0	2.34604105571848	0	0.293255131964809	0	0	2.34604105571848	0	1.46627565982405	0	0.879765395894428	0	61.8768328445748	0	0	0	2.05278592375367	0	5.86510263929619
479	490	"Clear Lake"	41.63794	-86.545192	85	"AWI"	85	5	224	85	0	0	1.08695652173913	0	0	9.05797101449275	1.44927536231884	10.1449275362319	0	0	0	0.36231884057971	3.98550724637681	2.17391304347826	0	2.89855072463768	0	0	0.36231884057971	0.36231884057971	1.08695652173913	0	1.44927536231884	1.44927536231884	1.08695652173913	0	58.695652173913	0.72463768115942	0	0	1.81159420289855	0	1.81159420289855
479	490	"Clear Lake"	41.63794	-86.545192	95	"AWI"	95	16	256	104	0	0.286532951289398	0.286532951289398	0.573065902578797	0	6.01719197707736	1.43266475644699	9.16905444126074	0	0	0	1.14613180515759	7.44985673352436	2.29226361031519	0	4.01146131805158	0	0.286532951289398	0	0.286532951289398	2.00573065902579	0	2.57879656160458	0.859598853868195	0	0	56.1604584527221	0	0.286532951289398	0	1.14613180515759	0	3.72492836676218
479	490	"Clear Lake"	41.63794	-86.545192	115	"AWI"	115	150	467	285	0	2.36842105263158	0	0.263157894736842	0.526315789473684	1.05263157894737	1.31578947368421	8.68421052631579	0.263157894736842	0.526315789473684	0.263157894736842	1.84210526315789	8.42105263157895	4.47368421052632	0.789473684210526	2.89473684210526	0	0	0	0	3.42105263157895	0	2.89473684210526	2.10526315789474	1.84210526315789	0.526315789473684	47.3684210526316	0.526315789473684	0	0	1.84210526315789	0.263157894736842	5.52631578947368
479	490	"Clear Lake"	41.63794	-86.545192	130	"AWI"	130	290	979	656	0	2.98507462686567	1.06609808102345	0.426439232409382	0.639658848614073	1.91897654584222	0.213219616204691	7.88912579957356	0	0.852878464818763	0.639658848614073	0.852878464818763	13.2196162046908	2.13219616204691	0.852878464818763	2.3454157782516	0	0.213219616204691	0	0	2.13219616204691	0	1.27931769722815	5.75692963752665	2.77185501066098	0.639658848614073	39.8720682302772	0	0.639658848614073	0	1.49253731343284	0	9.16844349680171
479	490	"Clear Lake"	41.63794	-86.545192	150	"AWI"	150	434	1749	1142	0	2.77008310249307	0	0.831024930747922	0	2.21606648199446	1.66204986149584	6.09418282548476	0	0	0	1.66204986149584	13.0193905817175	2.49307479224377	1.10803324099723	1.66204986149584	0	0.277008310249307	0	0	2.21606648199446	0	1.10803324099723	3.601108033241	1.93905817174515	0	45.1523545706371	0	0.277008310249307	0	0.831024930747922	0.277008310249307	10.803324099723
479	490	"Clear Lake"	41.63794	-86.545192	170	"AWI"	170	752	2336	1600	0	1.54639175257732	0.257731958762887	0.515463917525773	0.515463917525773	1.54639175257732	2.31958762886598	6.95876288659794	0.257731958762887	0	0.257731958762887	0.515463917525773	10.8247422680412	3.35051546391753	0.257731958762887	2.06185567010309	0.257731958762887	0	0	0	2.06185567010309	0	1.80412371134021	2.31958762886598	0.515463917525773	0	51.5463917525773	0	0.515463917525773	0	0.257731958762887	0	9.5360824742268
479	490	"Clear Lake"	41.63794	-86.545192	185	"AWI"	185	1052	2599	1907	0	2.58620689655172	0.28735632183908	0.28735632183908	0	2.29885057471264	0.574712643678161	8.04597701149425	0	0.28735632183908	0	0.574712643678161	6.32183908045977	1.72413793103448	0	2.8735632183908	0	0	0	0	0.862068965517241	0	2.01149425287356	2.29885057471264	0	0.28735632183908	61.7816091954023	0	0.574712643678161	0	0.862068965517241	0	5.45977011494253
479	490	"Clear Lake"	41.63794	-86.545192	195	"AWI"	195	1180	2904	2103	0	0.421940928270042	1.26582278481013	0	0.843881856540084	2.53164556962025	1.68776371308017	5.90717299578059	0.421940928270042	0	0.843881856540084	2.9535864978903	4.21940928270042	2.10970464135021	0	2.10970464135021	0	0	0	0	0.843881856540084	0	2.53164556962025	0.843881856540084	0.421940928270042	0	63.7130801687764	0	0	0.421940928270042	0.843881856540084	0	5.06329113924051
479	490	"Clear Lake"	41.63794	-86.545192	210	"AWI"	210	1318	3548	2362	0	1.51515151515152	0.606060606060606	0.303030303030303	0	2.12121212121212	1.51515151515152	11.5151515151515	0.303030303030303	0.303030303030303	0.606060606060606	3.33333333333333	0.303030303030303	2.42424242424242	1.51515151515152	0.909090909090909	0	0.303030303030303	0	0	1.21212121212121	0	2.72727272727273	3.03030303030303	2.12121212121212	0	58.1818181818182	0	0.303030303030303	0	0	0.303030303030303	4.54545454545455
479	490	"Clear Lake"	41.63794	-86.545192	230	"AWI"	230	1572	4022	2679	0	3.69318181818182	0.568181818181818	0.852272727272727	0.568181818181818	3.69318181818182	0.852272727272727	5.68181818181818	0	0	0.284090909090909	2.84090909090909	1.98863636363636	0.852272727272727	1.13636363636364	1.42045454545455	0	0.568181818181818	0	0	1.98863636363636	0	3.40909090909091	4.26136363636364	0	0	61.0795454545455	0	0.284090909090909	0	0	0	3.97727272727273
479	490	"Clear Lake"	41.63794	-86.545192	250	"AWI"	250	1790	4268	2999	0	0.334448160535117	0.334448160535117	1.67224080267559	0.334448160535117	3.34448160535117	1.00334448160535	5.35117056856187	0	0.334448160535117	0.668896321070234	7.69230769230769	3.01003344481605	2.67558528428094	3.67892976588629	0.668896321070234	0	0	0	0	1.33779264214047	0	3.01003344481605	3.01003344481605	4.34782608695652	1.00334448160535	52.8428093645485	0	0.668896321070234	0	0	0.334448160535117	2.34113712374582
479	490	"Clear Lake"	41.63794	-86.545192	270	"AWI"	270	1945	4693	3292	0	3.9119804400978	0	0.488997555012225	0.488997555012225	5.13447432762836	0.488997555012225	4.64547677261614	0	0.244498777506112	0	3.66748166259169	5.13447432762836	0.488997555012225	0.733496332518337	1.46699266503667	0	0.488997555012225	0	0	1.22249388753056	0	3.17848410757946	3.17848410757946	9.7799511002445	0	47.6772616136919	0	0.488997555012225	0	1.22249388753056	0	5.8679706601467
479	490	"Clear Lake"	41.63794	-86.545192	290	"AWI"	290	2350	4865	3609	0	1.23456790123457	0.925925925925926	0.617283950617284	0	4.01234567901235	0.925925925925926	8.02469135802469	0.617283950617284	0.308641975308642	0.308641975308642	2.16049382716049	5.8641975308642	5.55555555555556	0.925925925925926	3.08641975308642	0	0	0	0	1.85185185185185	0	2.77777777777778	2.77777777777778	3.39506172839506	0	45.9876543209877	0	0	0	0.925925925925926	0	7.71604938271605
479	490	"Clear Lake"	41.63794	-86.545192	310	"AWI"	310	2614	5094	3936	0	1.12994350282486	0	0.282485875706215	0.282485875706215	3.67231638418079	1.41242937853107	3.67231638418079	0.282485875706215	0	0.282485875706215	3.95480225988701	1.41242937853107	2.82485875706215	1.41242937853107	0.847457627118644	0	0	0	0	1.41242937853107	0	4.23728813559322	1.9774011299435	4.80225988700565	0	61.5819209039548	0	0.282485875706215	0.282485875706215	0	0	3.95480225988701
479	490	"Clear Lake"	41.63794	-86.545192	320	"AWI"	320	2696	5260	4094	0	3.49462365591398	0.537634408602151	0.268817204301075	0.537634408602151	5.37634408602151	0.806451612903226	4.3010752688172	0	0.537634408602151	0	2.95698924731183	1.61290322580645	1.88172043010753	0.806451612903226	1.88172043010753	0	0.537634408602151	0	0	1.0752688172043	0	3.49462365591398	4.56989247311828	6.72043010752688	0	52.6881720430108	0	1.0752688172043	0	0.268817204301075	0	4.56989247311828
479	490	"Clear Lake"	41.63794	-86.545192	335	"AWI"	335	3010	5436	4304	0	2.33160621761658	0	1.03626943005181	1.55440414507772	4.92227979274611	0.518134715025907	9.84455958549223	0	0	0	2.59067357512953	3.10880829015544	1.03626943005181	1.29533678756477	2.33160621761658	0	0	0	0	1.29533678756477	0	3.36787564766839	5.44041450777202	8.54922279792746	0	43.5233160621762	0	0.77720207253886	0	0.77720207253886	0	5.69948186528497
479	490	"Clear Lake"	41.63794	-86.545192	345	"AWI"	345	3261	5499	4446	0	2.29508196721311	0	1.9672131147541	0.983606557377049	6.22950819672131	0.983606557377049	4.26229508196721	0.327868852459016	0	0.983606557377049	4.59016393442623	4.26229508196721	1.9672131147541	0.655737704918033	1.63934426229508	0	0	0	0	0.983606557377049	0	3.27868852459016	1.9672131147541	3.9344262295082	0	51.8032786885246	0	0.327868852459016	0	0	0	6.55737704918033
479	490	"Clear Lake"	41.63794	-86.545192	365	"AWI"	365	3650	5704	4755	0	1.36612021857923	0.546448087431694	4.37158469945355	0.546448087431694	2.18579234972678	0.819672131147541	6.28415300546448	0.546448087431694	0	0	0.819672131147541	4.0983606557377	1.09289617486339	1.63934426229508	1.63934426229508	0	0.546448087431694	0	0	0.546448087431694	0	4.91803278688525	6.01092896174863	7.37704918032787	0	47.5409836065574	0	0.273224043715847	0	0.819672131147541	0.273224043715847	5.73770491803279
479	490	"Clear Lake"	41.63794	-86.545192	385	"AWI"	385	3979	5951	5050	0	2.4	0.533333333333333	1.06666666666667	1.33333333333333	3.2	0.533333333333333	3.2	0.533333333333333	0	0	2.13333333333333	5.86666666666667	1.06666666666667	1.86666666666667	1.33333333333333	0	0.533333333333333	0	0	2.4	0	4	4.8	5.33333333333333	0	50.1333333333333	0	0.266666666666667	0	0.533333333333333	0	6.93333333333333
479	490	"Clear Lake"	41.63794	-86.545192	425	"AWI"	425	4801	6425	5665	0	1.54241645244216	0.25706940874036	1.02827763496144	1.02827763496144	5.39845758354756	1.2853470437018	2.05655526992288	0	0.25706940874036	0.51413881748072	5.65552699228792	3.34190231362468	4.88431876606684	0.51413881748072	0.51413881748072	0	0.51413881748072	0	0	0.77120822622108	0	3.8560411311054	3.8560411311054	4.62724935732648	0.25706940874036	50.8997429305913	0	0.51413881748072	0	0	0.51413881748072	5.91259640102828
479	490	"Clear Lake"	41.63794	-86.545192	435	"AWI"	435	4897	6702	5814	0	0	0	1.92307692307692	1.6025641025641	6.73076923076923	0.641025641025641	3.84615384615385	0	0.32051282051282	1.28205128205128	3.84615384615385	2.88461538461538	3.52564102564103	0	0	0	0	0	0	0.961538461538462	0	3.84615384615385	4.80769230769231	5.12820512820513	0	45.1923076923077	0	0.641025641025641	0.641025641025641	0	0	12.1794871794872
479	490	"Clear Lake"	41.63794	-86.545192	450	"AWI"	450	5239	6797	6021	0	1.51187904967603	0.215982721382289	3.23974082073434	0.863930885529158	3.67170626349892	0.215982721382289	4.1036717062635	0.215982721382289	0	1.07991360691145	6.26349892008639	3.23974082073434	2.80777537796976	1.9438444924406	1.07991360691145	0	0	0	0	0.431965442764579	0	2.80777537796976	4.1036717062635	3.23974082073434	0	50.1079913606911	0	0.431965442764579	0.215982721382289	0	0	8.207343412527
479	490	"Clear Lake"	41.63794	-86.545192	470	"AWI"	470	5540	7032	6308	0	0.687285223367698	0	0.343642611683849	1.71821305841924	5.49828178694158	1.03092783505155	3.43642611683849	0	0	0.687285223367698	3.09278350515464	7.56013745704467	6.52920962199313	1.03092783505155	1.71821305841924	0.343642611683849	0	0	0	1.03092783505155	0	4.12371134020619	3.09278350515464	3.09278350515464	0.343642611683849	39.1752577319588	0.343642611683849	0.687285223367698	0	0.343642611683849	0	14.0893470790378
479	490	"Clear Lake"	41.63794	-86.545192	485	"AWI"	485	5671	7315	6517	0	2.14285714285714	0.357142857142857	0.714285714285714	0.714285714285714	3.21428571428571	0.714285714285714	3.57142857142857	0.357142857142857	0.357142857142857	0.357142857142857	6.07142857142857	6.07142857142857	3.57142857142857	2.14285714285714	2.14285714285714	0.357142857142857	0	0	0	0.357142857142857	0	5.35714285714286	2.14285714285714	4.28571428571429	0.357142857142857	43.2142857142857	0.357142857142857	0.714285714285714	0	0	0	10.3571428571429
