"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Ceanothus"	"Cercocarpus"	"Chrysolepis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lithocarpus"	"Onagraceae"	"Orobanchaceae"	"Phrymaceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"
673	693	"Dinkey Meadow"	37	-119.08333	0	"AWI"	0	-128	36	-42	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	10	80	0	0	0	0	23	0	0	0	0	0	0	0	221	2	0	0	0	17	1	1	0	0	1	0	2	1	0	0
673	693	"Dinkey Meadow"	37	-119.08333	20	"AWI"	20	-3	577	205	10	0	1	8	0	0	0	0	0	0	0	0	0	0	0	1	53	1	0	0	0	4	0	1	0	0	0	1	0	250	2	0	0	0	11	0	0	0	0	0	0	0	1	0	1
673	693	"Dinkey Meadow"	37	-119.08333	50	"AWI"	50	250	1071	605	32	2	2	1	0	0	0	0	0	0	1	1	1	0	0	2	31	0	0	0	0	7	0	0	0	0	0	0	0	220	5	1	0	0	12	0	0	0	0	0	0	0	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	70	"AWI"	70	471	1367	874	14	6	9	3	0	0	20	2	0	0	0	0	0	0	1	8	0	1	0	0	0	26	0	0	0	0	0	0	0	203	4	0	0	1	33	0	0	0	0	0	0	1	0	0	3
673	693	"Dinkey Meadow"	37	-119.08333	90	"AWI"	90	693	1635	1143	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	41	0	0	0	0	4	0	0	1	0	0	0	0	78	4	1	3	0	6	0	0	0	0	0	1	0	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	110	"AWI"	110	953	1875	1410	41	0	3	10	0	1	0	0	0	0	2	0	0	0	0	0	19	0	0	0	1	9	0	0	0	0	1	0	0	194	5	0	0	0	16	0	0	0	0	0	2	0	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	150	"AWI"	150	1553	2351	1942	57	5	0	2	0	1	14	1	0	0	0	0	0	0	0	11	0	5	0	0	0	24	0	0	0	0	0	0	0	179	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
673	693	"Dinkey Meadow"	37	-119.08333	160	"AWI"	160	1719	2480	2077	19	2	0	13	0	0	0	0	0	2	0	6	3	0	2	7	12	0	0	0	0	17	1	0	0	0	0	0	0	188	2	0	0	1	17	0	0	0	0	0	2	0	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	180	"AWI"	180	2004	2843	2407	31	0	2	4	0	1	0	2	0	0	0	0	0	0	0	0	25	0	2	0	1	9	0	2	3	0	2	0	0	204	6	0	0	0	19	0	0	0	0	0	2	0	0	0	1
673	693	"Dinkey Meadow"	37	-119.08333	200	"AWI"	200	2347	3154	2724	18	2	1	7	0	1	0	2	0	0	0	3	0	0	0	0	23	0	0	0	0	15	0	0	0	3	0	0	0	193	9	0	0	0	29	0	0	0	0	0	1	0	0	0	4
673	693	"Dinkey Meadow"	37	-119.08333	230	"AWI"	230	2945	4218	3481	45	4	4	5	0	1	19	0	1	0	0	2	0	1	1	1	44	5	0	0	0	17	0	0	0	0	0	0	0	166	5	0	0	0	43	0	0	0	0	0	0	1	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	250	"AWI"	250	3418	4872	4125	17	2	2	9	0	0	0	0	3	0	0	1	5	0	1	4	34	0	0	0	0	25	0	0	0	0	0	0	0	198	3	0	0	1	14	1	0	0	1	1	2	1	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	270	"AWI"	270	4044	5377	4778	29	2	1	13	0	0	0	0	0	0	2	0	0	1	0	0	20	0	0	3	1	8	0	1	1	0	0	3	1	187	9	1	0	0	26	0	0	0	0	0	0	0	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	290	"AWI"	290	4849	5776	5388	11	1	3	6	0	0	0	2	0	0	4	10	0	0	0	1	15	0	0	0	0	9	0	0	0	0	0	0	0	198	17	1	0	2	20	0	0	0	0	0	2	4	0	0	0
673	693	"Dinkey Meadow"	37	-119.08333	300	"AWI"	300	5139	6115	5662	14	3	5	5	0	1	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	52	2	0	0	0	13	0	0	0	0	0	10	0	0	0	0
