"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Droseraceae"	"Ephedraceae"	"Ericales"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
784	804	"Entarnoye Peat Exposure"	59	78.33333	20	"AWI"	20	633	1106	914	0	23	10	0	25	0	0	23	16	0	20	0	0	50	0	0	23	367	20	0	15	0	0	20	0	20	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	40	"AWI"	40	1071	1622	1304	23	24	4	0	42	0	0	17	13	0	17	0	0	21	0	0	42	0	20	0	0	0	0	6	0	0	6	12
784	804	"Entarnoye Peat Exposure"	59	78.33333	60	"AWI"	60	1293	1972	1647	11	17	11	2	33	2	0	17	28	0	21	0	0	24	0	0	12	110	22	0	3	0	0	10	0	2	6	23
784	804	"Entarnoye Peat Exposure"	59	78.33333	80	"AWI"	80	1628	2206	1976	23	12	4	3	0	2	0	11	25	0	0	0	10	3	0	0	24	386	2	0	2	0	2	10	0	4	0	12
784	804	"Entarnoye Peat Exposure"	59	78.33333	100	"AWI"	100	1998	2408	2233	11	11	1	4	4	3	0	10	3	0	5	0	0	5	0	0	22	403	3	0	0	0	3	5	0	4	0	22
784	804	"Entarnoye Peat Exposure"	59	78.33333	120	"AWI"	120	2128	2581	2359	12	0	0	0	21	0	0	0	0	0	58	22	0	22	0	2	18	422	0	0	0	10	0	12	1	0	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	140	"AWI"	140	2276	2723	2493	0	13	2	4	4	0	0	0	8	0	2	0	0	5	0	0	12	443	1	0	0	0	2	12	3	3	0	25
784	804	"Entarnoye Peat Exposure"	59	78.33333	160	"AWI"	160	2433	2858	2625	11	0	2	0	3	0	0	0	0	3	0	4	0	0	0	0	10	381	1	0	0	0	0	11	0	2	6	10
784	804	"Entarnoye Peat Exposure"	59	78.33333	180	"AWI"	180	2720	3820	3034	13	25	0	0	0	0	0	13	0	0	0	0	0	0	0	0	10	343	0	0	0	0	0	6	0	0	5	25
784	804	"Entarnoye Peat Exposure"	59	78.33333	200	"AWI"	200	3108	4889	3820	5	24	3	0	20	2	0	24	5	4	15	5	1	5	0	0	6	179	10	0	2	1	0	12	0	3	10	20
784	804	"Entarnoye Peat Exposure"	59	78.33333	220	"AWI"	220	3710	5719	4650	6	0	10	0	30	0	0	0	0	0	5	0	0	0	0	0	7	359	20	0	0	0	0	0	0	0	3	6
784	804	"Entarnoye Peat Exposure"	59	78.33333	240	"AWI"	240	4389	6496	5479	6	10	10	3	30	5	0	0	6	4	0	3	0	0	0	0	7	358	10	0	5	0	2	0	7	0	2	5
784	804	"Entarnoye Peat Exposure"	59	78.33333	260	"AWI"	260	5191	7103	6332	6	8	15	0	40	0	0	25	0	0	10	0	0	3	0	0	8	149	10	0	0	0	0	0	0	0	3	20
784	804	"Entarnoye Peat Exposure"	59	78.33333	280	"AWI"	280	6183	7612	7169	24	13	5	0	30	0	0	26	0	0	25	0	0	0	0	0	20	0	15	0	0	0	0	0	0	0	0	2
784	804	"Entarnoye Peat Exposure"	59	78.33333	300	"AWI"	300	7652	8245	7856	20	10	0	0	0	0	0	25	0	0	0	0	0	0	0	0	21	225	45	0	0	0	0	2	0	0	0	2
784	804	"Entarnoye Peat Exposure"	59	78.33333	320	"AWI"	320	7924	9213	8420	12	6	0	0	10	0	0	4	0	0	4	0	0	10	6	0	22	276	5	16	0	0	0	0	0	0	0	2
784	804	"Entarnoye Peat Exposure"	59	78.33333	340	"AWI"	340	8328	9921	9028	17	11	15	0	35	0	0	0	10	0	40	3	0	0	0	0	23	229	10	0	3	3	5	0	1	7	0	6
784	804	"Entarnoye Peat Exposure"	59	78.33333	360	"AWI"	360	8820	10502	9646	6	0	20	6	25	16	269	23	7	0	30	4	2	4	0	1	5	321	15	0	5	0	3	0	3	4	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	380	"AWI"	380	9373	11020	10238	6	13	15	4	3	1	0	19	0	5	35	2	0	3	0	1	8	251	10	0	4	0	1	0	3	0	0	6
784	804	"Entarnoye Peat Exposure"	59	78.33333	400	"AWI"	400	10016	11483	10832	24	0	10	0	30	0	249	12	1	0	15	2	0	4	0	0	26	0	20	0	5	0	0	0	0	3	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	420	"AWI"	420	10806	11892	11387	12	12	10	0	25	0	0	20	0	0	30	0	1	1	0	0	10	133	15	0	0	0	0	0	0	0	0	2
784	804	"Entarnoye Peat Exposure"	59	78.33333	440	"AWI"	440	11194	12807	11894	45	12	10	0	35	0	232	16	0	2	25	0	0	0	5	0	22	214	30	0	5	0	0	0	0	4	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	460	"AWI"	460	11580	13556	12400	0	0	20	2	20	0	466	25	2	0	52	0	0	8	0	1	39	0	21	0	0	0	0	0	0	12	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	480	"AWI"	480	11961	14216	12922	0	0	0	0	46	12	201	62	2	0	169	0	0	85	3	0	18	0	76	0	0	0	0	6	0	0	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	500	"AWI"	500	12332	14860	13460	0	0	78	0	64	0	222	37	5	0	63	0	0	0	6	0	86	0	266	0	0	0	0	6	0	10	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	520	"AWI"	520	12745	15526	13985	0	5	36	0	65	48	211	35	10	4	49	0	0	0	0	0	58	0	162	0	5	0	0	23	12	3	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	540	"AWI"	540	13152	16203	14502	0	3	23	0	61	46	214	62	15	5	62	0	0	15	0	0	38	0	123	0	0	0	0	25	0	0	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	560	"AWI"	560	13598	16853	15023	0	30	25	0	26	16	198	129	20	10	38	0	0	4	0	0	54	0	164	0	0	0	0	7	0	0	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	580	"AWI"	580	14032	17493	15543	0	10	43	0	84	9	112	25	38	0	13	0	0	8	0	0	11	0	235	0	0	0	0	134	0	0	0	0
784	804	"Entarnoye Peat Exposure"	59	78.33333	600	"AWI"	600	14428	18161	16062	0	0	44	0	12	0	34	11	22	0	112	0	0	0	0	0	3	20	336	0	0	0	11	67	0	0	0	0
