"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"
1553	1594	"Lake GB1"	55.11083	-75.24889	0.5	"AWI"	0.5	-99	112.5	-8.5	0	1	63	2	3	0	57	0	2	0	2	5	6	0	0	0	0	0	4	0	0	0	531.5	18.5	0	2	0	1	0	0	0	1	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	3	"AWI"	3	-14	419	148	0	0	85	0	1	0	63	0	0	0	2	7	6	0	0	1	0	1	4	0	0	0	377	11	0	4	0	1	0	0	0	0	0	0	1
1553	1594	"Lake GB1"	55.11083	-75.24889	6	"AWI"	6	117	680	350	1	1	82	1	7	0	59	0	0	0	1	9	10	0	0	1	7	0	4	2	0	0	445	0	0	4	0	2	0	3	0	0	0	0	1
1553	1594	"Lake GB1"	55.11083	-75.24889	8	"AWI"	8	211	838	487	0	0	72	0	4	0	39	0	0	0	4	1	4	0	0	1	8	0	4	3	0	0	426.5	12	0	3	1	2	0	0	0	0	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	10	"AWI"	10	313	990	622	1	0	117	1	4	0	69	1	0	1	3	4	8	0	0	1	1	0	3	3	0	0	409.5	28	0	6	1	1	1	0	0	1	0	1	3
1553	1594	"Lake GB1"	55.11083	-75.24889	15	"AWI"	15	621	1310	966	0	0	107	1	5	0	59	0	0	0	3	5	14	0	1	1	15	0	1	2	0	0	445	16	0	2	0	0	0	0	0	1	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	20	"AWI"	20	998	1596	1307	0	0	117	0	6	0	63	0	0	0	2	4	5	0	0	0	7	0	3	2	0	0	399.5	0	0	0	0	0	0	0	0	0	1	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	25	"AWI"	25	1409	1893	1634	1	0	118	0	5	2	64	0	0	0	0	4	9	0	0	3	28	0	1	4	0	1	316	0	0	4	0	1	0	0	0	0	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	29	"AWI"	29	1586	2214	1874	0	0	110	1	5	0	64	0	0	0	0	3	14	0	0	0	50	0	1	4	0	1	357.5	23.5	0	1	0	0	0	0	1	1	0	0	0
1553	1594	"Lake GB1"	55.11083	-75.24889	35	"AWI"	35	1882	2634	2242	0	0	158	0	6	0	65	0	0	0	0	4	8	0	0	1	15	0	1	3	0	0	414	0	0	4	0	0	0	0	0	1	0	0	1
1553	1594	"Lake GB1"	55.11083	-75.24889	40	"AWI"	40	2171	2950	2552	0	0	129	1	7	0	64	0	0	0	1	4	11	0	1	0	25	0	4	1	2	0	432.5	22	1	3	0	1	0	0	0	1	0	0	0
