"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hippophaë rhamnoides"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
703	723	"Dovjok Swamp"	48.75	28.25	40	"AWI"	40	-76	198	73	0	0	1	31	1	4	0	4	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	14	0	0	119	0	0	0	0	4	2	2	1	1	1	0	0	0	0	0	1	0	1	0
703	723	"Dovjok Swamp"	48.75	28.25	50	"AWI"	50	-47	433	216	0	1	6	48	2	13	0	8	0	1	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	14	0	0	51	0	1	0	0	5	7	0	1	1	1	1	0	1	1	0	1	0	1	0
703	723	"Dovjok Swamp"	48.75	28.25	60	"AWI"	60	-26	679	358	0	1	7	34	0	9	0	14	0	1	0	1	0	0	0	0	3	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	1	70	0	0	0	0	8	3	2	0	1	2	1	0	1	0	0	1	0	1	0
703	723	"Dovjok Swamp"	48.75	28.25	70	"AWI"	70	177	782	490	1	1	15	41	2	7	0	20	0	2	0	11	0	0	0	0	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	73	0	0	0	0	5	4	0	0	0	1	0	0	1	1	0	1	0	3	0
703	723	"Dovjok Swamp"	48.75	28.25	80	"AWI"	80	443	827	618	0	1	8	20	2	11	0	17	0	1	0	9	0	0	0	0	5	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	2	0	0	1	19	0	1	89	0	0	0	0	6	4	3	0	1	1	1	0	1	0	0	1	0	0	1
703	723	"Dovjok Swamp"	48.75	28.25	90	"AWI"	90	665	902	745	0	1	5	35	4	12	0	15	0	3	0	10	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	65	0	0	0	0	12	1	0	0	1	1	1	0	0	0	0	1	0	8	0
703	723	"Dovjok Swamp"	48.75	28.25	100	"AWI"	100	736	1067	869	0	1	6	41	4	12	0	15	0	3	0	9	0	0	0	0	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	89	0	0	0	0	11	8	0	0	1	3	0	0	1	0	0	1	0	4	0
703	723	"Dovjok Swamp"	48.75	28.25	120	"AWI"	120	809	1360	1060	0	0	6	33	5	10	0	13	0	4	0	3	0	0	0	0	6	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	132	0	0	0	0	10	3	2	1	1	0	1	0	5	0	0	1	0	0	1
703	723	"Dovjok Swamp"	48.75	28.25	130	"AWI"	130	843	1549	1148	0	0	4	10	7	10	0	9	0	9	0	0	0	0	0	0	3	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	63	0	1	128	0	0	0	0	18	16	0	3	0	4	0	0	0	0	0	3	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	140	"AWI"	140	970	1589	1251	0	0	8	2	4	9	0	14	0	2	0	1	0	0	0	0	6	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	58	0	0	129	0	0	0	0	19	6	4	1	0	1	0	0	2	0	0	5	4	0	0
