"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Asteraceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Drimys"	"Embothrium"	"Ericales"	"Gunneraceae"	"Misodendraceae"	"Nothofagus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Schinus"
477	488	"Isla Clarence"	-54.2	-71.23333	15	"AWI"	15	48	713	296	0	0	0	0	0	0	66.3551401869159	33.6448598130841	0	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	35	"AWI"	35	380	1324	780	0	0	0	0	0	0	42.1052631578947	0	57.8947368421053	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	45	"AWI"	45	570	1597	1035	11.6959064327485	0	0	11.6959064327485	33.3333333333333	0	29.8245614035088	13.4502923976608	0	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	55	"AWI"	55	782	1863	1279	0	0	0	3.76831821353803	0	0	5.5129099790649	0	0	90.7187718073971	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	65	"AWI"	65	989	2119	1520	0	0	0	0	0	0	8.5037674919268	0	0	91.4962325080732	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	75	"AWI"	75	1212	2376	1762	0	0	0	1.78938105016134	0	0	3.813435024934	0	0	94.3971839249047	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	85	"AWI"	85	1430	2621	2007	3.22123176661264	0	0	0	1.49918962722853	0	5.00405186385737	0	0	90.2755267423015	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	95	"AWI"	95	1683	2874	2251	0	0	0	1.50237216657881	0.685292567211386	0	25.5139694254085	0.685292567211386	0	71.6130732735899	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	105	"AWI"	105	1934	3111	2503	32.3974082073434	0	0	0	13.8228941684665	0	35.85313174946	0	17.92656587473	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	115	"AWI"	115	2192	3333	2740	0	0	0	0	0.797325102880658	0	3.00925925925926	0	0.797325102880658	95.3960905349794	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	135	"AWI"	135	2718	3807	3227	8.63131935881628	0	0	1.41800246609125	0	0	3.76078914919852	6.72009864364981	7.27496917385943	70.5918618988903	1.60295930949445	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	155	"AWI"	155	3160	4364	3735	1.40969162995595	0	0	1.40969162995595	0	0	4.09691629955947	14.7136563876652	1.40969162995595	75.5506607929515	1.40969162995595	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	165	"AWI"	165	3392	4650	3989	0	0	0	0	0	0	5.83090379008746	1.63265306122449	1.63265306122449	90.9037900874635	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	175	"AWI"	175	3633	4912	4249	0	0	1.69061707523246	0	1.69061707523246	0	5.156382079459	7.10059171597633	0	84.3617920540998	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	185	"AWI"	185	3871	5161	4503	0	0	0	3.27545382794002	0	0	2.20994475138122	1.10497237569061	0	93.4096290449882	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	195	"AWI"	195	4108	5419	4762	0	0	0	0.803212851405622	0	0	0.803212851405622	0	0	98.3935742971888	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	205	"AWI"	205	4383	5681	5027	0	0	0	0	0	0	5.49496644295302	1.19546979865772	1.40520134228188	88.506711409396	0	0	3.39765100671141	0
477	488	"Isla Clarence"	-54.2	-71.23333	215	"AWI"	215	4642	5935	5280	0	0	0	0	0	0	6.49460545800719	0	0	93.5053945419928	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	225	"AWI"	225	4911	6196	5538	0	0	0	19	0	0	0	0	0	81	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	235	"AWI"	235	5120	6471	5785	0	0	0	0	10.7159791370318	0	5.35798956851588	3.74585111427217	0	80.1801801801802	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	245	"AWI"	245	5329	6757	6037	0	0	0	0	0	0	0.803166104062391	0.605284600162961	0.803166104062391	97.7883831917123	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	255	"AWI"	255	5550	7047	6283	4.22374429223744	0	0	0	4.22374429223744	0	0	0	0	91.5525114155251	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	265	"AWI"	265	5775	7318	6534	0	0	0	0	0	0	1.34298604553562	1.11740635819956	10.0828874199979	86.3393138180674	1.11740635819956	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	275	"AWI"	275	6017	7570	6781	0	0	0	0	2.03606748109366	1.01803374054683	5.09016870273415	13.2635253054101	5.09016870273415	73.5020360674811	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	285	"AWI"	285	6239	7854	7031	0	0	0	1.99164221570197	0	0	0	0	22.8861029607895	75.1222548235085	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	295	"AWI"	295	6483	8116	7283	0	0	0	0.511687405512269	0.511687405512269	0	1.23851610652401	1.02918944063263	0.930340737295034	95.2668914990115	0	0.511687405512269	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	305	"AWI"	305	6723	8379	7534	0	0	0	0	0	0	0.90960240060015	8.73968492123031	26.8567141785446	62.6969242310578	0.797074268567142	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	315	"AWI"	315	6969	8636	7783	0	0	0	0	0.617018223561487	0	0.832257138757354	23.8628210647152	2.18108767398479	71.8897976754197	0.617018223561487	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	325	"AWI"	325	7208	8906	8032	0	0	0	0.498640072529465	0	0	0	23.1187669990934	1.00861287398005	74.8753399818676	0.498640072529465	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	335	"AWI"	335	7458	9144	8282	0	0	0	0	0	0	1.39134275618375	8.39222614840989	1.98763250883392	87.3233215547703	0.90547703180212	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	355	"AWI"	355	7958	9664	8781	1.0613751730503	0	0	37.471158283341	0	0	24.5962159667743	13.8901707429626	0	18.1818181818182	4.79926165205353	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	365	"AWI"	365	8209	9912	9025	4.99545867393279	0	0	50.1362397820163	0	0	13.8056312443233	18.8010899182561	2.27066303360581	0	9.99091734786558	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	375	"AWI"	375	8465	10150	9278	6.99300699300699	1.18006993006993	1.00524475524476	13.986013986014	0	0	20.0174825174825	5.50699300699301	1.3986013986014	37.0192307692308	10.4895104895105	0	0	2.40384615384615
477	488	"Isla Clarence"	-54.2	-71.23333	385	"AWI"	385	8742	10392	9522	2.3728813559322	0	0	4.74576271186441	0	0	20	9.42372881355932	0	59.2542372881356	4.20338983050847	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	395	"AWI"	395	9006	10635	9770	0	0	0	0	0	0	66.7166416791604	14.6926536731634	0	0	18.5907046476762	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	405	"AWI"	405	9234	10924	10022	0	0	0	0	0	0	49.3951612903226	14.9193548387097	0	0	35.6854838709677	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	415	"AWI"	415	9456	11212	10276	1.2063765618268	0	0	4.2654028436019	0	0	3.015941404567	38.6471348556657	0	0	52.8651443343386	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	425	"AWI"	425	9703	11518	10530	0	0	0	3.23943661971831	0	0	20.1408450704225	14.2723004694836	0	0	62.3474178403756	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	435	"AWI"	435	9922	11825	10787	15.1401869158879	0	0	11.6510903426791	0	0	21.9781931464174	17.4766355140187	0	0	33.7538940809969	0	0	0
