"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Liriodendron"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
479	490	"Clear Lake"	41.63794	-86.545192	20	"AWI"	20	-86	29	-21	0	1	4	0	0	8	0	37	0	0	0	4	24	13	0	10	0	0	0	0	12	0	11	0	0	0	209	0	3	0	2	0	12
479	490	"Clear Lake"	41.63794	-86.545192	40	"AWI"	40	-68	102	6	0	1	5	1	0	0	2	43	0	0	0	2	22	15	0	8	0	0	0	0	10	0	12	0	1	0	197	0	2	0	4	0	21
479	490	"Clear Lake"	41.63794	-86.545192	60	"AWI"	60	-45	166	35	0	0	1	4	0	33	4	20	0	0	0	3	16	18	0	11	0	2	0	0	4	0	7	0	4	0	215	1	2	0	2	0	24
479	490	"Clear Lake"	41.63794	-86.545192	80	"AWI"	80	-3	210	75	0	0	3	4	0	0	4	25	0	0	0	3	30	9	0	8	0	1	0	0	8	0	5	0	3	0	211	0	0	0	7	0	20
479	490	"Clear Lake"	41.63794	-86.545192	85	"AWI"	85	5	224	85	0	0	3	0	0	25	4	28	0	0	0	1	11	6	0	8	0	0	1	1	3	0	4	4	3	0	162	2	0	0	5	0	5
479	490	"Clear Lake"	41.63794	-86.545192	95	"AWI"	95	16	256	104	0	1	1	2	0	21	5	32	0	0	0	4	26	8	0	14	0	1	0	1	7	0	9	3	0	0	196	0	1	0	4	0	13
479	490	"Clear Lake"	41.63794	-86.545192	115	"AWI"	115	150	467	285	0	9	0	1	2	4	5	33	1	2	1	7	32	17	3	11	0	0	0	0	13	0	11	8	7	2	180	2	0	0	7	1	21
479	490	"Clear Lake"	41.63794	-86.545192	130	"AWI"	130	290	979	656	0	14	5	2	3	9	1	37	0	4	3	4	62	10	4	11	0	1	0	0	10	0	6	27	13	3	187	0	3	0	7	0	43
479	490	"Clear Lake"	41.63794	-86.545192	150	"AWI"	150	434	1749	1142	0	10	0	3	0	8	6	22	0	0	0	6	47	9	4	6	0	1	0	0	8	0	4	13	7	0	163	0	1	0	3	1	39
479	490	"Clear Lake"	41.63794	-86.545192	170	"AWI"	170	752	2336	1600	0	6	1	2	2	6	9	27	1	0	1	2	42	13	1	8	1	0	0	0	8	0	7	9	2	0	200	0	2	0	1	0	37
479	490	"Clear Lake"	41.63794	-86.545192	185	"AWI"	185	1052	2599	1907	0	9	1	1	0	8	2	28	0	1	0	2	22	6	0	10	0	0	0	0	3	0	7	8	0	1	215	0	2	0	3	0	19
479	490	"Clear Lake"	41.63794	-86.545192	195	"AWI"	195	1180	2904	2103	0	1	3	0	2	6	4	14	1	0	2	7	10	5	0	5	0	0	0	0	2	0	6	2	1	0	151	0	0	1	2	0	12
