"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Larix"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1402	1439	"Karasye Lake"	53.03	70.22	0	"AWI"	0	-117	46	-38	0	0	26	1	112	0	0	2	0	0	0	0	0	0	0	1	193	1	0	11	0	0	0	4	0	0	2	0	0	2	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	10	"AWI"	10	5	340	184	0	0	9	0	81	3	0	0	0	0	0	0	2	0	0	0	155	0	0	7	2	0	0	1	0	0	0	0	7	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	20	"AWI"	20	64	699	410	0	0	17	0	92	3	0	1	0	3	0	0	0	0	0	0	0	0	0	4	0	0	1	5	0	0	0	0	4	2	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	30	"AWI"	30	309	857	587	0	0	13	1	88	2	0	1	0	0	0	0	2	0	0	1	123	0	0	4	2	0	0	3	4	0	1	0	6	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	40	"AWI"	40	474	1006	762	0	0	11	3	55	0	0	2	0	1	0	0	0	0	0	0	154	0	0	7	0	0	0	9	0	0	0	0	5	0	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	50	"AWI"	50	606	1237	905	0	0	16	0	45	0	0	0	0	0	0	0	0	0	0	0	119	0	0	4	0	0	1	2	0	1	1	0	5	4	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	60	"AWI"	60	707	1347	1020	0	0	12	2	57	0	0	4	0	4	0	0	0	2	0	0	0	2	0	7	0	0	0	4	0	2	0	0	4	1	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	70	"AWI"	70	790	1515	1129	0	0	20	1	78	0	0	2	0	1	0	0	3	0	0	0	114	5	0	7	0	0	0	3	5	0	1	0	9	10	0	2	0
1402	1439	"Karasye Lake"	53.03	70.22	80	"AWI"	80	1007	1623	1266	1	0	10	2	18	0	0	6	0	0	0	0	0	1	0	0	116	1	1	5	0	0	1	5	0	1	0	0	5	4	0	0	1
1402	1439	"Karasye Lake"	53.03	70.22	90	"AWI"	90	1103	1827	1403	0	0	11	3	75	0	0	0	0	2	0	0	2	0	0	0	135	2	0	7	0	0	1	3	0	0	1	0	8	4	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	100	"AWI"	100	1299	2042	1646	0	0	19	2	74	0	0	0	1	0	0	0	0	0	0	0	96	0	0	3	0	0	1	6	0	3	0	0	4	1	0	0	2
1402	1439	"Karasye Lake"	53.03	70.22	110	"AWI"	110	1418	2357	1903	0	0	13	0	68	0	0	1	0	0	0	0	0	1	0	1	111	0	0	3	2	0	2	2	0	2	1	0	3	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	120	"AWI"	120	1671	2619	2139	0	0	11	1	48	2	0	2	0	4	0	0	1	1	0	0	105	0	0	5	0	0	1	9	0	0	0	0	7	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	130	"AWI"	130	1985	2733	2387	0	0	14	0	84	0	0	0	0	0	0	0	1	0	1	0	136	1	0	7	0	1	1	2	0	0	0	0	12	0	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	140	"AWI"	140	2143	2974	2600	0	0	22	0	92	5	0	8	0	1	0	0	0	0	0	0	100	1	0	5	0	0	1	7	0	1	0	0	6	3	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	150	"AWI"	150	2270	3129	2730	0	0	16	0	78	0	0	1	0	0	0	0	1	0	0	0	153	0	0	7	0	1	3	1	0	1	0	0	7	2	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	160	"AWI"	160	2359	3381	2848	0	0	14	0	65	0	0	4	0	0	0	0	0	3	0	0	181	0	0	15	0	0	0	2	0	0	0	0	4	0	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	170	"AWI"	170	2513	3501	2976	0	0	24	1	104	0	0	0	0	0	0	0	0	1	0	1	145	2	0	3	0	0	1	2	0	2	0	1	8	3	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	180	"AWI"	180	2615	3663	3107	0	0	16	0	52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	1	0	0	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	190	"AWI"	190	2754	3800	3234	0	0	14	3	66	0	0	0	0	1	0	0	0	0	0	1	139	0	0	4	0	0	1	2	0	1	0	0	0	2	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	200	"AWI"	200	2878	3922	3365	0	0	17	1	46	0	0	8	2	0	0	0	0	0	0	0	119	0	0	12	0	0	0	4	0	1	0	0	4	7	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	210	"AWI"	210	2980	4069	3498	0	0	15	1	54	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	1	0	0	0	0	1	6	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	215	"AWI"	215	3050	4112	3568	0	0	11	1	61	0	0	0	1	0	0	0	0	0	1	0	132	0	0	6	0	0	1	3	0	2	0	0	4	1	1	0	0
1402	1439	"Karasye Lake"	53.03	70.22	225	"AWI"	225	3148	4307	3706	0	0	10	0	53	0	0	7	0	0	0	0	0	0	0	0	124	0	0	4	0	0	1	0	0	0	0	0	4	0	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	235	"AWI"	235	3258	4501	3839	0	0	16	0	68	0	0	6	0	0	0	0	0	0	0	1	124	0	0	5	0	0	0	3	0	0	0	0	2	1	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	245	"AWI"	245	3372	4633	3982	0	4	18	0	86	0	89	0	0	0	0	0	0	1	0	1	134	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0
1402	1439	"Karasye Lake"	53.03	70.22	255	"AWI"	255	3480	4825	4117	0	0	16	0	78	0	0	10	2	0	0	0	0	3	0	1	108	0	0	3	0	0	0	5	0	1	1	0	3	2	0	0	0
