"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Tilia"	"Ulmus"
9	9	"Adange"	43.30556	41.33333	2	"AWI"	2	-149	19	-59	32	15	3	0	1	0	0	0	7	2	4	16	0	0	14	0	0	0	0	0	0	19	21	0	0	0	0	0	1	0	0	0	0
9	9	"Adange"	43.30556	41.33333	5	"AWI"	5	-121	61	-28	35	5	0	0	0	0	0	0	4	0	1	4	0	0	8	0	0	0	0	0	0	23	28	0	0	0	2	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	6	"AWI"	6	-115	85	-18	47	10	0	0	0	0	0	0	4	2	2	57	0	0	11	0	0	0	0	1	0	15	37	0	0	0	1	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	9	"AWI"	9	-98	165	9	45	19	0	1	0	0	1	0	5	0	2	110	0	2	7	0	0	1	0	0	0	15	21	0	5	0	5	0	1	5	0	0	0
9	9	"Adange"	43.30556	41.33333	15	"AWI"	15	-78	342	63	24	15	0	0	0	0	0	0	7	1	0	31	0	1	16	0	0	0	0	0	0	4	29	0	0	0	15	0	1	0	0	0	0
9	9	"Adange"	43.30556	41.33333	20	"AWI"	20	-39	382	122	9	21	1	0	1	0	0	0	0	1	1	43	0	1	13	0	0	0	0	1	0	3	9	0	0	0	5	0	0	0	1	0	0
9	9	"Adange"	43.30556	41.33333	25	"AWI"	25	-13	448	180	32	18	0	2	1	0	0	2	2	0	1	42	0	2	42	0	0	1	0	0	0	8	21	0	0	0	14	0	0	0	0	0	1
9	9	"Adange"	43.30556	41.33333	34	"AWI"	34	55	547	279	21	16	5	1	0	0	0	0	0	2	3	40	0	1	6	0	0	0	1	0	0	5	26	0	1	0	33	0	0	3	1	1	0
9	9	"Adange"	43.30556	41.33333	38	"AWI"	38	77	589	326	33	17	0	0	0	0	0	1	3	2	3	105	0	4	28	0	0	1	0	0	0	7	31	0	1	0	5	0	1	0	0	0	0
9	9	"Adange"	43.30556	41.33333	42	"AWI"	42	99	644	368	40	16	1	0	1	0	0	4	7	2	3	21	0	5	30	0	0	3	0	0	0	4	28	0	4	0	10	0	0	7	2	0	1
9	9	"Adange"	43.30556	41.33333	46	"AWI"	46	153	663	411	21	16	0	0	0	0	0	1	0	1	2	37	0	0	25	0	0	0	0	0	0	5	25	0	1	0	4	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	50	"AWI"	50	187	692	455	20	21	0	3	0	0	0	0	1	1	8	67	0	0	50	0	0	1	0	0	0	2	18	0	2	0	8	0	1	1	1	1	0
9	9	"Adange"	43.30556	41.33333	53.5	"AWI"	53.5	209.5	730	494	15	16	2	0	0	0	1	0	2	1	1	26	0	1	16	0	0	1	0	0	0	7	21	0	0	0	8	0	0	2	0	2	0
9	9	"Adange"	43.30556	41.33333	56.5	"AWI"	56.5	253.5	753	525.5	16	23	4	4	0	0	1	3	7	2	4	45	0	4	27	0	0	0	0	0	0	2	13	0	1	0	11	0	1	0	0	0	1
9	9	"Adange"	43.30556	41.33333	58.5	"AWI"	58.5	292	762	546	23	16	6	2	0	0	0	1	7	2	5	96	0	0	28	1	0	3	0	0	0	5	12	0	4	0	11	0	0	0	1	0	0
9	9	"Adange"	43.30556	41.33333	62	"AWI"	62	336	781	586	12	24	4	12	0	0	0	4	10	1	11	87	0	5	42	0	0	0	0	0	0	8	16	0	1	0	17	1	0	3	2	1	1
9	9	"Adange"	43.30556	41.33333	66.5	"AWI"	66.5	376.5	815.5	637.5	15	35	1	2	0	0	0	1	10	1	10	32	0	3	17	0	0	1	0	0	0	4	35	0	2	0	22	0	1	6	1	0	0
9	9	"Adange"	43.30556	41.33333	70	"AWI"	70	438	836	671	18	30	8	0	3	0	1	0	3	3	14	97	0	0	23	0	0	0	0	0	0	5	17	0	0	0	0	0	2	0	0	0	0
9	9	"Adange"	43.30556	41.33333	73	"AWI"	73	505	846	700	12	42	5	5	5	0	0	1	8	1	5	92	0	1	23	0	0	10	0	0	0	4	22	0	0	0	3	0	0	1	0	0	0
9	9	"Adange"	43.30556	41.33333	76	"AWI"	76	562	857	730	26	35	0	3	3	0	0	0	4	1	10	37	0	0	20	0	0	1	0	0	0	2	21	0	0	0	3	0	0	0	0	1	0
9	9	"Adange"	43.30556	41.33333	77	"AWI"	77	578	860	740	17	29	1	1	1	0	0	0	0	1	8	90	0	0	5	0	0	0	0	0	0	3	25	0	0	0	0	0	0	0	0	0	1
9	9	"Adange"	43.30556	41.33333	82	"AWI"	82	681	893	815	11	34	2	1	3	0	0	1	3	3	6	91	0	0	21	0	1	1	0	0	0	2	17	0	2	0	4	0	0	1	0	1	0
9	9	"Adange"	43.30556	41.33333	87	"AWI"	87	799	1211	961	8	37	1	2	1	0	1	0	0	1	6	37	0	0	22	0	0	0	0	0	0	4	14	0	0	0	0	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	92	"AWI"	92	838	1655	1098	13	24	1	2	2	0	0	1	0	0	1	46	0	0	18	0	0	0	0	0	0	3	22	0	0	0	0	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	97	"AWI"	97	967	1943	1304	38	43	0	0	0	0	0	0	0	1	3	60	0	0	8	0	0	0	0	0	0	10	23	0	0	0	1	0	0	0	1	0	0
9	9	"Adange"	43.30556	41.33333	102	"AWI"	102	1086	2135	1579	30	19	1	0	0	0	0	0	0	0	3	73	0	0	9	0	1	0	0	0	0	2	20	0	0	0	0	0	0	1	0	0	0
