"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tsuga"
796	818	"Fallback Lake"	43.96667	-110.43333	344	"AWI"	344	9195	10820	10134	34	0	0	4	0	27	0	1	0	0	0	0	8	0	0	0	0	2	1	0	0	0	0	30	193	0	2	0	0	3	0	0	0	0	0	1	0	3	0	1	0
796	818	"Fallback Lake"	43.96667	-110.43333	352	"AWI"	352	9555	10983	10397	111	0	0	11	0	42	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	67	251	0	5	0	0	1	0	0	0	0	2	3	0	3	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	360	"AWI"	360	10318	11113	10750	51	0	0	2	0	46	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	48	177	0	5	0	0	0	3	0	0	0	0	2	0	1	0	1	0
796	818	"Fallback Lake"	43.96667	-110.43333	364	"AWI"	364	10557	11269	10942	36	0	0	6	1	79	0	0	1	0	0	0	14	0	0	0	1	4	0	0	0	0	0	43	199	0	11	0	0	2	0	0	0	2	1	3	1	4	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	368	"AWI"	368	10658	11637	11121	17	1	1	7	0	58	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	27	117	0	8	0	0	1	0	0	0	0	2	3	0	4	0	2	0
796	818	"Fallback Lake"	43.96667	-110.43333	372	"AWI"	372	10724	12025	11285	10	0	0	9	0	88	0	1	0	0	1	0	21	1	0	0	0	0	0	0	0	0	0	64	120	0	14	0	0	0	0	0	0	1	5	1	1	3	1	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	376	"AWI"	376	10772	12431	11452	6	0	0	7	4	83	0	2	0	0	0	0	26	0	0	0	0	0	3	0	0	0	0	63	108	0	33	0	0	0	2	0	3	1	4	6	0	4	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	384	"AWI"	384	10983	13175	11826	5	0	0	9	0	91	0	4	0	2	2	0	16	1	0	0	0	1	4	0	0	0	0	60	107	0	21	0	0	0	3	0	0	0	1	1	0	3	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	388	"AWI"	388	11351	13258	12091	1	0	0	11	2	94	0	1	0	0	3	0	20	0	0	0	0	1	7	0	0	0	0	17	66	0	30	0	0	0	0	0	0	1	9	0	0	4	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	392	"AWI"	392	11709	13361	12347	8	0	1	9	0	101	0	3	0	1	1	0	13	0	0	0	0	1	6	0	0	0	0	30	100	0	31	0	0	0	1	0	0	0	2	8	1	6	0	0	0
