"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Thuja"	"Tsuga"
937	966	"Gold Lake Bog"	43.65	-122.04167	1	"AWI"	1	-126	69	-36	49	0	8	0	1	0	1	0	4	0	0	0	0	0	28	1	0	2	6	26	120	8	0	1	0	0	17	1	2	1	0	1	0	0	0	0	0	0	97
937	966	"Gold Lake Bog"	43.65	-122.04167	8	"AWI"	8	-66	632	151	46	0	5	0	1	0	1	0	12	0	0	0	0	1	16	2	0	2	1	17	125	4	1	0	0	2	14	1	0	1	0	2	1	0	0	0	0	0	84
937	966	"Gold Lake Bog"	43.65	-122.04167	50	"AWI"	50	529	2667	1509	36	0	6	0	0	1	0	0	3	0	1	0	0	1	26	2	0	7	1	10	185	0	0	0	0	2	7	0	0	0	0	1	0	4	0	0	0	0	50
937	966	"Gold Lake Bog"	43.65	-122.04167	60	"AWI"	60	846	2971	1858	10	0	2	0	2	0	0	0	7	0	0	0	0	0	9	0	0	0	1	12	98	0	1	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	26
937	966	"Gold Lake Bog"	43.65	-122.04167	80	"AWI"	80	1405	3598	2570	29	0	4	1	2	0	6	0	10	1	0	0	0	0	10	0	0	1	0	28	186	0	0	0	0	0	17	0	2	0	0	1	0	0	0	0	0	0	39
937	966	"Gold Lake Bog"	43.65	-122.04167	100	"AWI"	100	2080	4133	3295	28	0	11	0	0	0	5	0	6	0	1	0	0	0	15	2	0	3	3	17	208	0	0	1	0	1	9	0	0	1	0	2	0	0	0	0	1	0	29
937	966	"Gold Lake Bog"	43.65	-122.04167	130	"AWI"	130	3788	4654	4241	21	0	4	1	0	0	1	0	9	0	0	0	0	1	8	0	0	5	44	17	252	5	0	0	1	0	8	2	4	0	0	0	1	0	0	0	0	0	38
937	966	"Gold Lake Bog"	43.65	-122.04167	150	"AWI"	150	4320	5176	4748	34	0	7	1	0	0	3	0	9	0	0	0	0	0	8	1	0	1	30	20	122	3	0	0	0	0	12	0	2	0	0	1	0	0	0	0	0	2	27
937	966	"Gold Lake Bog"	43.65	-122.04167	160	"AWI"	160	4522	5435	4963	26	0	1	0	0	0	2	0	7	0	0	0	0	0	2	0	0	5	225	7	216	1	0	0	0	0	7	0	0	0	0	1	0	2	0	0	0	1	27
937	966	"Gold Lake Bog"	43.65	-122.04167	170	"AWI"	170	4675	5626	5210	30	0	4	2	0	0	3	0	12	0	0	0	0	1	8	0	0	0	111	8	0	3	0	0	0	0	4	4	0	0	0	5	0	0	1	0	0	0	13
