"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
7	7	"Three Pines Bog"	47	-80.11667	1	"AWI"	1	-94	86	-8	2.01342281879195	0	8.05369127516778	1.34228187919463	0	0	0	52.3489932885906	0.671140939597315	0	0	0	0	0	8.7248322147651	0	1.34228187919463	6.71140939597315	0.671140939597315	0	0.671140939597315	0	0.671140939597315	4.02684563758389	0	0	0	2.68456375838926	2.68456375838926	7.38255033557047	0	0	0	0	0	0	0	0	0	0
7	7	"Three Pines Bog"	47	-80.11667	10	"AWI"	10	-11	461	152	6.51162790697674	0	1.3953488372093	0	0	0	0	54.4186046511628	0	0.465116279069767	0	0	0	0	5.58139534883721	0.465116279069767	0	6.51162790697674	0	0	0	0	0	20	0	0.465116279069767	0	0	0	2.7906976744186	0	0	0	0.465116279069767	0	0	0	0	0.465116279069767	0.465116279069767
7	7	"Three Pines Bog"	47	-80.11667	20	"AWI"	20	89	792	345	7.14285714285714	0	6.42857142857143	0	0	0	0	44.2857142857143	0	0	0	0	0.714285714285714	0	2.14285714285714	0.714285714285714	0	2.14285714285714	1.42857142857143	0	2.14285714285714	0	0	24.2857142857143	0	0	0	1.42857142857143	0.714285714285714	2.14285714285714	0	0	0.714285714285714	0.714285714285714	0	0	0	0	1.42857142857143	1.42857142857143
7	7	"Three Pines Bog"	47	-80.11667	30	"AWI"	30	226	1048	559	5.0251256281407	1.50753768844221	4.02010050251256	0	0	0.50251256281407	0	37.1859296482412	0	0	0	0	1.50753768844221	0	2.01005025125628	0.50251256281407	0	8.5427135678392	1.00502512562814	0	0.50251256281407	0	1.00502512562814	20.1005025125628	0	0	0	0	0	2.51256281407035	0	1.50753768844221	0	10.5527638190955	0	0	0	0	1.00502512562814	1.00502512562814
7	7	"Three Pines Bog"	47	-80.11667	40	"AWI"	40	370	1297	767	5.85585585585586	0	5.40540540540541	0.45045045045045	0	0	0	35.5855855855856	0	0.45045045045045	0	0	2.25225225225225	0.45045045045045	14.8648648648649	1.35135135135135	0	0.900900900900901	2.7027027027027	0	2.25225225225225	0	1.8018018018018	19.3693693693694	0	0	0	0	0	3.15315315315315	0	0	0	0	0	0	0	0	1.35135135135135	1.8018018018018
7	7	"Three Pines Bog"	47	-80.11667	50	"AWI"	50	529	1518	972	3.2258064516129	0	5.91397849462366	0	0	0	0	45.6989247311828	0	0	0	0	6.45161290322581	0	0.537634408602151	1.61290322580645	0	1.61290322580645	1.0752688172043	0	3.76344086021505	0	3.2258064516129	14.5161290322581	0	0	0	0	0	4.3010752688172	0	0	0	0.537634408602151	4.3010752688172	0	0	0	0.537634408602151	2.68817204301075
7	7	"Three Pines Bog"	47	-80.11667	60	"AWI"	60	690	1742	1177	1.02564102564103	0	6.66666666666667	0	0	0.512820512820513	0	49.7435897435897	0	0	0	0	1.53846153846154	0	1.02564102564103	2.05128205128205	0	0	1.53846153846154	0	0.512820512820513	0	0	21.5384615384615	0	0	0	0	0.512820512820513	4.61538461538462	0	0.512820512820513	0	2.05128205128205	3.58974358974359	0	0	0	1.02564102564103	1.53846153846154
7	7	"Three Pines Bog"	47	-80.11667	70	"AWI"	70	872	1948	1386	1.70940170940171	0	5.12820512820513	0	0	0.854700854700855	0	63.2478632478632	0	0	0	0	0.854700854700855	0	0.854700854700855	1.70940170940171	0	0	3.41880341880342	0	0.854700854700855	0	1.70940170940171	6.83760683760684	0	0	0.854700854700855	0	0	8.54700854700855	0	0	0	1.70940170940171	0	0	0	0.854700854700855	0.854700854700855	0
7	7	"Three Pines Bog"	47	-80.11667	80	"AWI"	80	1045	2172	1596	2.46305418719212	0	4.43349753694581	0.492610837438424	0	0	0	64.0394088669951	0	0.492610837438424	0	0	0.985221674876847	0	0.985221674876847	0.985221674876847	0	0.492610837438424	0.985221674876847	0	0.985221674876847	0	0.985221674876847	9.35960591133005	0	0	0	0.985221674876847	0	5.41871921182266	0	0	0	0.985221674876847	0	0	0	0	3.44827586206897	1.47783251231527
7	7	"Three Pines Bog"	47	-80.11667	90	"AWI"	90	1236	2368	1801	3.73134328358209	0	7.46268656716418	0	0	0.746268656716418	0	52.9850746268657	0	0	0.746268656716418	0	2.98507462686567	0	0.746268656716418	0.746268656716418	0	0.746268656716418	0.746268656716418	0	1.49253731343284	0	0.746268656716418	15.6716417910448	0	0	0	0	0.746268656716418	7.46268656716418	0	0	0	0	0	0	0	0	1.49253731343284	0.746268656716418
