"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Urticaceae"
311	318	"Buckbean Fen"	44.29861	-110.26056	0	"AWI"	0	-135	34	-51	1	0	0	3	0	28	0	0	0	0	0	0	2	29	0	0	0	16	0	0	0	0	5	230	0	2	0	0	0	0	1	0	2	0	0	4	1	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	20	"AWI"	20	-56	593	134	8	0	1	13	0	31	0	0	0	0	0	0	0	66	0	0	0	3	0	1	0	0	3	241	0	9	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	40	"AWI"	40	24	1053	340	6	0	1	10	0	62	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0	0	5	748	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	60	"AWI"	60	97	1389	566	4	0	0	7	0	22	0	3	0	0	0	0	0	3	0	0	0	4	0	0	0	0	2	200	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	80	"AWI"	80	247	1654	805	1	0	0	5	0	26	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	262	0	7	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	105	"AWI"	105	421	2015	1098	5	0	1	9	0	30	0	0	0	1	0	0	1	24	0	0	0	0	0	1	0	0	8	357	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	125	"AWI"	125	556	2261	1332	2	0	0	7	0	30	0	0	0	0	0	0	0	45	0	0	0	2	0	1	0	0	6	278	0	8	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	140	"AWI"	140	723	2420	1498	3	0	0	3	0	7	0	0	0	0	0	0	0	30	0	0	0	3	0	0	0	0	2	143	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	160	"AWI"	160	883	2670	1730	2	0	1	2	0	11	0	0	0	0	0	0	0	50	0	0	0	0	0	1	0	0	7	211	0	3	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	180	"AWI"	180	1161	2843	1955	6	0	0	4	0	29	0	0	0	0	0	0	0	37	0	0	0	0	0	2	0	0	7	253	0	10	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	200	"AWI"	200	1410	3071	2182	6	0	0	5	0	17	0	0	0	0	0	0	0	34	0	0	0	7	0	0	0	0	8	246	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	220	"AWI"	220	1650	3309	2408	0	0	0	4	0	16	0	0	0	0	0	0	0	142	0	0	0	0	0	2	0	0	5	181	0	2	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	240	"AWI"	240	1998	3488	2632	0	0	1	3	0	24	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	2	223	0	10	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0
311	318	"Buckbean Fen"	44.29861	-110.26056	260	"AWI"	260	2244	3768	2896	0	0	0	2	0	21	0	0	0	0	0	0	0	50	0	0	0	0	0	7	0	0	10	228	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	280	"AWI"	280	2469	4277	3237	0	0	0	3	0	22	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	1	241	0	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	300	"AWI"	300	2702	4734	3592	1	0	0	6	0	33	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	211	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	320	"AWI"	320	2890	5209	3953	2	0	0	3	0	33	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	3	238	0	5	0	0	0	2	1	0	0	0	1	1	3	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	340	"AWI"	340	3246	5467	4333	4	0	0	9	0	23	0	0	0	0	0	1	1	9	0	0	0	5	0	4	0	0	6	280	0	6	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0
