"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Ilex"	"Juglans"	"Liliaceae"	"Malvaceae"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rhus"	"Salix"	"Tilia"	"Ulmus"
298	304	"Boriack Bog"	30.36	-97.12611	5	"AWI"	5	-141	26	-64	0	0	0	1	0	0	0	0	0	0	0	2	12	0	0	5	0	0	0	0	0	11	0	0	0	0	0	118	0	30	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	15	"AWI"	15	109	2290	771	0	0	0	0	2	0	0	0	0	0	0	4	19	0	0	0	0	0	0	0	0	8	0	0	0	0	0	66	9	3	0	0	0	2
298	304	"Boriack Bog"	30.36	-97.12611	25	"AWI"	25	728	3299	1951	0	0	0	1	0	0	0	0	0	0	0	2	15	0	0	6	0	0	0	0	0	2	0	0	0	0	0	116	0	28	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	35	"AWI"	35	2025	3890	3132	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0	3	0	0	0	0	0	2	0	0	0	0	0	105	0	37	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	45	"AWI"	45	3506	4351	3980	0	0	0	0	2	0	0	0	0	0	0	0	13	0	0	3	0	0	0	0	0	3	0	0	0	0	0	100	1	28	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	55	"AWI"	55	3838	5051	4396	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	2	0	0	0	0	0	0	0	0	0	0	0	84	0	32	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	65	"AWI"	65	4073	5605	4734	0	0	0	2	2	0	0	0	0	0	0	0	17	0	0	6	0	0	0	0	0	0	0	0	0	0	0	95	0	20	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	75	"AWI"	75	4310	6077	5065	0	0	2	5	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	127	0	20	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	85	"AWI"	85	4542	6498	5405	0	0	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	125	0	10	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	95	"AWI"	95	4789	6888	5751	0	1	0	3	3	0	0	0	0	0	0	0	15	0	0	3	0	0	0	0	0	1	0	0	0	0	0	83	2	17	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	105	"AWI"	105	5089	7285	6092	0	0	0	13	3	0	0	0	1	0	0	0	15	0	0	4	0	0	0	0	0	1	0	0	0	0	0	100	3	16	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	115	"AWI"	115	5389	7620	6441	0	2	0	7	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	3	35	0	2	0	0
298	304	"Boriack Bog"	30.36	-97.12611	125	"AWI"	125	5684	7971	6787	0	3	2	5	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	61	3	51	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	135	"AWI"	135	5989	8293	7131	0	0	1	6	1	41	0	0	0	0	1	0	11	0	0	7	0	0	0	0	0	0	0	0	0	0	0	82	3	37	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	145	"AWI"	145	6325	8653	7474	0	0	1	16	1	0	0	0	0	0	0	0	9	0	4	4	0	0	0	0	0	0	0	0	0	0	0	65	1	20	0	0	0	1
298	304	"Boriack Bog"	30.36	-97.12611	155	"AWI"	155	6677	8970	7820	0	0	0	10	3	0	0	0	0	1	0	0	14	1	4	0	0	0	0	0	0	0	0	0	0	0	0	90	3	20	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	165	"AWI"	165	7019	9267	8166	0	0	0	7	3	0	0	0	0	1	0	0	22	0	5	2	0	0	0	0	0	1	0	0	0	0	0	80	3	20	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	175	"AWI"	175	7345	9588	8512	0	17	0	9	1	0	1	0	0	0	0	0	26	0	0	4	0	0	0	0	0	1	0	0	0	0	0	63	7	22	1	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	185	"AWI"	185	7677	9890	8865	0	9	1	42	1	38	0	0	0	0	0	0	9	0	4	1	0	0	0	0	0	4	0	0	0	0	0	53	3	24	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	195	"AWI"	195	8026	10168	9202	0	0	2	43	2	0	0	0	0	0	8	0	13	0	0	1	2	1	0	0	0	6	0	0	0	0	0	41	2	37	0	1	0	0
298	304	"Boriack Bog"	30.36	-97.12611	205	"AWI"	205	8454	10427	9538	0	128	0	5	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	19	0	19	0	1	0	0
298	304	"Boriack Bog"	30.36	-97.12611	215	"AWI"	215	8877	10692	9886	0	165	0	2	1	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	1	0	0	0	0	0	5	0	9	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	225	"AWI"	225	9310	10921	10223	0	58	2	3	1	0	0	0	0	0	0	0	24	1	0	6	4	0	0	0	0	4	0	0	0	0	0	27	3	33	0	1	0	0
298	304	"Boriack Bog"	30.36	-97.12611	235	"AWI"	235	9819	11155	10550	0	40	2	13	0	0	5	2	5	0	0	0	34	0	0	11	0	0	0	0	0	1	0	0	0	0	0	16	4	28	0	0	0	2
298	304	"Boriack Bog"	30.36	-97.12611	245	"AWI"	245	10301	11418	10868	0	2	5	24	2	0	0	0	0	0	0	0	15	1	0	3	0	0	1	0	0	1	0	0	0	0	0	22	0	8	1	6	0	2
298	304	"Boriack Bog"	30.36	-97.12611	255	"AWI"	255	10540	11823	11172	0	6	1	20	4	0	2	0	2	0	0	0	45	0	0	5	0	0	2	0	0	3	1	0	0	0	0	12	7	11	2	1	0	5
298	304	"Boriack Bog"	30.36	-97.12611	265	"AWI"	265	10762	12239	11450	0	22	0	18	3	0	0	0	2	0	0	0	16	0	3	8	6	0	0	0	0	3	0	0	0	0	0	24	2	18	3	6	0	2
298	304	"Boriack Bog"	30.36	-97.12611	275	"AWI"	275	10979	12636	11743	0	13	1	29	0	0	8	0	3	0	0	0	13	0	0	18	0	0	0	0	0	9	0	0	0	0	1	21	0	16	4	2	0	0
298	304	"Boriack Bog"	30.36	-97.12611	285	"AWI"	285	11204	12988	12033	0	128	0	2	0	0	0	0	0	0	0	6	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	1	0	0
298	304	"Boriack Bog"	30.36	-97.12611	295	"AWI"	295	11435	13313	12321	0	98	0	7	0	0	2	1	0	1	0	0	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	11	1	16	2	6	0	0
298	304	"Boriack Bog"	30.36	-97.12611	305	"AWI"	305	11681	13635	12615	0	61	0	8	3	0	1	1	3	0	0	0	14	0	0	11	0	0	0	0	0	1	0	0	0	0	0	34	3	6	4	1	0	0
298	304	"Boriack Bog"	30.36	-97.12611	315	"AWI"	315	11936	13968	12915	0	111	0	0	0	0	1	0	11	0	0	0	10	0	0	4	0	0	0	0	0	1	0	0	0	0	0	17	2	8	12	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	325	"AWI"	325	12199	14275	13202	0	143	1	1	0	0	0	0	0	0	0	0	5	0	0	3	0	1	0	0	0	2	0	0	0	0	0	10	1	6	7	1	0	0
298	304	"Boriack Bog"	30.36	-97.12611	335	"AWI"	335	12452	14570	13501	0	134	2	0	1	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	2	0	0	0	0	0	16	0	4	4	0	0	2
298	304	"Boriack Bog"	30.36	-97.12611	345	"AWI"	345	12738	14875	13794	0	110	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	1	7	0	0	0	0	21	0	4	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	355	"AWI"	355	13022	15174	14097	0	95	1	0	3	0	1	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	17	0	10	3	0	0	1
298	304	"Boriack Bog"	30.36	-97.12611	365	"AWI"	365	13329	15447	14400	0	72	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	8	0	0	0	0	35	2	7	2	4	0	0
298	304	"Boriack Bog"	30.36	-97.12611	375	"AWI"	375	13635	15731	14695	0	81	2	4	6	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	7	4	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	385	"AWI"	385	13974	15977	15001	0	94	2	3	5	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	30	0	8	2	1	0	0
298	304	"Boriack Bog"	30.36	-97.12611	395	"AWI"	395	14277	16234	15305	0	113	0	1	2	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	4	44	0	0
298	304	"Boriack Bog"	30.36	-97.12611	405	"AWI"	405	14612	16478	15602	1	127	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	1	2	0	0	0	0	0	17	4	14	0	6	0	0
298	304	"Boriack Bog"	30.36	-97.12611	415	"AWI"	415	14956	16717	15896	0	120	0	1	4	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	3	8	0	1
298	304	"Boriack Bog"	30.36	-97.12611	425	"AWI"	425	15319	16940	16185	1	72	0	5	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0	27	3	28	0	3	0	0
298	304	"Boriack Bog"	30.36	-97.12611	435	"AWI"	435	15716	17178	16477	0	116	4	1	5	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	7	2	4	0	0
298	304	"Boriack Bog"	30.36	-97.12611	445	"AWI"	445	16100	17410	16772	0	49	1	0	6	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	1	1	0	0	1	0	0	32	0	24	0	2	0	0
298	304	"Boriack Bog"	30.36	-97.12611	455	"AWI"	455	16360	17784	17056	0	106	2	2	3	0	0	1	0	0	1	0	9	1	0	0	0	0	0	1	0	0	0	1	0	0	0	16	2	18	0	9	0	0
298	304	"Boriack Bog"	30.36	-97.12611	465	"AWI"	465	16645	18133	17349	0	86	1	4	9	0	0	0	0	4	2	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	10	0	12	1	21	0	0
298	304	"Boriack Bog"	30.36	-97.12611	475	"AWI"	475	16929	18420	17636	0	43	0	0	0	38	0	4	0	1	1	0	7	0	0	0	0	1	0	0	4	0	0	0	0	0	0	22	0	21	8	33	0	2
298	304	"Boriack Bog"	30.36	-97.12611	485	"AWI"	485	17219	18689	17932	0	66	0	3	0	0	16	0	1	0	4	0	9	0	6	2	0	0	0	0	36	0	0	0	0	0	0	8	9	6	3	2	0	0
298	304	"Boriack Bog"	30.36	-97.12611	495	"AWI"	495	17527	18955	18224	0	50	0	41	4	0	1	0	0	0	1	0	17	1	1	4	0	0	1	0	7	1	0	0	1	0	1	25	0	15	0	0	0	0
298	304	"Boriack Bog"	30.36	-97.12611	505	"AWI"	505	17878	19237	18525	0	46	0	0	3	0	1	0	0	0	1	0	12	0	0	0	8	0	0	0	0	0	0	0	1	0	0	25	3	28	0	1	0	10
298	304	"Boriack Bog"	30.36	-97.12611	515	"AWI"	515	18205	19528	18828	2	75	0	2	0	0	0	1	0	3	3	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	2	21	0	0	1	1
