"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cactaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Lamiaceae"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Ranunculaceae"	"Scrophulariaceae"	"Solanaceae"
523	537	"Cumbre Unduavi"	-16.35	-68.04167	5	"AWI"	5	-121	88	-19	5	0	0	0	0	0	0	0	30	0	0	1	0	2	0	1	1	0	6	2	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	10	"AWI"	10	-98	210	23	4	0	2	0	0	0	0	1	8	0	0	6	0	7	0	2	3	3	5	2	0	0	4	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	15	"AWI"	15	-57	249	75	7	0	0	0	0	0	0	1	131	1	0	2	0	2	0	3	3	31	11	7	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	20	"AWI"	20	-35	316	124	6	0	0	0	0	0	0	5	189	0	1	5	0	4	0	3	1	3	8	4	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	25	"AWI"	25	14	350	176	1	0	0	0	0	0	2	1	26	0	0	6	0	6	0	2	0	0	14	0	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	30	"AWI"	30	44	403	226	1	0	0	0	1	0	0	2	41	0	0	21	0	3	0	4	0	2	16	1	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	35	"AWI"	35	110	431	277	1	0	0	0	0	0	0	6	36	1	0	8	0	1	0	18	2	0	29	1	0	0	0	2
523	537	"Cumbre Unduavi"	-16.35	-68.04167	40	"AWI"	40	147	475	329	0	0	0	188	0	0	0	1	49	0	0	65	0	0	0	2	1	2	12	2	0	0	0	4
523	537	"Cumbre Unduavi"	-16.35	-68.04167	45	"AWI"	45	219	506	404	0	0	0	0	0	0	1	0	263	0	0	5	0	0	0	0	0	0	30	1	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	50	"AWI"	50	266	642	463	0	0	0	0	0	0	4	4	116	2	0	34	0	1	0	2	0	0	16	1	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	55	"AWI"	55	356	817	566	1	0	0	0	1	0	0	8	23	3	0	9	0	0	0	10	0	0	15	1	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	60	"AWI"	60	401	1091	662	3	0	0	0	0	0	0	1	33	0	0	7	0	1	0	0	1	0	6	0	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	65	"AWI"	65	498	1192	786	0	0	0	0	0	0	0	13	36	0	0	21	0	0	0	0	0	1	17	4	0	0	0	1
523	537	"Cumbre Unduavi"	-16.35	-68.04167	70	"AWI"	70	549	1377	903	0	6	1	0	0	0	0	52	14	0	0	6	0	0	0	0	0	0	11	1	0	0	1	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	75	"AWI"	75	675	1465	1021	0	0	0	0	0	0	0	30	13	0	0	11	1	1	0	0	2	2	7	2	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	80	"AWI"	80	747	1608	1132	3	0	2	0	0	0	0	0	238	2	0	27	0	0	0	2	0	0	48	3	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	85	"AWI"	85	929	1712	1278	0	0	0	545	0	0	0	17	76	1	0	8	0	2	0	29	1	3	61	6	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	90	"AWI"	90	1008	1913	1421	0	0	1	0	0	0	0	3	7	0	1	6	0	0	0	0	2	2	20	1	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	95	"AWI"	95	1173	2049	1595	0	0	0	0	0	0	0	1	5	0	0	16	0	0	0	0	1	0	3	0	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	100	"AWI"	100	1259	2287	1759	0	0	0	0	0	0	0	1	91	0	0	6	0	0	0	1	0	0	10	1	0	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	105	"AWI"	105	1463	2382	1921	2	0	1	0	0	0	0	1	7	0	0	12	1	0	0	1	0	1	7	2	1	0	0	0
523	537	"Cumbre Unduavi"	-16.35	-68.04167	115	"AWI"	115	1991	2707	2301	0	0	0	0	0	0	0	4	3	0	0	2	1	21	1	9	0	0	9	2	0	0	0	1
