"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Cyperaceae"	"Diospyros"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Grossulariaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Maclura"	"Ostrya.Carpinus"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Scrophulariaceae"	"Solanaceae"	"Ulmus"	"Urticaceae"	"Violaceae"
804	828	"Ferndale Bog"	34.40556	-95.80833	44	"AWI"	44	1204	2087	1647	0	0	0	1	3	0	0	0	17	0	0	2	0	22	0	0	0	0	0	11	0	1	0	1	71	0	9	0	1	93	0	0	1	0	0	2	4	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	48	"AWI"	48	1352	2232	1800	0	0	1	1	2	0	0	0	31	1	0	0	0	12	0	0	0	0	0	7	0	0	0	0	52	0	8	2	0	97	0	0	2	2	0	0	2	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	52	"AWI"	52	1513	2380	1955	1	0	2	0	0	36	0	0	12	0	0	0	0	44	0	0	0	0	0	12	0	1	0	0	26	0	8	9	8	98	0	0	3	0	0	0	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	56	"AWI"	56	1684	2518	2111	1	0	1	2	2	0	1	0	29	18	0	0	0	39	0	1	0	0	0	16	0	2	0	0	22	0	25	5	2	93	0	0	3	0	0	0	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	60	"AWI"	60	1856	2653	2265	0	0	2	2	5	27	0	1	21	29	1	0	1	47	1	0	0	1	0	6	0	1	0	0	26	2	19	2	0	104	0	0	2	1	0	0	0	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	64	"AWI"	64	2040	2781	2419	0	0	2	1	1	0	1	0	21	21	2	0	0	24	0	0	0	0	0	13	1	3	0	0	17	0	11	0	2	84	0	0	1	0	0	0	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	68	"AWI"	68	2237	2908	2570	0	0	0	1	0	0	0	0	20	52	0	0	0	23	0	0	0	0	0	12	1	3	0	0	15	0	10	1	4	88	0	0	4	1	0	0	2	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	72	"AWI"	72	2426	3050	2737	0	0	0	1	1	0	1	0	13	49	0	2	0	15	0	0	0	0	0	16	0	1	0	0	21	0	13	1	5	90	1	0	2	1	0	0	2	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	76	"AWI"	76	2585	3261	2901	0	0	5	2	0	0	0	0	14	36	3	0	1	31	0	0	0	0	1	9	0	3	0	0	15	0	18	2	5	76	0	0	2	1	0	0	1	0	0
804	828	"Ferndale Bog"	34.40556	-95.80833	80	"AWI"	80	2709	3510	3069	0	0	1	2	0	0	3	0	14	24	1	0	1	41	0	0	0	0	0	6	0	0	0	0	9	0	21	3	3	94	0	0	1	0	0	0	2	0	0
