"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araucaria"	"Arecaceae"	"Asteraceae"	"Banara"	"Boraginaceae"	"Cannabaceae"	"Caprifoliaceae"	"Cecropia"	"Celtis"	"Clethra"	"Cyathea cf. C. delgadoi"	"Cyperaceae"	"Dodonaea"	"Drimys"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fuchsia"	"Gordonia"	"Griselinia"	"Ilex"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Lamanonia"	"Lamiaceae"	"Melastomataceae"	"Meliosma"	"Myrsine"	"Myrtaceae"	"Oxalidaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Rubiaceae"	"Schinus"	"Solanaceae"	"Styrax"	"Symplocos"	"Weinmannia"	"Xyridaceae"
288	294	"Serra da Boa Vista"	-27.7	-49.15	0	"AWI"	0	-118	43	-38	36	2	0	0	16	6	0	5	0	105	2	5	7	0	4	151	3	0	0	0	0	0	1	0	36	37	0	0	1	1	52	0	147	19	0	2	0	735	11	0	0	2	0	5	16	26
288	294	"Serra da Boa Vista"	-27.7	-49.15	4	"AWI"	4	74	1056	416	39	2	0	0	20	11	0	11	1	116	0	3	12	4	3	173	4	1	0	0	0	0	0	0	18	44	0	0	4	0	33	1	155	12	0	1	5	693	10	0	0	9	0	0	20	33
288	294	"Serra da Boa Vista"	-27.7	-49.15	8	"AWI"	8	339	1768	901	32	1	0	0	21	7	0	0	0	114	0	5	8	9	1	206	3	1	0	0	0	0	0	0	13	32	33	0	0	0	36	2	155	38	0	0	0	736	6	1	0	1	0	0	38	119
288	294	"Serra da Boa Vista"	-27.7	-49.15	12	"AWI"	12	679	2339	1409	40	1	0	0	29	6	0	1	0	128	1	3	9	6	5	268	5	2	0	0	0	0	1	1	25	24	0	0	3	5	26	0	142	33	0	0	4	804	10	0	0	3	2	7	36	20
288	294	"Serra da Boa Vista"	-27.7	-49.15	16	"AWI"	16	1076	2883	1901	17	2	0	0	34	7	0	0	0	62	4	0	9	5	1	233	2	0	2	0	0	0	1	2	80	59	0	0	0	1	60	5	140	40	0	0	0	823	17	0	0	2	0	20	70	32
288	294	"Serra da Boa Vista"	-27.7	-49.15	20	"AWI"	20	1503	3421	2389	24	1	0	0	22	7	0	0	1	30	1	0	4	6	1	234	0	3	1	0	0	1	2	3	116	60	0	3	0	0	30	2	99	40	0	0	6	517	24	1	0	2	0	30	192	12
288	294	"Serra da Boa Vista"	-27.7	-49.15	24	"AWI"	24	2013	3902	2879	9	0	0	0	8	5	0	0	1	13	1	0	2	6	0	114	1	6	8	0	0	1	4	2	153	86	4	0	0	0	31	4	84	61	1	0	4	601	16	0	0	0	1	42	195	4
288	294	"Serra da Boa Vista"	-27.7	-49.15	28	"AWI"	28	2544	4380	3352	1	0	0	0	1	6	0	0	0	8	1	0	1	16	1	38	0	1	6	0	0	0	6	8	184	32	3	0	0	0	15	0	108	61	1	0	0	476	17	0	0	0	3	56	691	1
288	294	"Serra da Boa Vista"	-27.7	-49.15	30	"AWI"	30	2837	4614	3595	10	0	0	0	1	2	0	2	0	15	1	0	5	15	1	52	0	3	1	0	0	3	8	23	194	69	0	3	1	0	12	0	128	41	0	0	0	258	13	0	0	0	2	54	300	3
288	294	"Serra da Boa Vista"	-27.7	-49.15	32	"AWI"	32	3245	4818	3828	5	0	0	0	2	0	0	0	0	6	0	0	2	22	1	29	0	3	1	0	0	1	10	5	138	23	0	2	0	0	21	1	130	30	0	0	0	250	5	0	0	2	2	39	367	0
288	294	"Serra da Boa Vista"	-27.7	-49.15	36	"AWI"	36	3901	5722	4663	5	0	0	0	1	0	0	2	0	4	0	0	0	1	0	24	0	1	0	0	0	1	6	9	51	13	0	0	0	0	6	2	89	23	0	0	0	167	5	0	0	0	3	0	547	0
