"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amelanchier"	"Apiaceae"	"Araceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Garryaceae"	"Indeterminable"	"Isoëtes"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Thuja"	"Tsuga"
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	22	"AWI"	22	16	842	299	41	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	1	0	0	0	0	2	0	0	1	0	15	1	20	0	0	0	47	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	32	"AWI"	32	105	1063	465	90	0	36	0	0	1	0	1	0	0	0	0	0	0	0	0	1	95	0	0	2	0	5	0	3	0	0	0	17	0	67	0	0	0	54	1	1	2	0	1	0	0	0	0	0	0	0	1	3	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	52	"AWI"	52	304	1500	809	76	0	149	1	0	0	0	1	0	0	0	1	0	0	0	0	2	193	0	0	5	0	3	0	1	0	0	0	23	0	12	0	0	1	69	5	2	0	0	1	0	1	1	0	0	0	0	0	6	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	72	"AWI"	72	588	1840	1160	78	0	106	0	0	1	0	0	0	0	0	1	0	0	0	0	0	115	1	0	4	0	4	0	2	0	0	0	32	0	17	0	0	1	33	2	1	1	0	0	0	0	0	0	0	0	0	1	3	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	90	"AWI"	90	816	2157	1481	97	0	108	1	1	0	1	1	0	0	0	0	0	0	0	0	7	302	1	1	1	0	2	2	4	0	0	0	50	0	3	0	0	0	47	2	1	1	0	1	0	1	1	1	0	1	0	1	3	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	122	"AWI"	122	1362	2634	2035	112	0	234	0	1	0	0	2	0	0	0	0	2	0	1	1	2	236	1	0	4	0	4	1	4	0	0	0	60	0	6	0	0	1	41	5	3	2	0	0	0	9	2	5	0	0	0	0	2	109
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	132	"AWI"	132	1502	2787	2206	108	4	435	0	6	0	0	5	0	0	0	5	0	0	0	0	8	184	0	0	8	0	3	1	0	0	0	4	46	0	6	0	3	0	38	3	1	3	0	0	0	2	8	7	0	0	0	0	0	151
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	142	"AWI"	142	1737	2889	2379	78	0	113	0	0	0	0	1	0	0	0	0	0	0	0	0	1	237	0	0	4	0	0	1	2	0	2	1	27	0	4	0	4	0	21	1	2	0	0	0	0	4	4	1	1	0	0	0	0	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	152	"AWI"	152	1944	3004	2547	23	0	7	1	0	0	0	2	0	0	0	0	0	0	1	0	2	299	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	13	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	162	"AWI"	162	2186	3115	2714	69	0	104	3	0	0	2	3	0	0	0	0	0	0	0	0	6	359	1	0	3	0	7	1	2	0	0	0	42	0	7	0	0	0	29	2	0	0	0	0	0	14	1	1	0	0	0	0	3	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	172	"AWI"	172	2446	3244	2896	215	0	68	1	0	0	0	2	0	0	0	0	0	0	0	0	5	5	0	0	1	0	0	0	0	0	2	0	34	0	2	0	0	0	65	4	0	1	0	0	0	1	1	6	0	0	0	0	1	190
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	182	"AWI"	182	2865	3387	3085	80	0	205	1	1	0	187	1	0	0	1	1	0	0	2	0	2	9	0	0	1	0	4	0	5	0	0	0	51	1	5	0	1	1	21	4	4	1	0	0	0	24	3	5	0	0	0	0	9	76
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	192	"AWI"	192	3068	4145	3489	117	0	297	0	1	0	69	1	0	1	0	2	0	0	0	0	5	11	2	0	2	0	3	0	2	0	0	0	57	1	3	0	1	0	46	8	0	0	0	1	0	35	3	2	1	0	0	0	2	145
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	206	"AWI"	206	3397	5062	4229	105	0	84	0	0	0	18	5	0	0	0	0	0	0	0	0	2	55	0	0	2	0	7	0	1	0	1	1	43	0	5	0	3	0	27	4	2	0	0	1	0	12	0	2	0	0	0	1	1	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	215	"AWI"	215	3846	5398	4713	52	0	237	1	0	2	7	4	0	0	0	1	0	0	1	0	9	2	0	0	0	0	2	1	0	0	0	0	64	0	2	0	2	1	44	4	0	2	0	0	0	0	2	6	0	0	0	0	0	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	235	"AWI"	235	5387	5873	5658	66	5	271	1	2	0	1	3	0	0	3	0	0	0	0	0	8	27	0	0	2	1	5	3	2	0	1	0	90	0	4	0	0	5	63	7	2	1	0	2	0	2	2	8	0	0	2	0	0	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	245	"AWI"	245	5604	6248	5902	120	0	350	1	3	2	7	1	0	0	2	0	0	0	0	0	5	4	1	0	0	0	6	0	1	0	2	2	177	0	3	0	2	0	90	9	5	0	8	0	0	1	5	17	0	0	0	0	2	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	255	"AWI"	255	5736	6568	6090	142	4	563	2	1	3	317	8	0	0	3	2	0	2	0	0	13	5	0	0	1	0	12	2	20	0	1	1	160	0	20	0	5	3	71	11	4	2	0	0	0	5	5	16	0	0	0	0	1	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	265	"AWI"	265	5852	6846	6283	80	0	225	1	0	1	6	3	0	0	0	0	0	0	0	0	12	2	0	0	0	0	10	0	2	0	0	1	84	0	9	0	0	1	55	8	3	1	11	0	0	3	1	8	0	0	0	0	0	15
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	275	"AWI"	275	5977	7058	6490	141	2	244	0	2	3	4	1	0	0	4	0	0	0	0	0	3	1	0	0	0	0	7	4	2	0	0	0	68	0	12	0	0	4	79	13	3	0	16	3	0	4	1	3	0	0	0	0	0	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	285	"AWI"	285	6146	7239	6694	95	0	236	0	1	1	67	1	0	0	2	0	0	0	0	0	9	45	0	0	2	0	3	2	5	0	0	0	0	0	9	0	1	0	19	7	1	1	0	0	0	39	9	0	0	0	0	0	4	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	296	"AWI"	296	6355	7413	6914	53	0	167	0	1	0	6	3	0	0	0	0	0	0	1	0	7	2	0	2	0	0	1	0	3	0	0	0	53	0	2	0	0	0	36	8	1	0	11	0	0	25	2	6	0	0	0	0	2	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	306	"AWI"	306	6539	7584	7114	121	2	175	0	0	0	0	3	0	0	0	0	0	0	0	0	8	5	0	0	0	0	3	2	0	0	0	0	51	0	5	0	0	0	121	8	1	0	0	0	0	1	2	0	0	0	0	0	1	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	316	"AWI"	316	6733	7727	7318	38	0	120	0	1	0	4	4	0	0	0	0	0	0	0	0	6	43	0	0	0	0	14	9	4	0	0	1	45	0	4	0	1	2	45	10	1	0	0	0	0	18	2	0	1	2	0	0	2	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	326	"AWI"	326	7018	7831	7502	44	0	236	0	0	0	6	1	0	0	0	1	0	0	1	0	7	10	0	0	0	1	14	9	1	0	1	0	45	0	1	0	1	0	47	2	1	2	6	0	0	1	4	0	0	0	0	1	0	5
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	340	"AWI"	340	7257	8068	7721	40	0	175	2	0	0	11	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	3	0	0	2	0	1	54	0	9	0	5	0	40	22	4	0	0	0	0	6	3	0	0	0	0	0	3	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	350	"AWI"	350	7367	8278	7857	57	2	178	0	0	1	1	4	0	0	0	0	0	0	0	0	11	77	0	0	0	0	6	39	0	0	0	0	43	0	0	0	0	2	76	16	2	0	0	0	1	4	1	0	0	0	0	0	5	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	390	"AWI"	390	7835	8892	8364	47	6	282	0	0	2	16	4	0	0	0	1	0	0	0	1	16	4	0	0	0	0	4	44	1	0	0	0	59	0	5	0	0	1	91	14	0	1	0	0	0	7	0	0	0	0	0	0	2	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	410	"AWI"	410	8082	9154	8631	14	0	177	0	0	1	12	0	0	0	0	0	0	0	4	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	14	6	2	0	0	0	1	6	1	0	1	0	0	1	3	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	450	"AWI"	450	8614	9654	9154	19	0	415	1	0	1	6	6	0	0	0	1	0	0	2	0	18	4	0	0	1	0	3	45	0	0	0	0	0	0	2	0	3	1	74	23	0	0	0	1	0	0	7	0	0	0	0	0	0	0
1114	1148	"Indian Prairie Fen"	44.63333	-122.575	470	"AWI"	470	8930	9856	9417	71	4	199	1	0	1	0	3	0	0	0	1	0	0	0	1	4	0	2	0	0	0	1	7	1	0	0	0	59	0	6	0	0	0	71	24	0	2	0	0	0	1	1	0	0	0	0	1	0	7
