"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
660	678	"Lac Demain"	62.05	-118.7	0	"AWI"	0	-116	53	-32	65	0	0	1	0	90	0	0	1	0	4	0	1	0	2	0	0	5	0	98	0	2	0	0	0	0	5	0	0
660	678	"Lac Demain"	62.05	-118.7	10	"AWI"	10	141	1025	496	60	1	0	1	0	85	0	0	0	0	10	0	2	0	0	0	0	0	250	101	0	0	0	1	0	0	5	0	0
660	678	"Lac Demain"	62.05	-118.7	20	"AWI"	20	546	1635	1067	68	0	0	0	0	98	0	0	0	1	10	0	0	0	0	0	0	4	0	96	0	8	0	0	0	0	12	0	0
660	678	"Lac Demain"	62.05	-118.7	30	"AWI"	30	1050	2159	1636	71	0	0	0	0	80	0	0	0	1	1	0	0	0	0	0	2	7	210	60	0	5	0	0	0	0	10	0	0
660	678	"Lac Demain"	62.05	-118.7	40	"AWI"	40	1652	2576	2203	90	0	1	0	0	83	0	0	0	0	3	1	2	0	1	0	0	2	0	92	0	1	0	1	0	0	5	1	0
660	678	"Lac Demain"	62.05	-118.7	50	"AWI"	50	2449	2981	2712	59	0	0	3	0	84	0	0	0	0	3	0	0	0	0	0	0	9	203	80	0	3	0	1	0	0	5	0	0
660	678	"Lac Demain"	62.05	-118.7	60	"AWI"	60	2791	3538	3149	71	0	0	1	0	89	0	0	0	0	0	0	0	0	2	0	0	2	0	87	0	2	0	0	0	0	7	0	0
660	678	"Lac Demain"	62.05	-118.7	70	"AWI"	70	3291	3970	3587	85	1	0	0	0	95	0	0	0	1	2	0	0	1	1	0	2	3	0	84	0	1	0	0	0	0	7	0	0
660	678	"Lac Demain"	62.05	-118.7	80	"AWI"	80	3893	5470	4547	76	0	0	1	0	86	0	0	0	0	2	0	1	0	2	0	0	9	0	94	0	1	0	0	0	0	8	0	0
660	678	"Lac Demain"	62.05	-118.7	90	"AWI"	90	4849	6628	5804	107	0	0	9	0	80	0	0	0	0	0	0	1	0	2	0	1	5	242	50	0	2	0	0	0	0	10	0	0
660	678	"Lac Demain"	62.05	-118.7	100	"AWI"	100	6381	7376	7022	79	0	1	0	0	83	0	0	0	0	2	2	0	0	0	1	2	13	0	35	0	0	0	0	1	0	7	0	0
660	678	"Lac Demain"	62.05	-118.7	110	"AWI"	110	7264	8150	7692	65	0	0	1	0	100	0	0	0	0	3	1	0	0	1	0	2	10	0	10	0	5	0	0	0	0	18	0	0
660	678	"Lac Demain"	62.05	-118.7	120	"AWI"	120	7815	8728	8231	22	0	0	6	0	120	0	0	0	0	2	2	0	0	1	0	0	10	0	7	0	3	0	2	2	0	0	1	0
660	678	"Lac Demain"	62.05	-118.7	130	"AWI"	130	8295	9400	8770	9	1	0	4	0	110	0	0	0	3	13	2	0	1	3	0	0	1	340	10	0	4	0	3	0	0	9	1	0
660	678	"Lac Demain"	62.05	-118.7	140	"AWI"	140	8707	10103	9328	0	0	0	14	0	137	0	0	0	0	5	0	0	0	3	0	0	3	341	6	0	11	1	5	0	0	20	0	2
660	678	"Lac Demain"	62.05	-118.7	150	"AWI"	150	9149	10713	9891	6	0	1	6	0	203	2	0	0	0	15	0	0	0	4	0	0	0	201	2	0	4	0	0	0	0	15	0	0
660	678	"Lac Demain"	62.05	-118.7	160	"AWI"	160	9668	11285	10457	4	0	0	2	0	403	0	0	0	0	10	0	0	0	2	0	0	7	84	0	1	0	0	9	0	0	22	0	0
660	678	"Lac Demain"	62.05	-118.7	170	"AWI"	170	10226	11815	11024	6	0	0	15	0	400	0	0	0	1	12	0	0	0	5	0	0	3	46	2	0	6	0	1	0	0	12	0	0
660	678	"Lac Demain"	62.05	-118.7	180	"AWI"	180	10775	12332	11594	0	0	0	12	0	436	0	2	0	1	12	2	0	0	2	0	0	10	26	5	0	6	0	9	0	0	22	1	0
660	678	"Lac Demain"	62.05	-118.7	190	"AWI"	190	11419	12786	12165	6	0	0	13	0	0	0	0	0	0	23	6	0	0	0	0	0	1	0	2	0	9	0	3	3	0	30	0	0
660	678	"Lac Demain"	62.05	-118.7	200	"AWI"	200	11983	13512	12770	0	0	0	80	0	0	0	2	0	0	10	0	0	0	4	0	0	0	0	2	0	8	0	4	0	0	12	0	0
660	678	"Lac Demain"	62.05	-118.7	210	"AWI"	210	12453	14468	13395	0	3	0	88	0	0	0	0	0	0	30	0	1	1	3	0	0	0	0	0	0	23	0	1	1	0	16	0	0
660	678	"Lac Demain"	62.05	-118.7	220	"AWI"	220	12979	15364	14045	0	2	0	84	0	0	0	0	0	0	12	0	0	1	3	0	0	0	0	0	5	24	0	0	0	0	47	0	0
