"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Bursera"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cupressus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Liliaceae"	"Liquidambar"	"Malvaceae"	"Melastomataceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Ulmus"
349	357	"Chalco Lake"	19.5	-99	10	"AWI"	10	-86	144	16	2	13	137	0	0	21	0	6	0	0	10	0	1	89	0	0	1	0	0	0	5	0	0	138	0	3	0	0	25	2	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	25	"AWI"	25	-54	409	114	5	10	28	1	4	0	0	0	0	0	3	0	0	114	0	0	0	0	0	0	0	0	0	204	0	5	0	0	14	16	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	35	"AWI"	35	22	505	187	5	21	22	0	3	0	0	0	0	0	0	0	3	148	0	0	0	0	0	0	0	0	0	228	0	6	0	0	22	22	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	45	"AWI"	45	89	596	265	6	31	31	0	3	0	0	0	0	0	1	0	0	56	0	0	0	0	0	0	0	0	0	267	0	20	0	0	49	3	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	55	"AWI"	55	133	731	339	10	24	16	0	7	0	1	0	0	0	0	0	3	21	0	0	1	0	0	0	0	0	0	250	0	7	0	0	60	3	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	65	"AWI"	65	1546	2500	2207	4	14	24	0	0	0	0	0	0	0	1	0	4	66	0	0	0	0	1	0	0	0	0	133	0	5	0	0	24	14	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	75	"AWI"	75	2847	4557	4244	5	17	41	0	4	5	0	0	0	0	2	0	5	145	0	0	0	0	0	0	0	0	3	215	0	20	0	0	37	7	1	0	0	2	0
349	357	"Chalco Lake"	19.5	-99	85	"AWI"	85	4010	6439	6018	5	30	34	0	4	0	0	0	1	0	0	0	0	168	0	0	0	0	0	0	0	0	1	155	0	10	0	0	41	9	1	2	0	0	0
349	357	"Chalco Lake"	19.5	-99	95	"AWI"	95	4257	6561	6132	10	34	50	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	230	0	28	0	0	61	2	1	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	105	"AWI"	105	4628	6761	6235	5	78	3	0	8	0	0	0	0	0	0	0	1	8	0	0	1	0	0	1	0	0	0	294	0	31	0	0	46	4	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	115	"AWI"	115	4911	6978	6329	16	75	4	0	5	0	0	0	0	0	0	0	5	12	0	0	3	0	0	0	0	0	2	234	0	29	5	0	78	0	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	125	"AWI"	125	5194	7068	6419	10	65	5	0	10	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	1	143	0	42	0	0	79	1	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	135	"AWI"	135	5434	7191	6509	7	76	9	0	13	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	198	0	45	0	0	116	6	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	145	"AWI"	145	5694	7317	6601	12	47	2	0	12	0	0	0	0	0	0	0	3	8	0	0	0	0	0	1	0	1	1	234	0	37	0	0	98	2	0	0	0	0	1
349	357	"Chalco Lake"	19.5	-99	163	"AWI"	163	6156	7528	6777	13	97	9	0	26	0	0	1	0	0	0	0	7	6	0	0	2	0	0	0	0	0	0	294	0	28	0	0	188	1	0	0	0	0	2
349	357	"Chalco Lake"	19.5	-99	173	"AWI"	173	6433	7787	7021	13	65	17	0	16	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	1	197	0	25	0	0	123	1	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	183	"AWI"	183	6595	8444	7381	16	66	6	0	20	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	176	0	50	0	0	121	3	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	193	"AWI"	193	6697	9305	7702	12	61	4	0	11	0	0	0	0	0	0	0	1	11	0	0	1	0	0	0	0	0	0	242	0	37	0	0	112	3	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	203	"AWI"	203	7071	9668	8163	12	34	4	0	4	0	0	4	0	0	0	0	0	14	0	0	2	0	0	0	0	0	0	288	0	22	0	0	92	4	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	213	"AWI"	213	7291	10037	8706	12	45	4	0	14	0	0	0	0	0	1	0	3	9	0	0	2	0	0	0	0	0	1	284	0	35	0	0	95	5	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	223	"AWI"	223	7427	10669	9185	21	29	5	0	14	0	0	3	0	0	0	0	0	7	0	0	7	1	0	0	0	0	0	363	0	36	0	0	146	9	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	233	"AWI"	233	8363	10865	9603	6	22	5	0	17	0	1	0	0	0	0	0	1	9	0	0	1	0	0	0	0	0	0	246	0	37	0	0	112	1	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	243	"AWI"	243	9058	11099	10046	10	20	5	0	8	0	1	2	0	0	0	0	5	23	0	0	1	0	0	1	0	0	0	273	1	40	0	1	89	1	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	253	"AWI"	253	9516	11504	10497	16	42	7	1	9	0	2	0	0	0	0	0	0	26	0	0	2	0	0	0	0	0	0	274	0	47	0	0	105	2	0	0	0	0	1
349	357	"Chalco Lake"	19.5	-99	261	"AWI"	261	9925	11785	10861	8	17	11	0	19	0	1	0	0	0	3	0	7	93	0	0	5	1	0	1	0	0	0	280	0	22	1	0	63	1	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	271	"AWI"	271	10198	12503	11293	3	5	9	0	1	0	0	0	0	0	1	0	9	47	0	0	1	0	1	0	0	0	4	329	0	7	0	0	17	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	281	"AWI"	281	10452	13383	11689	0	99	13	0	18	0	0	2	0	0	2	0	1	85	0	0	1	3	1	0	0	0	0	148	1	40	0	0	49	0	2	0	0	0	1
349	357	"Chalco Lake"	19.5	-99	291	"AWI"	291	10850	13628	12157	0	33	6	0	3	0	0	0	0	0	3	0	5	32	0	0	0	3	1	1	0	0	1	285	0	10	0	1	10	0	1	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	301	"AWI"	301	11085	13997	12606	1	83	16	0	18	21	0	5	0	0	0	0	14	79	0	0	0	0	0	0	0	0	0	150	1	38	0	0	44	0	0	0	0	0	3
349	357	"Chalco Lake"	19.5	-99	316	"AWI"	316	11947	14464	13233	1	54	5	0	11	0	0	3	0	0	1	0	9	82	0	0	0	0	1	1	0	0	0	178	1	17	0	0	26	0	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	321	"AWI"	321	12288	14552	13449	1	79	8	1	25	16	0	5	0	0	4	0	24	85	0	0	0	0	0	1	0	0	10	194	0	28	0	0	36	0	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	368	"AWI"	368	14444	16138	15202	0	13	2	1	5	0	0	1	0	0	1	0	11	104	0	0	1	0	0	0	0	0	1	110	0	12	16	0	18	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	378	"AWI"	378	14606	16452	15478	0	35	4	1	16	0	0	1	0	0	1	0	16	69	0	0	0	0	0	0	0	0	2	135	0	8	42	0	35	0	1	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	398	"AWI"	398	14981	17170	16001	0	10	2	0	7	0	0	4	0	0	1	0	15	84	0	2	0	0	0	0	0	0	1	124	0	8	2	0	23	0	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	408	"AWI"	408	15171	17371	16295	0	4	3	0	7	0	0	1	0	0	0	0	12	39	0	1	6	0	0	0	0	0	4	73	1	7	5	0	10	0	0	0	0	0	1
349	357	"Chalco Lake"	19.5	-99	418	"AWI"	418	15308	17735	16575	0	8	0	2	1	36	0	4	0	0	0	0	14	76	0	0	7	0	0	0	0	0	11	108	1	1	4	0	11	0	6	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	428	"AWI"	428	15579	17872	16793	0	6	6	0	5	36	0	5	0	0	14	0	5	138	0	6	3	0	0	0	0	0	18	109	0	4	0	0	20	0	2	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	438	"AWI"	438	15767	18075	17017	0	4	0	0	0	23	0	2	0	0	0	0	5	60	0	0	2	0	0	0	0	0	4	29	0	3	0	0	4	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	448	"AWI"	448	15910	18360	17228	0	9	1	0	1	0	0	3	0	0	1	0	1	7	0	0	3	2	0	0	0	0	1	65	0	2	0	0	12	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	458	"AWI"	458	16107	18499	17389	0	11	3	4	5	0	0	1	0	0	4	0	18	97	0	0	5	0	0	0	0	0	0	130	0	17	0	0	19	0	3	1	0	0	0
349	357	"Chalco Lake"	19.5	-99	468	"AWI"	468	16250	18671	17554	0	9	1	0	4	0	0	0	0	0	1	0	8	49	0	0	1	0	0	0	0	0	0	114	0	6	0	0	12	0	0	0	0	3	0
349	357	"Chalco Lake"	19.5	-99	478	"AWI"	478	16409	18863	17716	0	2	1	0	1	0	0	0	0	0	1	0	6	16	0	0	2	0	0	0	0	0	0	17	0	3	2	0	1	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	488	"AWI"	488	16603	18998	17877	0	12	3	2	4	0	0	0	0	0	0	0	16	26	0	0	10	0	0	0	0	0	1	88	0	3	0	0	7	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	498	"AWI"	498	16717	19182	18045	0	9	2	0	3	0	0	2	0	1	1	0	3	49	0	0	0	0	0	0	0	0	0	46	0	7	0	0	15	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	508	"AWI"	508	16917	19328	18212	1	8	2	0	5	0	0	0	0	0	0	0	8	35	0	0	4	0	0	0	0	0	1	86	0	8	0	0	15	0	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	518	"AWI"	518	17122	19447	18386	0	18	3	0	7	0	0	2	0	0	0	0	19	143	0	0	0	0	0	0	0	0	2	80	0	8	1	0	8	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	528	"AWI"	528	17265	19613	18563	0	20	2	0	1	0	0	2	0	0	0	0	20	124	0	0	1	0	0	0	0	0	1	89	0	17	0	0	14	0	2	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	538	"AWI"	538	17494	19731	18729	0	34	1	1	4	0	0	1	0	0	0	0	29	59	0	0	2	0	0	0	0	0	0	88	0	36	0	0	34	0	3	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	548	"AWI"	548	17660	19844	18896	1	46	3	1	10	0	0	0	0	0	2	0	30	43	0	0	2	0	1	0	0	0	0	162	0	23	0	0	34	0	2	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	558	"AWI"	558	17811	20008	19068	0	49	4	1	4	0	0	3	0	0	0	0	39	34	0	0	0	0	7	0	0	0	2	81	0	39	0	0	26	2	0	0	2	2	0
349	357	"Chalco Lake"	19.5	-99	563	"AWI"	563	17948	20041	19154	1	27	2	1	10	6	0	2	0	0	0	0	25	22	0	0	0	0	20	0	0	0	0	59	0	23	0	0	15	0	1	0	1	0	0
349	357	"Chalco Lake"	19.5	-99	568	"AWI"	568	18076	20085	19234	1	46	3	0	18	0	0	5	1	0	0	0	15	35	0	0	1	0	0	0	0	0	0	157	0	41	0	0	35	0	0	0	1	0	0
349	357	"Chalco Lake"	19.5	-99	573	"AWI"	573	18169	20134	19318	0	10	1	0	1	0	0	5	0	0	0	0	4	9	0	0	0	0	0	0	0	0	1	35	0	4	0	0	7	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	618	"AWI"	618	19246	20614	20050	0	28	7	0	6	0	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	95	1	25	0	0	16	0	1	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	628	"AWI"	628	19582	20685	20192	0	40	36	0	7	0	0	2	0	0	0	0	21	3	0	0	0	0	0	0	0	0	0	100	0	31	0	0	36	0	3	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	633	"AWI"	633	19716	20743	20268	0	27	9	3	3	0	0	0	0	0	0	0	4	21	0	0	0	0	0	0	0	2	0	68	0	27	0	0	24	0	4	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	638	"AWI"	638	19804	20808	20349	0	6	0	0	1	0	0	0	0	0	1	0	12	31	0	0	0	0	0	0	0	7	0	25	0	13	0	0	8	0	2	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	648	"AWI"	648	20023	20934	20481	0	6	1	3	0	0	0	4	0	0	0	0	11	0	151	0	0	0	0	0	0	3	0	5	0	4	0	0	19	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	658	"AWI"	658	20195	21086	20603	0	15	6	3	3	0	0	1	0	0	0	1	4	13	1	0	1	0	0	0	0	0	0	51	0	16	0	0	15	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	663	"AWI"	663	20247	21192	20670	3	19	7	3	12	0	0	0	0	0	0	0	11	43	0	0	1	0	0	1	0	0	0	119	0	23	0	0	29	1	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	668	"AWI"	668	20286	21299	20729	0	1	1	1	4	0	0	0	3	0	0	0	4	77	0	0	1	0	0	0	0	0	0	24	0	4	0	0	2	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	673	"AWI"	673	20355	21391	20809	0	2	2	0	3	0	0	0	0	0	0	0	1	26	0	0	1	1	0	0	0	0	0	36	0	3	0	0	4	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	678	"AWI"	678	20412	21489	20898	2	14	4	0	8	0	0	0	1	1	0	0	3	66	0	0	1	0	0	0	0	0	0	30	0	8	0	0	15	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	683	"AWI"	683	20459	21643	20980	1	20	7	1	3	0	0	0	0	0	0	0	3	17	0	0	0	0	1	0	0	0	2	54	0	18	0	0	12	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	688	"AWI"	688	20501	21835	21059	0	4	5	0	3	0	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	34	0	11	0	0	16	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	693	"AWI"	693	20538	22041	21136	2	20	5	1	15	10	0	0	0	0	0	0	3	8	0	0	1	0	0	0	0	0	0	146	0	18	2	0	35	2	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	698	"AWI"	698	20579	22265	21217	2	13	3	0	8	8	0	0	0	0	0	0	7	21	1	0	0	0	0	0	0	0	0	176	0	7	0	0	28	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	703	"AWI"	703	20653	22328	21304	1	3	0	7	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	46	0	4	1	0	4	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	708	"AWI"	708	20727	22399	21405	0	5	3	10	3	0	0	0	0	0	1	0	4	27	0	0	0	0	0	1	0	0	0	55	0	3	0	0	14	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	713	"AWI"	713	20780	22496	21500	0	4	0	1	1	0	0	0	0	0	0	0	2	64	0	0	0	0	0	0	0	0	0	26	0	4	0	0	9	0	0	0	0	0	1
349	357	"Chalco Lake"	19.5	-99	718	"AWI"	718	20820	22618	21596	0	6	1	1	4	0	0	0	0	0	1	0	1	147	0	0	0	0	1	0	0	0	0	41	0	16	0	0	12	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	728	"AWI"	728	20941	22882	21766	1	13	3	3	1	0	0	0	1	0	0	0	11	212	0	0	0	0	0	0	0	0	0	58	0	7	0	0	22	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	738	"AWI"	738	21115	23054	21957	0	16	3	1	4	0	0	5	0	0	0	1	7	150	0	0	0	0	0	0	0	0	0	27	0	15	0	0	7	0	1	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	748	"AWI"	748	21227	23306	22145	0	7	5	3	2	0	0	2	0	0	0	0	8	199	1	0	1	0	0	0	0	0	0	26	0	10	0	0	9	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	757	"AWI"	757	21369	23502	22299	0	5	3	0	1	0	0	0	0	0	0	0	9	240	0	0	0	0	0	0	0	0	0	49	0	8	1	0	11	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	762	"AWI"	762	21479	23559	22381	0	9	3	0	2	0	0	4	0	0	1	0	8	227	0	0	0	0	0	0	0	0	0	56	0	15	0	0	13	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	767	"AWI"	767	21558	23636	22463	0	2	0	1	2	0	0	2	0	0	0	0	4	188	0	0	0	0	0	0	0	0	1	22	0	12	0	0	3	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	771	"AWI"	771	21619	23737	22533	0	6	0	0	1	0	0	2	0	0	0	0	9	165	0	0	0	0	0	0	0	0	0	24	0	12	0	0	3	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	777	"AWI"	777	21693	23872	22645	0	7	2	0	1	0	0	1	0	0	1	0	5	131	0	0	0	0	0	0	0	0	0	54	0	8	0	0	14	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	782	"AWI"	782	21761	23994	22734	0	15	2	0	2	0	0	0	0	0	0	0	16	183	0	0	0	0	0	0	0	0	0	45	0	8	0	0	14	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	787	"AWI"	787	21913	24075	22813	1	7	1	0	3	0	0	0	0	0	0	0	3	192	0	0	0	0	0	0	0	0	0	53	0	11	0	0	8	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	792	"AWI"	792	22032	24152	22907	0	6	3	0	5	0	0	0	0	0	0	0	11	152	0	0	0	0	0	0	0	0	0	47	0	15	0	0	8	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	797	"AWI"	797	22133	24243	23005	0	14	4	1	2	0	0	0	0	0	0	1	5	157	0	0	0	0	0	0	0	0	0	56	0	5	12	0	20	0	0	0	0	1	0
349	357	"Chalco Lake"	19.5	-99	802	"AWI"	802	22219	24373	23103	0	11	5	2	1	0	0	0	0	0	0	0	11	66	0	0	0	1	0	0	0	0	0	54	0	5	0	0	14	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	807	"AWI"	807	22282	24522	23191	0	7	2	0	0	0	0	1	0	0	0	0	7	20	0	0	0	0	0	0	0	0	0	43	0	11	0	0	16	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	812	"AWI"	812	22393	24654	23310	0	9	4	0	1	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	21	0	24	0	0	13	0	0	0	1	0	0
349	357	"Chalco Lake"	19.5	-99	817	"AWI"	817	22491	24832	23452	0	10	4	0	0	0	0	2	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	27	0	17	0	0	6	0	0	0	0	0	0
349	357	"Chalco Lake"	19.5	-99	822	"AWI"	822	22557	25019	23597	1	5	4	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	5	0	0	0	0	45	0	4	0	0	9	0	0	0	0	0	0
