"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
1102	1135	"Humber Pond 3"	43.64	-79.48	1	"AWI"	1	-130	31	-40	0	0	0	4	0	1	0	0	15	0	0	2	0	0	1	0	1	5	7	0	0	2	0	16	0	0	0	0	0	4	1	15	0	0	0	0	8	22	1	0	0	0	0	0	0	0	0	0	6	2	0
1102	1135	"Humber Pond 3"	43.64	-79.48	10	"AWI"	10	-118	44	-27	0	0	0	3	0	2	0	0	16	3	0	0	0	0	1	0	0	8	7	0	0	5	0	1	0	0	0	0	0	6	0	13	0	0	0	0	7	33	2	1	0	0	6	0	0	0	0	1	3	5	0
1102	1135	"Humber Pond 3"	43.64	-79.48	20	"AWI"	20	-105	63	-14	0	0	5	5	1	0	0	0	15	0	0	0	0	0	1	0	0	6	8	0	0	1	28	1	0	0	0	0	0	0	0	13	1	2	0	0	9	24	0	0	0	0	0	0	0	0	0	2	0	6	0
1102	1135	"Humber Pond 3"	43.64	-79.48	30	"AWI"	30	-97	86	-2	0	0	4	3	0	1	0	3	5	1	0	0	0	0	0	0	3	0	12	0	4	1	14	10	0	0	2	1	1	6	1	14	0	1	0	0	6	31	0	0	0	2	1	0	0	0	1	0	1	7	1
1102	1135	"Humber Pond 3"	43.64	-79.48	40	"AWI"	40	-89	113	10	0	0	1	4	1	1	0	1	8	0	0	3	0	0	0	0	2	15	9	0	0	1	0	14	0	0	0	0	0	0	1	12	0	0	0	1	7	36	0	1	0	0	2	0	0	0	0	3	0	2	1
1102	1135	"Humber Pond 3"	43.64	-79.48	50	"AWI"	50	-82	143	22	0	0	1	4	0	1	0	0	7	0	0	1	0	0	0	0	2	41	16	0	0	0	0	9	0	0	0	0	0	0	0	15	0	2	0	0	2	11	0	0	1	1	7	0	0	0	0	0	0	3	0
1102	1135	"Humber Pond 3"	43.64	-79.48	60	"AWI"	60	-77	175	34	0	0	3	2	0	2	0	1	10	0	0	1	0	0	0	0	0	11	4	0	1	1	0	13	0	0	0	0	0	10	2	14	0	2	0	0	3	24	0	1	0	0	1	0	1	1	0	0	4	11	0
1102	1135	"Humber Pond 3"	43.64	-79.48	70	"AWI"	70	-72	208	46	0	0	1	5	1	2	0	0	13	0	0	2	0	0	2	1	1	10	3	0	2	0	0	15	0	0	0	0	0	0	1	11	1	0	0	0	5	36	0	0	0	1	6	0	0	0	0	1	1	9	0
1102	1135	"Humber Pond 3"	43.64	-79.48	80	"AWI"	80	-56	221	59	1	0	1	1	0	1	0	0	3	1	0	0	0	0	2	0	2	7	10	0	0	2	0	26	0	0	0	0	0	1	0	3	0	0	0	0	3	10	1	0	0	0	2	0	0	0	0	1	5	5	0
1102	1135	"Humber Pond 3"	43.64	-79.48	90	"AWI"	90	-45	233	73	0	0	2	4	0	0	0	0	15	1	0	0	0	1	0	0	0	2	6	0	8	0	0	17	0	0	0	0	0	1	0	22	1	0	0	0	5	29	0	0	0	1	2	0	0	1	0	1	0	19	0
