"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Cornus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Isoëtes"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"
1547	1587	"Lake BN7"	55.00917	-73.51667	0	"AWI"	0	-111	60	-33	0	0	78	1	4	0	113	0	0	0	3	3	3	0	1	0	3	3	0	1	418.5	0	6	0	0	0	0	0	1	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	2	"AWI"	2	7	786	357	0	0	52	1	3	0	47	0	0	0	4	2	2	0	0	0	2	0	1	0	396.5	64.5	1	0	1	0	0	0	1	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	4	"AWI"	4	58	1594	749	0	1	68	4	5	12	77	0	0	0	4	6	5	0	0	1	8	1	0	0	313	51	1	1	2	0	0	0	1	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	6	"AWI"	6	406	2062	1145	1	0	69	2	2	11	80	0	0	0	2	5	5	1	0	0	1	0	0	0	387.5	55.5	5	0	1	0	0	0	0	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	8	"AWI"	8	866	2220	1573	0	0	47	0	3	0	80	0	0	0	6	4	6	0	0	1	7	1	0	0	276	40.5	1	3	2	0	0	0	1	0	1	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	10	"AWI"	10	1182	2522	2016	0	0	50	0	2	0	58	0	0	0	3	5	3	0	1	1	2	0	0	0	395	48	3	0	2	0	0	1	1	0	0	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	12	"AWI"	12	1757	2621	2257	0	0	0	1	1	0	66	0	0	0	2	5	2	0	0	0	2	0	1	0	374	35	0	0	1	0	0	0	2	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	14	"AWI"	14	2050	2906	2514	0	0	112	1	2	0	63	0	0	0	2	9	2	0	0	0	2	0	0	0	325.5	0	4	1	2	0	0	0	0	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	16	"AWI"	16	2200	3258	2713	0	0	100	0	2	0	71	0	0	0	2	5	1	0	1	3	2	1	0	0	328.5	23	2	1	0	0	0	0	1	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	20	"AWI"	20	2398	3774	3030	0	0	127	0	3	0	84	0	0	0	3	4	8	0	1	1	6	1	0	0	330	0	1	0	1	0	0	0	1	0	0	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	24	"AWI"	24	2641	4054	3358	0	0	129	2	1	0	98	0	0	0	0	4	6	0	2	0	5	0	0	0	253	28	1	2	1	0	0	0	2	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	28	"AWI"	28	2943	4331	3681	0	1	129	0	5	0	75	0	1	0	2	2	0	0	0	0	0	0	0	1	285.5	27	0	1	1	0	0	1	4	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	32	"AWI"	32	3313	4573	4013	0	0	130	0	3	4	101	0	0	0	0	3	2	0	0	1	4	0	0	0	285.5	33	4	0	0	0	0	0	1	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	36	"AWI"	36	3713	4779	4345	0	0	119	0	1	0	127	0	0	0	1	1	1	0	2	1	0	1	0	0	257.5	18	2	0	0	0	0	0	3	0	0	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	40	"AWI"	40	4220	4981	4633	0	0	87	1	4	4	130	0	0	0	2	2	1	0	0	0	1	1	0	0	301.5	18.5	1	0	0	0	0	0	1	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	44	"AWI"	44	4422	5464	4902	0	0	183	1	4	0	97	0	0	0	0	2	2	0	0	0	1	2	0	0	234.5	22	2	1	1	0	0	0	2	0	0	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	48	"AWI"	48	4640	5822	5192	0	0	0	2	3	3	89	0	0	0	0	2	3	0	0	0	4	1	0	0	219	27	4	0	2	0	0	0	2	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	52	"AWI"	52	4868	6141	5482	0	1	150	0	3	3	129	0	0	0	2	3	1	0	1	0	0	1	0	0	222	12.5	0	0	2	0	0	0	1	0	0	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	56	"AWI"	56	5102	6435	5782	0	0	352	0	2	0	280	0	0	0	1	6	2	0	1	0	1	1	0	0	350	26	5	3	1	0	0	0	4	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	60	"AWI"	60	5344	6671	6089	0	0	324	0	6	5	303	0	0	0	0	4	0	0	1	0	6	1	0	1	421	27.5	3	1	2	0	1	0	1	0	1	0	1
1547	1587	"Lake BN7"	55.00917	-73.51667	64	"AWI"	64	5717	6816	6381	0	1	433	1	6	0	200	0	0	0	2	12	3	0	0	1	7	0	0	0	414.5	23.5	2	1	1	0	0	0	7	1	1	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	68	"AWI"	68	6236	6971	6644	0	0	329	1	13	0	250	0	0	0	6	15	2	0	0	1	13	0	0	0	393	29.5	12	5	2	0	0	0	1	0	0	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	72	"AWI"	72	6497	7175	6857	0	0	383	3	6	0	213	0	0	0	11	22	1	0	0	0	11	2	0	1	431	27	2	1	0	0	0	0	2	0	0	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	76	"AWI"	76	6623	7434	6997	0	0	125	1	6	0	137	1	0	0	10	15	1	0	2	0	12	1	0	0	224.5	18.5	5	1	1	0	0	0	2	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	80	"AWI"	80	6734	7662	7150	0	0	0	2	9	0	148	0	0	0	12	21	5	0	1	6	50	0	0	0	202	11.5	10	3	0	0	0	1	4	0	1	1	0
1547	1587	"Lake BN7"	55.00917	-73.51667	84	"AWI"	84	6873	7816	7307	0	0	135	2	8	0	131	0	0	1	14	24	4	0	1	13	38	0	0	0	192.5	35.5	13	5	1	0	0	0	5	0	0	0	0
1547	1587	"Lake BN7"	55.00917	-73.51667	88	"AWI"	88	7030	8013	7482	0	0	101	5	10	9	125	0	0	0	15	68	9	0	2	1	19	0	0	0	210.5	43	1	5	4	1	2	0	8	0	0	2	0
