"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Diospyros"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes lacustris"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
309	316	"Browns Pond"	38.15472	-79.61639	0	"AWI"	0	-114	50	-37	0	0	0	0	0	0	0	7	0	0	14	0	4	12	0	2	0	9	0	0	0	2	0	0	2	0	3	0	0	1	1	0	2	0	0	0	1	2	0	0	1	208	0	0	0	10	1	0	0	1	0	0
309	316	"Browns Pond"	38.15472	-79.61639	10	"AWI"	10	3	2190	510	0	0	0	0	0	0	0	21	0	0	12	0	24	71	0	1	0	5	0	1	2	2	0	0	0	0	0	0	0	0	0	0	5	0	43	0	0	0	0	1	0	208	0	0	0	24	0	0	0	1	0	0
309	316	"Browns Pond"	38.15472	-79.61639	20	"AWI"	20	260	2958	1158	0	0	0	0	1	0	0	12	2	0	11	0	9	60	0	1	0	12	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	33	0	1	2	0	0	1	219	0	0	0	26	0	0	0	3	2	0
309	316	"Browns Pond"	38.15472	-79.61639	30	"AWI"	30	639	3794	1854	0	0	0	0	1	0	0	7	1	0	12	0	11	111	3	0	0	6	0	0	0	1	0	1	0	0	0	2	0	1	1	0	3	0	0	0	3	0	0	0	5	191	0	0	0	39	0	2	1	1	1	0
309	316	"Browns Pond"	38.15472	-79.61639	40	"AWI"	40	1133	4691	2526	1	0	0	0	1	0	0	8	0	0	15	0	20	33	0	1	0	11	0	1	1	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	6	0	1	1	168	0	0	0	17	0	1	0	1	0	0
309	316	"Browns Pond"	38.15472	-79.61639	50	"AWI"	50	1585	5184	3234	2	0	0	1	0	0	0	9	0	0	14	0	9	34	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	37	0	0	6	0	4	6	191	0	0	0	13	0	1	1	0	0	1
309	316	"Browns Pond"	38.15472	-79.61639	60	"AWI"	60	2168	5759	3950	0	0	0	0	0	0	0	14	0	0	17	0	4	43	0	0	0	10	0	0	0	1	0	1	0	0	0	0	0	1	2	0	5	0	0	0	0	8	0	1	0	194	0	0	0	23	0	0	0	0	0	0
309	316	"Browns Pond"	38.15472	-79.61639	70	"AWI"	70	2701	6398	4723	0	0	0	0	0	0	0	4	0	0	29	0	0	66	0	2	0	1	0	0	0	4	0	1	0	0	0	0	0	0	8	0	2	0	49	0	3	3	0	4	3	225	0	0	0	61	0	1	1	5	0	0
309	316	"Browns Pond"	38.15472	-79.61639	80	"AWI"	80	3416	6950	5393	0	0	0	0	0	0	0	9	0	0	25	0	1	58	0	0	0	2	0	1	1	3	0	4	0	0	0	0	0	0	9	0	1	0	0	1	0	22	0	8	2	226	0	0	0	87	0	2	1	11	0	0
309	316	"Browns Pond"	38.15472	-79.61639	90	"AWI"	90	4174	7452	6105	0	0	0	0	0	0	0	8	0	0	29	0	1	19	0	1	0	1	2	0	0	8	0	3	0	0	0	0	0	0	5	0	1	0	0	1	0	13	0	6	2	251	0	0	0	38	0	0	1	16	2	0
