"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1115	1149	"Inglesby Lake"	44.48333	-77.05	1	"AWI"	1	-120	83	-28	1	9	2	0	0	0	13	2	0	0	0	0	0	0	7	0	1	0	0	0	5	5	116	2	0	17	0	0	1	14	7
1115	1149	"Inglesby Lake"	44.48333	-77.05	20	"AWI"	20	110	1578	639	0	4	1	0	0	0	7	1	0	0	0	1	0	0	4	0	1	0	1	0	3	2	123	3	0	11	1	0	1	28	7
1115	1149	"Inglesby Lake"	44.48333	-77.05	40	"AWI"	40	577	2467	1428	1	5	2	1	1	0	11	2	0	0	0	5	0	0	2	0	4	0	1	0	2	5	100	7	0	11	0	0	0	23	11
1115	1149	"Inglesby Lake"	44.48333	-77.05	60	"AWI"	60	1215	3165	2173	1	7	0	1	1	0	10	1	0	0	1	6	0	0	3	0	3	0	1	0	6	1	111	3	0	12	1	0	2	21	6
1115	1149	"Inglesby Lake"	44.48333	-77.05	80	"AWI"	80	1926	3878	2964	1	4	2	2	0	0	8	1	0	0	1	6	0	0	1	0	5	0	0	0	2	1	121	2	0	4	0	0	1	30	5
1115	1149	"Inglesby Lake"	44.48333	-77.05	100	"AWI"	100	2782	4382	3709	1	2	3	0	0	0	10	2	0	0	0	4	0	0	1	0	6	0	0	0	3	4	107	1	0	13	1	0	1	40	1
1115	1149	"Inglesby Lake"	44.48333	-77.05	120	"AWI"	120	3561	4888	4284	1	8	2	0	0	0	9	0	0	0	0	2	0	0	4	0	2	0	0	0	6	1	119	0	0	13	0	0	3	13	17
1115	1149	"Inglesby Lake"	44.48333	-77.05	140	"AWI"	140	3980	5324	4701	0	11	2	0	0	0	9	1	0	0	1	0	0	0	8	0	5	0	0	0	4	1	132	0	0	15	0	0	1	5	10
1115	1149	"Inglesby Lake"	44.48333	-77.05	160	"AWI"	160	4442	5720	5120	0	7	1	0	0	0	9	2	0	1	0	1	0	0	6	0	0	0	1	0	5	1	121	0	0	22	0	1	2	7	12
1115	1149	"Inglesby Lake"	44.48333	-77.05	180	"AWI"	180	4975	6075	5556	0	15	5	0	0	0	11	1	0	0	0	0	0	0	8	0	2	0	0	0	12	3	77	1	0	28	0	0	4	16	15
1115	1149	"Inglesby Lake"	44.48333	-77.05	200	"AWI"	200	5451	6534	5971	0	8	2	0	0	0	5	0	0	0	0	1	0	0	10	0	2	0	0	0	8	1	76	0	0	6	0	0	2	62	15
1115	1149	"Inglesby Lake"	44.48333	-77.05	220	"AWI"	220	5808	7055	6410	0	13	3	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	12	1	95	0	0	30	0	0	7	20	12
1115	1149	"Inglesby Lake"	44.48333	-77.05	240	"AWI"	240	6214	7485	6860	0	4	1	0	0	0	3	1	0	0	0	0	0	0	6	0	2	0	0	0	4	0	146	1	0	17	1	0	0	9	7
