"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cactaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Solanaceae"
497	509	"Cotapampa"	-15.21667	-69.1	0	"AWI"	0	-134	37	-51	0.161420500403551	0	0.0807102502017756	0	0	0	0	0.161420500403551	0	0	0	1.21065375302663	0	96.8523002421308	0.242130750605327	0.242130750605327	0	0.403551251008878	0.0807102502017756	0.564971751412429
497	509	"Cotapampa"	-15.21667	-69.1	10	"AWI"	10	-31	1030	301	0	0	0	43.3962264150943	0	0	0	0	0	1.88679245283019	0	7.54716981132075	0	16.9811320754717	3.77358490566038	0	0	20.7547169811321	5.66037735849057	0
497	509	"Cotapampa"	-15.21667	-69.1	25	"AWI"	25	347	1646	998	0	0	0	0	0.0149142431021626	0	0	0	0	0	0	0	0	99.9254287844892	0.0149142431021626	0	0	0.0149142431021626	0	0.0298284862043251
497	509	"Cotapampa"	-15.21667	-69.1	45	"AWI"	45	1336	2221	1836	0	0	0	25.4032258064516	0	0	0	0	0	0	0	0	0	61.2903225806452	2.01612903225806	0	0	2.41935483870968	8.87096774193548	0
497	509	"Cotapampa"	-15.21667	-69.1	50	"AWI"	50	1586	2363	2052	0	2.40963855421687	0	0	0	0	0	3.6144578313253	0	0	0	3.6144578313253	0	62.6506024096386	4.81927710843374	0	0	7.2289156626506	14.4578313253012	1.20481927710843
497	509	"Cotapampa"	-15.21667	-69.1	60	"AWI"	60	2088	2784	2368	0	0	0	2.14067278287462	0	0.305810397553517	0	0	0.611620795107034	0	0	0	0	91.743119266055	0	0	0	1.52905198776758	3.36391437308868	0.305810397553517
497	509	"Cotapampa"	-15.21667	-69.1	75	"AWI"	75	2390	3286	2791	0	0	0	0	0	0	0	0	1.19521912350598	0	0	0.398406374501992	0	95.6175298804781	0.796812749003984	0	0	1.99203187250996	0	0
497	509	"Cotapampa"	-15.21667	-69.1	80	"AWI"	80	2458	3471	2933	0	0	0	0	1.11111111111111	0	0	8.88888888888889	1.11111111111111	0	0	0	0	80	4.44444444444444	1.11111111111111	0	0	3.33333333333333	0
497	509	"Cotapampa"	-15.21667	-69.1	90	"AWI"	90	2700	3714	3222	0	0	0	79.7752808988764	0	0	0	0	0	0	0	0	0	15.7303370786517	2.24719101123596	0	0	2.24719101123596	0	0
497	509	"Cotapampa"	-15.21667	-69.1	105	"AWI"	105	3447	4072	3685	0	0	0	0	0	0	0	0	0	0	0	0	0	95.9488272921109	1.70575692963753	0	0	1.91897654584222	0.213219616204691	0.213219616204691
497	509	"Cotapampa"	-15.21667	-69.1	120	"AWI"	120	3886	6275	4713	0	1.76991150442478	0	29.2035398230088	0.884955752212389	0	0	2.65486725663717	1.76991150442478	0.884955752212389	0	0	0	51.3274336283186	1.76991150442478	0	0.884955752212389	2.65486725663717	6.19469026548673	0
497	509	"Cotapampa"	-15.21667	-69.1	130	"AWI"	130	4393	7049	5680	0	8.82352941176471	0	0	0	0	0	8.82352941176471	0	2.94117647058824	0	2.94117647058824	0	38.2352941176471	8.82352941176471	0	0	14.7058823529412	14.7058823529412	0
497	509	"Cotapampa"	-15.21667	-69.1	145	"AWI"	145	6064	7663	7086	0	0	0	53.3333333333333	0	0	0	0	0	0	0	0	0	6.66666666666667	6.66666666666667	0	0	6.66666666666667	26.6666666666667	0
497	509	"Cotapampa"	-15.21667	-69.1	155	"AWI"	155	6834	7982	7690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.52380952380952	7.14285714285714	0	76.1904761904762	7.14285714285714	0
497	509	"Cotapampa"	-15.21667	-69.1	172	"AWI"	172	7376	8543	8073	0	0	0	0	0	0	0	5.10948905109489	0.72992700729927	0	0	0.72992700729927	0.72992700729927	7.2992700729927	2.91970802919708	1.45985401459854	0	75.1824817518248	5.83941605839416	0
497	509	"Cotapampa"	-15.21667	-69.1	190	"AWI"	190	7877	8938	8424	0	0	7.69230769230769	0	0	0	0	2.1978021978022	0	0	1.0989010989011	0	0	18.6813186813187	2.1978021978022	0	0	61.5384615384615	5.49450549450549	1.0989010989011
497	509	"Cotapampa"	-15.21667	-69.1	205	"AWI"	205	8341	9259	8735	0	0	0	0	0	0	0	0.0690131124913734	0	0	0	0	0.0690131124913734	99.3788819875776	0.138026224982747	0	0	0.20703933747412	0.138026224982747	0
497	509	"Cotapampa"	-15.21667	-69.1	215	"AWI"	215	8693	9791	9212	0	0	0	6.67078443483632	0	0	0	0.432365657813465	0	0	0	0.0617665225447807	0	92.6497838171711	0	0	0	0.0617665225447807	0.123533045089561	0
497	509	"Cotapampa"	-15.21667	-69.1	225	"AWI"	225	9399	10696	10010	0	0	0	0	0	0	0	39.1304347826087	0	0	0	17.3913043478261	0	4.34782608695652	8.69565217391304	13.0434782608696	0	13.0434782608696	4.34782608695652	0
