"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1407	1444	"Kayakskoye Zaimitschye"	55	81	10	"AWI"	10	446	861	587	0	0	6.29590766002099	0	4.72193074501574	6.29590766002099	0	22.0356768100735	0	0	0	1.57397691500525	0	0	0	0	1.36411332633788	46.694648478489	0	11.0178384050367	0	0	0	0	0	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	20	"AWI"	20	509	1036	704	1.18203309692671	4.60992907801418	1.77304964539007	0	7.09219858156028	1.77304964539007	0	13.0023640661939	0	0	0	8.86524822695035	0	0	0	0	1.18203309692671	48.6997635933806	0	10.6382978723404	0	0	0	0	1.18203309692671	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	30	"AWI"	30	591	1192	831	0.857755539671194	0	2.14438884917798	0	4.28877769835597	4.28877769835597	0	12.8663330950679	0	0	0	10.7219442458899	0	0	0	10.7219442458899	0.857755539671194	25.7326661901358	0	21.4438884917798	2.14438884917798	0	0	1.78699070764832	2.14438884917798	0	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	40	"AWI"	40	665	1351	950	0.470035252643948	0	2.35017626321974	1.76263219741481	2.93772032902468	3.17273795534665	0	18.8014101057579	0	1.17508813160987	0	9.40070505287897	1.76263219741481	0	0	0	0.587544065804935	30.5522914218566	0	23.5017626321974	0	0	0	0	1.17508813160987	2.35017626321974	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	50	"AWI"	50	754	1482	1070	1.54479917610711	0	5.14933058702369	0	5.66426364572606	5.14933058702369	0	7.72399588053553	0	1.54479917610711	2.78063851699279	15.4479917610711	2.57466529351184	0	0	0	1.54479917610711	20.1853759011329	0	23.1719876416066	0	1.85375901132853	0	2.05973223480947	1.54479917610711	2.05973223480947	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	60	"AWI"	60	846	1596	1196	1.6597510373444	0	2.24066390041494	2.24066390041494	2.0746887966805	4.5643153526971	0	8.29875518672199	1.6597510373444	0	2.24066390041494	23.402489626556	0	0	0	0	1.6597510373444	24.896265560166	0	18.6721991701245	0	0	0	2.0746887966805	2.24066390041494	2.0746887966805	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	70	"AWI"	70	942	1724	1316	0	2.42214532871972	1.73010380622837	1.73010380622837	2.42214532871972	4.84429065743945	0	13.840830449827	0	0	1.73010380622837	20.7612456747405	0	0	0	0	0.69204152249135	21.4532871972318	0	20.7612456747405	1.3840830449827	0	0	2.30680507497117	0	1.03806228373702	0	0	2.88350634371396
1407	1444	"Kayakskoye Zaimitschye"	55	81	80	"AWI"	80	1048	1838	1433	1.52091254752852	4.05576679340938	3.16856780735108	0	4.43599493029151	0	0	10.1394169835234	0	0	3.16856780735108	15.8428390367554	0	0	0	0	2.02788339670469	35.4879594423321	0	17.1102661596958	0	0	0	0	0	2.53485424588086	0	0	0.506970849176172
1407	1444	"Kayakskoye Zaimitschye"	55	81	90	"AWI"	90	1156	1956	1550	0	0	2.73822562979189	2.73822562979189	3.28587075575027	5.47645125958379	2.19058050383352	13.1434830230011	0	2.19058050383352	2.19058050383352	16.4293537787514	0	0	0	0	0.876232201533406	22.7820372398686	0.219058050383352	19.1675794085433	1.86199342825849	0	0	2.73822562979189	0	1.97152245345016	0	0	0
1407	1444	"Kayakskoye Zaimitschye"	55	81	100	"AWI"	100	1268	2071	1668	0	4.02761795166859	3.45224395857307	0	5.17836593785961	5.17836593785961	2.30149597238205	4.6029919447641	0	0	2.07134637514384	15.5350978135788	0	0	0	0	1.03567318757192	38.204833141542	0.805523590333717	15.5350978135788	0	0	0	0	2.07134637514384	0	0	0	0
