"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
656	672	"Decoy Lake"	43.23333	-80.36667	25	"AWI"	25	-77	491	97	0	15	1	4	1	3	60	22	3	6	0	0	0	0	0	0	16	0	0	12	0	0	0	0	0	11	0	0	1	0	72	0	3	124	0	0	0	0	1	0	0	0	5	4	18	3
656	672	"Decoy Lake"	43.23333	-80.36667	30	"AWI"	30	-51	1035	253	0	21	1	2	0	1	0	17	2	7	0	0	0	0	0	1	21	0	0	12	0	0	0	0	0	14	0	0	0	0	40	0	4	111	0	0	0	0	2	0	0	0	3	6	18	2
656	672	"Decoy Lake"	43.23333	-80.36667	35	"AWI"	35	53	1197	434	0	0	5	2	0	3	0	6	0	11	1	0	0	0	0	0	14	0	0	25	0	0	0	0	0	19	0	0	0	0	22	0	3	104	0	0	0	0	1	0	0	0	3	8	19	1
656	672	"Decoy Lake"	43.23333	-80.36667	40	"AWI"	40	105	1499	600	0	0	5	0	0	1	0	10	0	12	0	0	0	0	0	0	14	0	0	21	0	0	0	0	0	18	0	0	0	0	20	0	1	91	0	0	0	0	0	0	0	0	9	12	22	0
656	672	"Decoy Lake"	43.23333	-80.36667	45	"AWI"	45	263	1629	800	0	0	2	1	0	1	0	17	0	8	0	0	0	0	0	1	12	0	0	22	8	0	0	0	0	21	0	0	1	3	12	0	2	103	0	0	0	0	3	0	0	0	7	10	17	1
656	672	"Decoy Lake"	43.23333	-80.36667	50	"AWI"	50	347	1878	986	0	0	2	0	0	2	0	15	0	18	1	0	0	0	0	3	15	0	0	16	4	0	0	0	0	20	0	0	0	0	13	0	4	91	0	0	0	0	0	0	0	0	6	4	19	1
656	672	"Decoy Lake"	43.23333	-80.36667	55	"AWI"	55	513	2000	1185	0	0	0	0	0	1	0	13	0	8	1	0	0	0	0	0	26	0	0	15	7	0	0	0	0	13	0	0	1	4	22	0	9	100	0	0	0	0	1	0	0	0	4	4.5	20	0
656	672	"Decoy Lake"	43.23333	-80.36667	60	"AWI"	60	605	2174	1385	0	0	0	0	0	0	0	6	0	19	0	0	0	0	0	1	17	0	0	39	0	0	0	0	0	19	0	0	0	1	9	0	3	76	0	0	0	0	3	0	0	0	5	6	15	2
656	672	"Decoy Lake"	43.23333	-80.36667	65	"AWI"	65	760	2258	1566	0	0	2	0	0	0	0	10	0	10	1	0	0	0	0	0	19	0	0	32	4	0	0	0	0	27	0	0	0	1	1	0	1	91	0	0	1	0	0	0	0	0	4	5	22	0
656	672	"Decoy Lake"	43.23333	-80.36667	70	"AWI"	70	879	2423	1753	0	0	2	0	0	0	0	8	2	8	0	0	0	0	0	0	28	0	0	22	2	0	0	0	0	33	0	0	0	1	9	0	1	123	0	0	0	0	3	0	0	0	2	2	19	0
656	672	"Decoy Lake"	43.23333	-80.36667	75	"AWI"	75	1113	2502	1947	0	0	1	2	0	1	18	14	4	15	0	1	0	0	0	0	12	0	0	25	0	0	0	0	0	3	0	0	0	0	14	0	2	108	0	0	0	0	2	0	0	0	1	7	19	0
656	672	"Decoy Lake"	43.23333	-80.36667	80	"AWI"	80	1268	2638	2160	0	0	3	0	0	0	0	13	1	16	0	0	0	0	0	0	21	0	0	30	0	0	0	0	0	10	0	0	0	1	12	0	4	129	0	0	0	0	2	0	1	0	2	8	24	1
656	672	"Decoy Lake"	43.23333	-80.36667	85	"AWI"	85	1606	2692	2321	0	0	1	1	0	0	0	8	0	16	0	0	0	0	0	0	16	0	0	20	0	0	0	0	0	13	0	0	0	0	12	0	3	130	0	0	0	0	1	0	2	0	3	11	15	1
656	672	"Decoy Lake"	43.23333	-80.36667	90	"AWI"	90	1794	2801	2508	0	0	2	4	0	1	0	16	1	16	0	0	0	0	0	1	16	0	0	21	10	0	0	0	0	9	0	0	0	3	12	0	1	139	0	0	1	0	5	0	0	0	0	8	22	0
656	672	"Decoy Lake"	43.23333	-80.36667	95	"AWI"	95	2578	3062	2819	0	0	0	2	0	2	0	20	0	15	0	1	0	0	0	0	15	1	0	26	7	0	0	0	0	7	0	0	0	2	14	0	1	121	0	0	0	0	1	0	0	0	2	4	10	2
656	672	"Decoy Lake"	43.23333	-80.36667	100	"AWI"	100	2718	4145	3106	0	0	3	3	0	2	0	12	0	14	0	2	0	0	0	0	25	0	0	23	3	5	0	0	0	8	0	0	0	0	14	0	3	125	0	0	1	0	3	0	0	0	1	2	23	1
656	672	"Decoy Lake"	43.23333	-80.36667	105	"AWI"	105	2979	4825	3794	0	17	1	1	0	1	0	11	0	15	0	0	0	0	0	0	17	0	0	23	4	0	0	0	0	7	0	0	0	0	8	0	2	91	0	0	0	0	0	0	0	0	2	5.5	19	0
656	672	"Decoy Lake"	43.23333	-80.36667	110	"AWI"	110	3093	6173	4409	0	0	1	1	0	2	0	8	0	7	0	0	0	0	0	1	18	0	0	24	6	0	0	0	0	14	0	0	0	1	0	0	1	110	0	0	0	0	0	0	0	0	1	5	18	1
656	672	"Decoy Lake"	43.23333	-80.36667	115	"AWI"	115	3659	6415	5096	0	17	0	0	0	1	0	6	2	4	0	0	0	0	0	0	5	0	0	26	0	0	0	0	0	7	0	0	0	2	5	0	1	71	0	0	0	0	4	0	0	0	3	7	15	0
656	672	"Decoy Lake"	43.23333	-80.36667	120	"AWI"	120	4007	6896	5846	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	7	0	0	18	7	0	0	0	0	17	0	0	0	0	7	0	2	57	0	0	0	0	0	0	0	0	2	5	15	3
656	672	"Decoy Lake"	43.23333	-80.36667	125	"AWI"	125	5408	7021	6397	0	18	0	2	0	2	0	11	1	9	0	0	0	0	0	1	12	0	0	21	5	0	0	0	0	9	0	0	0	1	8	0	3	84	0	0	0	0	0	0	0	0	4	7	16	1
