"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
1677	1733	"Lac Mélèze"	65.21667	-126.11667	0	"AWI"	0	-115	51	-32	91	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	3	0	0	17	0	0	0	0	0	6	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	10	"AWI"	10	-35	600	168	97	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	2	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	20	"AWI"	20	59	1023	396	135	0	0	0	0	0	0	0	1	9	0	0	0	1	0	0	0	0	0	4	0	3	0	0	0	3	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	30	"AWI"	30	146	1357	651	129	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	8	0	2	0	0	0	4	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	40	"AWI"	40	321	1542	897	126	0	0	2	0	0	0	0	0	13	0	0	0	1	0	0	2	0	0	5	0	2	0	0	0	3	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	50	"AWI"	50	512	1786	1147	88	0	0	0	0	0	0	0	0	9	0	0	0	0	0	4	2	0	0	16	0	0	0	0	0	0	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	60	"AWI"	60	675	1972	1397	128	0	0	2	0	0	0	0	0	8	0	0	0	0	0	2	2	1	0	7	0	2	0	0	0	2	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	70	"AWI"	70	1013	2104	1639	149	1	0	0	0	0	0	0	0	3	0	0	0	1	0	1	6	0	0	19	0	0	0	0	0	1	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	80	"AWI"	80	1327	2260	1879	131	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	8	0	2	0	0	0	7	0	0
1677	1733	"Lac Mélèze"	65.21667	-126.11667	90	"AWI"	90	1780	2380	2104	104	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	2	0	0
