"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juncaceae"	"Juniperus"	"Larix"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	480	"AWI"	480	6399	7201	6793	7	11	6	0	1	0	0	45	0	0	1	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	1	0	569	0	0	0	1	42	0	0	2	1	0	0	0	7	27	4	3
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	500	"AWI"	500	6575	7714	7059	13	0	2	1	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	14	0	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	515	"AWI"	515	6701	8092	7266	6	0	0	0	0	0	0	19	0	0	0	0	0	0	8	2	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	1	11	1	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	20	"AWI"	20	-9	561	210	7	0	5	2	0	3	0	68	0	0	0	0	0	11	51	0	0	4	0	0	0	0	0	0	6	0	0	0	252	0	0	1	0	10	0	6	0	0	0	1	0	3	85	2	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	40	"AWI"	40	282	816	523	3	0	0	1	0	1	0	92	0	2	0	0	0	1	35	0	0	10	0	0	1	0	0	0	6	0	0	0	243	0	0	0	0	7	0	0	0	1	0	3	0	2	109	3	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	60	"AWI"	60	635	1378	926	16	0	8	1	0	0	0	121	2	0	0	0	0	1	68	0	0	21	0	0	2	0	0	0	21	0	0	0	235	0	0	2	0	24	0	0	0	0	0	1	0	5	189	3	1
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	80	"AWI"	80	884	2209	1474	9	15	0	0	0	0	0	74	0	0	1	0	0	3	32	0	0	7	0	0	2	1	0	1	37	0	1	0	261	0	0	0	0	18	0	0	0	1	0	2	0	4	155	6	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	100	"AWI"	100	1294	2703	2051	7	0	0	0	0	0	0	61	0	0	0	0	0	0	48	0	0	0	6	0	2	0	0	8	67	0	1	0	298	0	0	0	0	10	0	0	1	0	0	1	2	3	230	6	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	120	"AWI"	120	1871	3055	2633	6	0	0	0	0	0	0	85	0	1	0	0	0	1	52	0	0	18	0	1	4	2	0	5	26	0	0	0	218	0	0	0	0	16	0	0	0	0	0	1	0	0	127	16	0
1000	1033	"Tourbière de Lanoraie HENRI"	45.98889	-73.3	140	"AWI"	140	2279	3303	2929	6	6	0	0	0	0	0	98	1	4	0	0	0	0	32	0	0	16	0	0	3	0	0	5	46	0	2	0	125	0	0	0	0	15	0	0	0	0	0	2	0	3	112	6	0
