"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Ceanothus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Thuja"	"Ulmus"	"Urticaceae"
266	272	"Big John Pond"	47.558974	-94.971068	0	"AWI"	0	-121	37	-38	0.44543429844098	0	0	0.89086859688196	2.2271714922049	0	2.2271714922049	0	0.44543429844098	0	0	1.78173719376392	20.9354120267261	0	0	0	4.89977728285078	0	0	0.44543429844098	0.89086859688196	1.55902004454343	54.7884187082405	0	4.4543429844098	0	1.33630289532294	1.33630289532294	0.44543429844098	0	0	0.44543429844098	0	0	0.44543429844098	0	0
266	272	"Big John Pond"	47.558974	-94.971068	15	"AWI"	15	11	317	152	1.57342657342657	0	2.44755244755245	1.3986013986014	1.3986013986014	0	4.1958041958042	0	0	0	0	0	20.8041958041958	0	0	0	5.59440559440559	0	0	0	0.34965034965035	2.7972027972028	54.1958041958042	0	0	0	0.699300699300699	1.74825174825175	0	0.34965034965035	0	1.04895104895105	0	0.34965034965035	0.34965034965035	0.699300699300699	0
266	272	"Big John Pond"	47.558974	-94.971068	20	"AWI"	20	44	439	226	0	0	2.93159609120521	0.977198697068404	0.325732899022801	0	3.58306188925081	0	0	0.325732899022801	0	1.30293159609121	17.2638436482085	0	0	0	2.11726384364821	0	0	0.651465798045603	0.325732899022801	2.28013029315961	62.7035830618892	0.325732899022801	0	0	0.325732899022801	2.60586319218241	0	0	0	0.651465798045603	0.325732899022801	0	0	0.977198697068404	0
266	272	"Big John Pond"	47.558974	-94.971068	40	"AWI"	40	302	1065	675	0.383141762452107	0	3.83141762452107	0.766283524904214	2.29885057471264	0	3.83141762452107	0	0	0	0	0	15.5172413793103	0	0	0	3.83141762452107	0	0	0.383141762452107	0.383141762452107	2.29885057471264	63.0268199233716	0	0	0	0.766283524904214	1.14942528735632	0	0	0	1.14942528735632	0	0	0	0.383141762452107	0
266	272	"Big John Pond"	47.558974	-94.971068	50	"AWI"	50	527	1235	924	0.951086956521739	0	2.44565217391304	0	0.815217391304348	0	5.16304347826087	0	0	0	0	1.6304347826087	16.304347826087	0	0	0	2.17391304347826	0	0	0.271739130434783	0.271739130434783	2.58152173913043	63.8586956521739	0	0	0.543478260869565	0.271739130434783	1.6304347826087	0	0	0	0	0.271739130434783	0	0.271739130434783	0.543478260869565	0
266	272	"Big John Pond"	47.558974	-94.971068	65	"AWI"	65	1071	1566	1311	0.162337662337662	0	2.5974025974026	0.324675324675325	2.27272727272727	0	4.87012987012987	0.324675324675325	0	0	0	0.649350649350649	24.025974025974	0	0	0	5.35714285714286	0	0	1.2987012987013	1.2987012987013	4.05844155844156	46.5909090909091	0	0	0	0.974025974025974	3.57142857142857	0	0	0	0.649350649350649	0	0.324675324675325	0.649350649350649	0	0
266	272	"Big John Pond"	47.558974	-94.971068	90	"AWI"	90	1548	2865	2148	0.405405405405405	0	3.51351351351351	1.08108108108108	2.16216216216216	0	7.02702702702703	0	0	0	0	1.35135135135135	22.972972972973	0	0	0	5.27027027027027	0	0	0.27027027027027	2.97297297297297	2.02702702702703	40.9459459459459	0	0	0	2.43243243243243	6.21621621621622	0	0	0	0.540540540540541	0	0.27027027027027	0.27027027027027	0.27027027027027	0
266	272	"Big John Pond"	47.558974	-94.971068	105	"AWI"	105	2040	3263	2696	0.681431005110733	0	3.74787052810903	1.0221465076661	4.42930153321976	0	8.17717206132879	0	0	0	0	0.340715502555366	22.8279386712095	0	0	2.38500851788756	9.54003407155026	0	0.340715502555366	0.681431005110733	2.38500851788756	2.0442930153322	24.7018739352641	0	0	0	2.0442930153322	12.6064735945486	0	0	0	0.681431005110733	0.340715502555366	0	0.681431005110733	0.340715502555366	0
266	272	"Big John Pond"	47.558974	-94.971068	115	"AWI"	115	2429	3493	3050	0	0	4.90463215258856	0	6.13079019073569	0	9.80926430517711	0	0	0	0.272479564032698	0.272479564032698	25.0681198910082	0	0	0	5.72207084468665	0.272479564032698	0	0.272479564032698	2.99727520435967	0.817438692098093	27.3841961852861	0	0	0.272479564032698	1.63487738419619	10.8991825613079	0.272479564032698	0	0	1.63487738419619	0	0	0	1.08991825613079	0.272479564032698
266	272	"Big John Pond"	47.558974	-94.971068	125	"AWI"	125	2989	3703	3380	0.415512465373961	0	3.04709141274238	2.49307479224377	6.37119113573407	0	6.64819944598338	0	0	0	0	0.831024930747922	47.6454293628809	0	0	0	5.6786703601108	0	0.277008310249307	0	0.831024930747922	0.692520775623269	14.8199445983379	0	0	0	2.49307479224377	6.37119113573407	0	0	0.277008310249307	0.831024930747922	0	0	0	0.277008310249307	0
